"arten","funk","d","f","i","e","dim","model"
"","","Betrieblicher Aufwand","Charges d’exploitation","Spese d'esercizio","Operating expenses","er","fs"
"30","","Personalaufwand","Charges de personnel","Spese per il personale","Personnel expenses","er","fs"
"31","","Sach- und übriger Betriebsaufwand","Charges de biens et services et autres charges d'exploitation","Spese per beni e servizi e altre spese d’esercizio","General, administrative and operating expenses","er","fs"
"32","","Rüstungsaufwand","Charges d'armement","Spese per l'armamento","Defense expenses","er","fs"
"33","","Abschreibungen auf das Verwaltungsvermögen","Amortissement du patrimoine administratif","Ammortamenti sui beni amministrativi","Depreciation, administrative assets","er","fs"
"35","","Einlagen in Fonds und Spezialfinanzierungen","Apports aux fonds et financements spéciaux","Versamenti a fondi e a finanziamenti speciali","Net expense for funds and special financing","er","fs"
"36","","Transferaufwand","Charges de transfert","Spese di riversamento","Transfer expenses","er","fs"
"","","Betrieblicher Ertrag","Revenus d’exploitation","Ricavi d'esercizio","Operating revenue","er","fs"
"40","","Fiskalertrag","Revenus fiscaux","Introiti fiscali","Tax revenue","er","fs"
"41","","Regalien und Konzessionen","Patentes et concessions","Regalie e concessioni","Royalties and concessions","er","fs"
"42","","Entgelte","Compensations","Ricavi e tasse","Revenue from exchange transactions","er","fs"
"43","","Übrige Erträge","Autres revenus","Rimanenti ricavi","Other revenue","er","fs"
"45","","Entnahmen aus Fonds und Spezialfinanzierungen","Prélèvements sur les fonds et les financements spéciaux","Prelievi da fondi e finanziamenti speciali","Withdrawals from funds and special financing","er","fs"
"46","","Transferertrag","Revenus de transfert","Ricavi da riversamenti","Transfer revenue","er","fs"
"","","Ergebnis aus betrieblicher Tätigkeit","Résultat de l'activité d’exploitation","Risultato dall'attività aziendale","Operating result","er","fs"
"empty","","","","","","er","fs"
"34","","Finanzaufwand","Charges financières","Spese finanziarie","Financial expense","er","fs"
"44","","Finanzertrag","Revenus financiers","Ricavi finanziari","Financial revenue","er","fs"
"","","Finanzergebnis","Résultat financier","Risultato finanziario","Financial result","er","fs"
"","","Ordentliches Ergebnis","Résultat ordinaire","Risultato ordinario","Ordinary result","er","fs"
"empty","","","","","","er","fs"
"38","","Ausserordentlicher Aufwand","Charges extraordinaires","Spese straordinarie","Extraordinary expenses","er","fs"
"48","","Ausserordentlicher Ertrag","Revenus extraordinaires","Ricavi straordinari","Extraordinary revenue","er","fs"
"","","Ausserordentliches Ergebnis","Résultat extraordinaire","Risultato straordinario","Extraordinary result","er","fs"
"","","Erfolg","Résultat","Risultato","Surplus/deficit","er","fs"
"empty","","","","","","er","fs"
"3","","Aufwand","Charges","Spese","Expenses","er","fs"
"4","","Ertrag","Revenus","Ricavi","Revenue","er","fs"
"","","Erfolg","Résultat","Risultato","Surplus/deficit","er","fs"
"empty","","","","","","er","fs"
