"arten","funk","d","f","i","e","dim","model"
"","","Betriebliche Ausgaben","Dépenses d'exploitation","Uscite d'esercizio","Operating expenditure","fir","fs"
"30","","Personalausgaben","Dépenses de personnel","Uscite per il personale","Personnel expenditure","fir","fs"
"31","","Sach- und übrige Betriebsausgaben","Dépenses de biens et services et autres dépenses d'exploitation","Uscite per beni e servizi e altre uscite d’esercizio","General, administrative and operating expenditure","fir","fs"
"32","","Rüstungsausgaben","Dépenses d'armement","Uscite per l'armamento","Defense expenditure","fir","fs"
"36","","Transferausgaben","Dépenses de transfert","Uscite di riversamento","Transfer expenditure","fir","fs"
"","","Betriebliche Einnahmen","Recettes d’exploitation","Entrate d'esercizio","Operating receipts","fir","fs"
"40","","Fiskaleinnahmen","Recettes fiscales","Entrate fiscali","Tax receipts","fir","fs"
"41","","Regalien und Konzessionen","Patentes et concessions","Regalie e concessioni","Royalties and concessions","fir","fs"
"42","","Entgelte","Compensations","Ricavi e tasse","Receipts from exchange transactions","fir","fs"
"43","","Übrige Einnahmen","Autres recettes","Rimanenti entrate","Other receipts","fir","fs"
"46","","Transfereinnahmen","Recettes de transfert","Entrate da riversamenti","Transfer receipts","fir","fs"
"","","Ergebnis aus betrieblicher Tätigkeit","Résultat de l'activité d’exploitation","Risultato dall'attività aziendale","Operating result","fir","fs"
"empty","","","","","","fir","fs"
"34","","Finanzausgaben","Dépenses financières","Uscite finanziarie","Financial expenditure","fir","fs"
"44","","Finanzeinnahmen","Recettes financières","Entrate finanziarie","Financial receipts","fir","fs"
"","","Finanzergebnis","Résultat financier","Risultato finanziario","Financial result","fir","fs"
"empty","","","","","","fir","fs"
"","","Investitionsausgaben","Dépenses d'investissement","Uscite per investimenti","Investment expenditure","fir","fs"
"50","","Sachanlagen","Immobilisations corporelles","Investimenti materiali","Tangible fixed assets","fir","fs"
"51","","Investitionen auf Rechnung Dritter","Investissements pour le compte de tiers","Investimenti per conto di terzi","Investments on behalf of third parties","fir","fs"
"52","","Investitionen, immaterielle Anlagen","Investissements, immobilisations incorporelles","Investimenti immateriali","Investments, intangible fixed assets","fir","fs"
"53","","Darlehen und Beteiligungen n.a.g.","Prêts et participations n.c.a.","Mutui e partecipazioni n.m.a.","Loans and financial interests n.e.c.","fir","fs"
"54","","Darlehen","Prêts","Mutui","Loans","fir","fs"
"55","","Beteiligungen und Grundkapitalien","Participations et capital social","Partecipazioni e capitali sociali","Financial interests and share capital","fir","fs"
"57","","Investitionsbeiträge","Contributions à des investissements","Contributi agli investimenti","Investment contributions","fir","fs"
"","","Investitionseinnahmen","Recettes d'investissement","Entrate per investimenti","Investment receipts","fir","fs"
"60","","Übertragung von Sachanlagen in das Finanzvermögen","Transfert d'immobilisations corporelles dans le patrimoine financier","Riporto di investimenti materiali nei beni patrimoniali","Transfer of tangible fixed assets to non-administrative assets","fir","fs"
"61","","Rückerstattungen","Remboursements","Rimborsi","Reimbursements","fir","fs"
"62","","Abgang immaterielle Sachanlagen","Sortie d'immobilisations incorporelles","Diminuzione, investimenti immateriali","Disposal of intangible fixed assets","fir","fs"
"63","","Rückzahlung von Darlehen und Beteiligungen n.a.g.","Remboursement de prêts et participations n.c.a.","Restituzione di mutui e partecipazioni n.m.a.","Repayment of loans and financial interests n.e.c.","fir","fs"
"64","","Rückzahlung von Darlehen","Remboursement de prêts","Restituzione di mutui","Loan repayment","fir","fs"
"65","","Übertragung von Beteiligungen","Transfert de participations","Riporto di partecipazioni","Transfer of financial interests","fir","fs"
"66","","Rückzahlung eigener Investitionsbeiträge","Remboursement de propres contributions à des investissements","Rimborso di contributi agli investimenti propri","Repayment of own investment contributions","fir","fs"
"67","","Investitionsbeiträge","Contributions à des investissements","Contributi agli investimenti","Investment contributions","fir","fs"
"","","Nettoinvestitionen","Investissements nets","Investimenti netti","Net investments","fir","fs"
"","","Ordentliches Ergebnis","Résultat ordinaire","Risultato ordinario","Ordinary result","fir","fs"
"empty","","","","","","fir","fs"
"","","Ausserordentliche Ausgaben","Dépenses extraordinaires","Uscite straordinarie","Extraordinary expenditure","fir","fs"
"38","","Ausserordentliche Ausgaben","Dépenses extraordinaires","Uscite straordinarie","Extraordinary expenditure","fir","fs"
"58","","Ausserordentliche Investitionsausgaben","Dépenses d'investissement extraordinaires","Uscite straordinarie per investimenti","Extraordinary investment expenditure","fir","fs"
"","","Ausserordentliche Einnahmen","Recettes extraordinaires","Entrate straordinarie","Extraordinary receipts","fir","fs"
"48","","Ausserordentliche Einnahmen","Recettes extraordinaires","Entrate straordinarie","Extraordinary receipts","fir","fs"
"68","","Ausserordentliche Investitionseinnahmen","Recettes d'investissement extraordinaires","Entrate straordinarie per investimenti","Extraordinary investment receipts","fir","fs"
"","","Ausserordentliches Ergebnis","Résultat extraordinaire","Risultato straordinario","Extraordinary result","fir","fs"
"","","Finanzierungsergebnis","Solde de financement","Risultato dei finanziamenti","Overall fiscal balance","fir","fs"
"empty","","","","","","fir","fs"
"","","Gesamtausgaben","Dépenses totales","Uscite totali","Total expenditure","fir","fs"
"3","","Ausgaben","Dépenses","Uscite","Expenditure","fir","fs"
"5","","Investitionsausgaben","Dépenses d'investissement","Uscite per investimenti","Investment expenditure","fir","fs"
"","","Gesamteinnahmen","Recettes totales","Entrate totali","Total receipts","fir","fs"
"4","","Einnahmen","Recettes","Entrate","Receipts","fir","fs"
"6","","Investitionseinnahmen","Recettes d'investissement","Entrate per investimenti","Investment receipts","fir","fs"
"","","Finanzierungsergebnis","Solde de financement","Risultato dei finanziamenti","Overall fiscal balance","fir","fs"
"empty","","","","","","fir","fs"
