"arten","funk","d","f","i","e","dim","model"
"","","Forderungen","Créances","Attività finanziarie","Financial assets","sws_preis","fs"
"420","","Forderungen","Créances ","Conti attivi","Domestic & external","sws_preis","fs"
"4201","","Währungsgold und Sonderziehungsrechte","Or monétaire et DTS","Oro monetario e diritti speciali di prelievo","Monetary gold and Special Drawing Rights (SDRs)","sws_preis","fs"
"4202","","Bargeld und Einlagen ","Numéraire et dépôts ","Biglietti, monete e depositi","Currency and deposits","sws_preis","fs"
"4203","","Schuldtitel","Titres de créance","Titoli di debito","Debt securities","sws_preis","fs"
"4204","","Kredite","Crédits ","Prestiti","Loans","sws_preis","fs"
"4205","","Anteilsrechte und Anteile an Investmentfonds","Actions et parts de fonds d'investissement","Partecipazioni e quote di fondi di investimento","Equity and investment fund shares","sws_preis","fs"
"4206","","Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme","Systèmes d'assurances, d'assurance-vieillesse et de garanties standard ","Assicurazioni, pensioni e garanzie standard","Insurance, pension, and standardized guarantee schemes","sws_preis","fs"
"4207","","Finanzderivate und Mitarbeiteraktienoptionen","Produits financiers dérivés et options sur titres des salariés","Strumenti finanziari derivati e stock option conferite ai dipendenti","Financial derivatives and employee stock options","sws_preis","fs"
"4208","","Sonstige Forderungen","Autres comptes à recevoir","Altri conti attivi","Other accounts receivable","sws_preis","fs"
"42081","","Handelskredite und Anzahlungen","Crédits commerciaux et avances","Crediti commerciali e anticipazioni","Trade credit and advances","sws_preis","fs"
"42082","","Sonstige Forderungen, n.a.g.","Autres comptes à recevoir, n.c.a.","Altri conti attivi, n.m.a.","Miscellaneous other accounts receivable","sws_preis","fs"
"421","","Forderungen, Inland","Créances, intérieur","Conti attivi, interno","Domestic","sws_preis","fs"
"4211","","Währungsgold und Sonderziehungsrechte, Inland","Or monétaire et DTS, intérieur","Oro monetario e diritti speciali di prelievo, interno","Monetary gold and Special Drawing Rights (SDRs)","sws_preis","fs"
"4212","","Bargeld und Einlagen, Inland","Numéraire et dépôts, intérieur","Biglietti, monete e depositi, interno","Currency and deposits","sws_preis","fs"
"4213","","Schuldtitel, Inland","Titres de créance, intérieur","Titoli di debito, interno","Debt securities","sws_preis","fs"
"4214","","Kredite, Inland","Crédits, intérieur","Prestiti, interno","Loans","sws_preis","fs"
"4215","","Anteilsrechte und Anteile an Investmentfonds, Inland","Actions et parts de fonds d'investissement, intérieur","Partecipazioni e quote di fondi di investimento, interno","Equity and investment fund shares","sws_preis","fs"
"4216","","Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme, Inland","Systèmes d'assurances, d'assurance-vieillesse et de garanties standard, intérieur ","Assicurazioni, pensioni e garanzie standard, interno","Insurance, pension, and standardized guarantee schemes","sws_preis","fs"
"4217","","Finanzderivate und Mitarbeiteraktienoptionen, Inland","Produits financiers dérivés et options sur titres des salariés, intérieur","Strumenti finanziari derivati e stock option conferite ai dipendenti, interno","Financial derivatives and employee stock options","sws_preis","fs"
"4218","","Sonstige Forderungen, Inland","Autres comptes à recevoir, intérieur","Altri conti attivi, interno","Other accounts receivable","sws_preis","fs"
"42181","","Handelskredite und Anzahlungen, Inland","Crédits commerciaux et avances, intérieur","Crediti commerciali e anticipazioni, interno","Trade credit and advances","sws_preis","fs"
"42182","","Sonstige Forderungen, n.a.g., Inland","Autres comptes à recevoir, n.c.a., intérieur","Altri conti attivi, n.m.a., interno","Miscellaneous other accounts receivable","sws_preis","fs"
"422","","Forderungen, Ausland","Créances, extérieur","Conti attivi, estero","External","sws_preis","fs"
"4221","","Währungsgold und Sonderziehungsrechte, Ausland","Or monétaire et DTS, extérieur","Oro monetario e diritti speciali di prelievo, estero","Monetary gold and Special Drawing Rights (SDRs)","sws_preis","fs"
"4222","","Bargeld und Einlagen, Ausland","Numéraire et dépôts, extérieur","Biglietti, monete e depositi, estero","Currency and deposits","sws_preis","fs"
"4223","","Schuldtitel, Ausland","Titres de créance, extérieur","Titoli di debito, estero","Debt securities","sws_preis","fs"
"4224","","Kredite, Ausland","Crédits, extérieur","Prestiti, estero","Loans","sws_preis","fs"
"4225","","Anteilsrechte und Anteile an Investmentfonds, Ausland","Actions et parts de fonds d'investissement, extérieur","Partecipazioni e quote di fondi di investimento, estero","Equity and investment fund shares","sws_preis","fs"
"4226","","Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme, Ausland","Systèmes d'assurances, d'assurance-vieillesse et de garanties standard, extérieur","Assicurazioni, pensioni e garanzie standard, estero","Insurance, pension, and standardized guarantee schemes","sws_preis","fs"
"4227","","Finanzderivate und Mitarbeiteraktienoptionen, Ausland","Produits financiers dérivés et options sur titres des salariés, extérieur","Strumenti finanziari derivati e stock option conferite ai dipendenti, estero ","Financial derivatives and employee stock options","sws_preis","fs"
"4228","","Sonstige Forderungen, Ausland","Autres comptes à recevoir, extérieur","Altri conti attivi, estero","Other accounts receivable","sws_preis","fs"
"42281","","Handelskredite und Anzahlungen, Ausland","Crédits commerciaux et avances, extérieur","Crediti commerciali e anticipazioni, estero","Trade credit and advances","sws_preis","fs"
