"arten","funk","d","f","i","e","dim","model"
"31.0","","Nettozugang an Vermögensgütern","Acquisition nette d'actifs non financiers","Acquisizioni nette di attività non finanziarie","Net acquisition: non-financial assets","transaktionen","fs"
"31.1","","Erwerb: Vermögensgüter","Acquisition d'actifs non financiers","Acquisizione: attività non finanziarie","Acquisition: non-financial assets","transaktionen","fs"
"311.1","","Erwerb: Anlagegüter","Acquisition d'actifs fixes","Acquisizione: capitale fisso","Acquisition: Fixed assets","transaktionen","fs"
"3111.1","","Erwerb: Hoch- und Tiefbauten","Acquisition de bâtiments et ouvrages de génie civil","Acquisizione: opere edili e del genio civile","Acquisition: Buildings and structures","transaktionen","fs"
"3112.1","","Erwerb: Ausrüstungsgüter","Acquisition de machines et équipement","Acquisizione: impianti e macchinari","Acquisition: Machinery and equipment","transaktionen","fs"
"","","Erwerb: sonstige Anlagegüter, Waffensysteme","Acquisition: autres actifs fixes, systèmes d'armes militaires","Acquisizione: altro capitale fisso, armamenti","Acquisition: other fixed assets, weapons systems","transaktionen","fs"
"312.1","","Erwerb: Vorräte","Acquisition de stocks","Acquisizione: scorte","Acquisition: Inventories","transaktionen","fs"
"313.1","","Erwerb: Wertsachen","Acquisition d'objets de valeur","Acquisizione: oggetti di valore","Acquisition: Valuables","transaktionen","fs"
"314.1","","Erwerb: nichtproduzierte Vermögensgüter","Acquisition d'actifs non produits","Acquisizione: attività non finanziarie non prodotte","Acquisition: Nonproduced assets","transaktionen","fs"
"31.2","","Veräusserung: Vermögensgüter","Cession d'actifs non financiers","Cessione: attività non finanziarie","Disposal: non-financial assets","transaktionen","fs"
"311.2","","Veräusserung: Anlagegüter","Cession d'actifs fixes","Cessione: capitale fisso","Disposal: Fixed assets","transaktionen","fs"
"3111.2","","Veräusserung: Hoch- und Tiefbauten","Cession de bâtiments et ouvrages de génie civil","Cessione: opere edili e del genio civile","Disposal: Buildings and structures","transaktionen","fs"
"3112.2","","Veräusserung: Ausrüstungsgüter","Cession de machines et équipement","Cessione: impianti e macchinari","Disposal: Machinery and equipment","transaktionen","fs"
"","","Veräusserung: sonstige Anlagegüter, Waffensysteme","Cession: autres actifs fixes, systèmes d'armes militaires","Cessione: altro capitale fisso, armamenti","Disposal:other fixed assets, weapons systems","transaktionen","fs"
