"jahr";"nr";"gemeinde";"konto";"funktion";"betrag"
"2020";"010250";"Urdorf";"100";"";"14836567.11"
"2020";"010250";"Urdorf";"101";"";"10981420.12"
"2020";"010250";"Urdorf";"104";"";"19995183.18"
"2020";"010250";"Urdorf";"106";"";"71981.00"
"2020";"010250";"Urdorf";"107";"";"3723000.00"
"2020";"010250";"Urdorf";"108";"";"5314339.70"
"2020";"010250";"Urdorf";"140";"";"51131252.89"
"2020";"010250";"Urdorf";"142";"";"669869.81"
"2020";"010250";"Urdorf";"145";"";"3439755.60"
"2020";"010250";"Urdorf";"146";"";"268555.10"
"2020";"010250";"Urdorf";"200";"";"22603857.51"
"2020";"010250";"Urdorf";"201";"";"5208965.62"
"2020";"010250";"Urdorf";"204";"";"1383957.35"
"2020";"010250";"Urdorf";"205";"";"4644438.10"
"2020";"010250";"Urdorf";"206";"";"12700000.00"
"2020";"010250";"Urdorf";"208";"";"2454200.00"
"2020";"010250";"Urdorf";"209";"";"2841927.75"
"2020";"010250";"Urdorf";"290";"";"5597068.75"
"2020";"010250";"Urdorf";"299";"";"52997509.43"
"2020";"010250";"Urdorf";"300";"01";"473305.40"
"2020";"010250";"Urdorf";"300";"02";"8896.20"
"2020";"010250";"Urdorf";"300";"15";"28700.00"
"2020";"010250";"Urdorf";"300";"29";"3560.00"
"2020";"010250";"Urdorf";"300";"32";"2400.00"
"2020";"010250";"Urdorf";"300";"57";"8220.80"
"2020";"010250";"Urdorf";"300";"75";"260.00"
"2020";"010250";"Urdorf";"300";"81";"3440.00"
"2020";"010250";"Urdorf";"301";"02";"1619267.20"
"2020";"010250";"Urdorf";"301";"11";"42629.60"
"2020";"010250";"Urdorf";"301";"12";"34020.00"
"2020";"010250";"Urdorf";"301";"14";"505118.40"
"2020";"010250";"Urdorf";"301";"15";"168524.10"
"2020";"010250";"Urdorf";"301";"16";"26044.90"
"2020";"010250";"Urdorf";"301";"21";"2097128.10"
"2020";"010250";"Urdorf";"301";"29";"20730.60"
"2020";"010250";"Urdorf";"301";"32";"160050.60"
"2020";"010250";"Urdorf";"301";"34";"1305655.65"
"2020";"010250";"Urdorf";"301";"43";"7578.40"
"2020";"010250";"Urdorf";"301";"49";"65701.20"
"2020";"010250";"Urdorf";"301";"53";"7368.40"
"2020";"010250";"Urdorf";"301";"54";"175711.95"
"2020";"010250";"Urdorf";"301";"57";"551119.80"
"2020";"010250";"Urdorf";"301";"61";"389630.35"
"2020";"010250";"Urdorf";"301";"62";"15568.80"
"2020";"010250";"Urdorf";"301";"71";"290286.90"
"2020";"010250";"Urdorf";"301";"72";"127732.25"
"2020";"010250";"Urdorf";"301";"73";"136741.95"
"2020";"010250";"Urdorf";"301";"74";"83327.75"
"2020";"010250";"Urdorf";"301";"75";"23046.50"
"2020";"010250";"Urdorf";"301";"77";"53584.10"
"2020";"010250";"Urdorf";"301";"81";"49331.30"
"2020";"010250";"Urdorf";"301";"96";"18875.05"
"2020";"010250";"Urdorf";"302";"21";"2344831.95"
"2020";"010250";"Urdorf";"302";"29";"25016.45"
"2020";"010250";"Urdorf";"303";"01";"4614.35"
"2020";"010250";"Urdorf";"303";"14";"4387.70"
"2020";"010250";"Urdorf";"303";"29";"36527.00"
"2020";"010250";"Urdorf";"303";"61";"17033.25"
"2020";"010250";"Urdorf";"304";"21";"14298.40"
"2020";"010250";"Urdorf";"304";"34";"18110.90"
"2020";"010250";"Urdorf";"304";"61";"18652.85"
"2020";"010250";"Urdorf";"304";"71";"6529.80"
"2020";"010250";"Urdorf";"305";"01";"75816.65"
"2020";"010250";"Urdorf";"305";"02";"373612.80"
"2020";"010250";"Urdorf";"305";"11";"9214.95"
"2020";"010250";"Urdorf";"305";"12";"7096.80"
"2020";"010250";"Urdorf";"305";"14";"89363.35"
"2020";"010250";"Urdorf";"305";"15";"8563.85"
"2020";"010250";"Urdorf";"305";"16";"6065.75"
"2020";"010250";"Urdorf";"305";"21";"806404.25"
"2020";"010250";"Urdorf";"305";"29";"11166.10"
"2020";"010250";"Urdorf";"305";"32";"30636.40"
"2020";"010250";"Urdorf";"305";"34";"274415.05"
"2020";"010250";"Urdorf";"305";"43";"277.45"
"2020";"010250";"Urdorf";"305";"49";"15841.35"
"2020";"010250";"Urdorf";"305";"53";"1368.75"
