"jahr";"nr";"gemeinde";"konto";"funktion";"betrag"
"2015";"225822";"Payerne";"100";"";"5758261.06"
"2015";"225822";"Payerne";"101";"";"9788072.47"
"2015";"225822";"Payerne";"104";"";"2686822.48"
"2015";"225822";"Payerne";"107";"";"10605377.64"
"2015";"225822";"Payerne";"108";"";"8210985.41"
"2015";"225822";"Payerne";"140";"";"30292109.40"
"2015";"225822";"Payerne";"200";"";"4238925.09"
"2015";"225822";"Payerne";"201";"";"-784221.58"
"2015";"225822";"Payerne";"204";"";"613660.38"
"2015";"225822";"Payerne";"206";"";"32668080.00"
"2015";"225822";"Payerne";"209";"";"9454927.73"
"2015";"225822";"Payerne";"293";"";"19833530.40"
"2015";"225822";"Payerne";"299";"";"1316726.44"
"2015";"225822";"Payerne";"300";"01";"486342.70"
"2015";"225822";"Payerne";"300";"14";"3070.00"
"2015";"225822";"Payerne";"300";"79";"2637.50"
"2015";"225822";"Payerne";"301";"01";"4500.00"
"2015";"225822";"Payerne";"301";"02";"3141620.60"
"2015";"225822";"Payerne";"301";"14";"984885.00"
"2015";"225822";"Payerne";"301";"16";"27843.75"
"2015";"225822";"Payerne";"301";"21";"3169.00"
"2015";"225822";"Payerne";"301";"31";"270823.80"
"2015";"225822";"Payerne";"301";"34";"438981.65"
"2015";"225822";"Payerne";"301";"43";"5269.35"
"2015";"225822";"Payerne";"301";"57";"31473.30"
"2015";"225822";"Payerne";"301";"61";"1222743.80"
"2015";"225822";"Payerne";"301";"71";"598282.90"
"2015";"225822";"Payerne";"301";"72";"463323.78"
"2015";"225822";"Payerne";"301";"73";"260430.05"
"2015";"225822";"Payerne";"301";"74";"23800.00"
"2015";"225822";"Payerne";"301";"82";"81756.00"
"2015";"225822";"Payerne";"301";"96";"202461.20"
"2015";"225822";"Payerne";"304";"01";"6629.10"
"2015";"225822";"Payerne";"304";"02";"22535.05"
"2015";"225822";"Payerne";"304";"14";"312.20"
"2015";"225822";"Payerne";"304";"16";"171.90"
"2015";"225822";"Payerne";"304";"61";"679.30"
"2015";"225822";"Payerne";"305";"01";"104290.00"
"2015";"225822";"Payerne";"305";"02";"752399.60"
"2015";"225822";"Payerne";"305";"14";"227635.80"
"2015";"225822";"Payerne";"305";"16";"1681.85"
"2015";"225822";"Payerne";"305";"31";"66968.95"
"2015";"225822";"Payerne";"305";"34";"101251.45"
"2015";"225822";"Payerne";"305";"43";"382.95"
"2015";"225822";"Payerne";"305";"57";"4500.10"
"2015";"225822";"Payerne";"305";"61";"286801.85"
"2015";"225822";"Payerne";"305";"71";"131523.50"
"2015";"225822";"Payerne";"305";"72";"112535.30"
"2015";"225822";"Payerne";"305";"73";"57506.30"
"2015";"225822";"Payerne";"305";"74";"4200.00"
"2015";"225822";"Payerne";"305";"82";"22062.50"
"2015";"225822";"Payerne";"305";"96";"84728.00"
"2015";"225822";"Payerne";"309";"02";"132066.70"
"2015";"225822";"Payerne";"309";"14";"3332.30"
"2015";"225822";"Payerne";"310";"02";"97518.18"
"2015";"225822";"Payerne";"310";"14";"95769.35"
"2015";"225822";"Payerne";"310";"16";"3181.70"
"2015";"225822";"Payerne";"310";"21";"36384.06"
"2015";"225822";"Payerne";"310";"34";"66073.14"
"2015";"225822";"Payerne";"310";"57";"250.00"
"2015";"225822";"Payerne";"310";"61";"2484.85"
"2015";"225822";"Payerne";"310";"72";"48387.06"
"2015";"225822";"Payerne";"310";"73";"12809.80"
"2015";"225822";"Payerne";"310";"79";"14751.65"
"2015";"225822";"Payerne";"310";"82";"1536.00"
"2015";"225822";"Payerne";"310";"96";"402755.03"
"2015";"225822";"Payerne";"311";"02";"245699.47"
"2015";"225822";"Payerne";"311";"14";"22816.46"
"2015";"225822";"Payerne";"311";"16";"13600.15"
"2015";"225822";"Payerne";"311";"21";"19617.75"
"2015";"225822";"Payerne";"311";"34";"52129.59"
"2015";"225822";"Payerne";"311";"61";"182543.38"
