"arten","funk","jahr","value","dim","unit"
"100","","2022","6632818.83","bilanz","CHF"
"101","","2022","9092276.18","bilanz","CHF"
"104","","2022","12536942.34","bilanz","CHF"
"106","","2022","321805.95","bilanz","CHF"
"107","","2022","31953277.91","bilanz","CHF"
"108","","2022","65040696.41","bilanz","CHF"
"140","","2022","198209641.93","bilanz","CHF"
"142","","2022","1252391.73","bilanz","CHF"
"144","","2022","1.00","bilanz","CHF"
"145","","2022","1891838.82","bilanz","CHF"
"146","","2022","41568.45","bilanz","CHF"
"200","","2022","10020110.86","bilanz","CHF"
"201","","2022","18654600.00","bilanz","CHF"
"204","","2022","1280376.68","bilanz","CHF"
"205","","2022","634500.00","bilanz","CHF"
"206","","2022","121467249.20","bilanz","CHF"
"208","","2022","4108567.60","bilanz","CHF"
"209","","2022","1119804.00","bilanz","CHF"
"290","","2022","12929786.19","bilanz","CHF"
"293","","2022","9713840.00","bilanz","CHF"
"294","","2022","9993450.00","bilanz","CHF"
"295","","2022","42802417.19","bilanz","CHF"
"296","","2022","24839517.70","bilanz","CHF"
"299","","2022","69409040.13","bilanz","CHF"
"300","01","2022","673618.70","aufwand","CHF"
"301","01","2022","-21292.16","aufwand","CHF"
"301","02","2022","2888455.60","aufwand","CHF"
"301","11","2022","658147.26","aufwand","CHF"
"301","14","2022","1380588.98","aufwand","CHF"
"301","21","2022","3129152.95","aufwand","CHF"
"301","31","2022","1502753.56","aufwand","CHF"
"301","32","2022","590610.29","aufwand","CHF"
"301","34","2022","1335714.60","aufwand","CHF"
"301","43","2022","354490.38","aufwand","CHF"
"301","53","2022","116770.34","aufwand","CHF"
"301","54","2022","1067895.30","aufwand","CHF"
"301","57","2022","1256326.79","aufwand","CHF"
"301","61","2022","1534495.03","aufwand","CHF"
"301","62","2022","2726.93","aufwand","CHF"
"301","72","2022","642744.70","aufwand","CHF"
"301","73","2022","761641.24","aufwand","CHF"
"301","77","2022","188573.32","aufwand","CHF"
"301","79","2022","12628.53","aufwand","CHF"
"301","82","2022","401655.04","aufwand","CHF"
"301","85","2022","1440192.39","aufwand","CHF"
"301","87","2022","89176.39","aufwand","CHF"
"302","21","2022","12053663.15","aufwand","CHF"
"304","01","2022","10674.20","aufwand","CHF"
"304","02","2022","58591.10","aufwand","CHF"
"304","11","2022","6985.00","aufwand","CHF"
"304","14","2022","5077.00","aufwand","CHF"
"304","21","2022","167458.30","aufwand","CHF"
"304","31","2022","19545.00","aufwand","CHF"
"304","32","2022","5479.80","aufwand","CHF"
"304","34","2022","18297.30","aufwand","CHF"
"304","43","2022","2662.00","aufwand","CHF"
"304","53","2022","580.15","aufwand","CHF"
"304","54","2022","31380.40","aufwand","CHF"
"304","57","2022","26086.20","aufwand","CHF"
"304","61","2022","63602.61","aufwand","CHF"
"304","72","2022","6965.80","aufwand","CHF"
"304","73","2022","11773.49","aufwand","CHF"
"304","77","2022","1188.00","aufwand","CHF"
"304","79","2022","8250.00","aufwand","CHF"
"304","82","2022","16231.40","aufwand","CHF"
"304","85","2022","13020.00","aufwand","CHF"
"305","01","2022","151940.65","aufwand","CHF"
"305","02","2022","682705.99","aufwand","CHF"
"305","11","2022","140785.30","aufwand","CHF"
"305","14","2022","190982.68","aufwand","CHF"
"305","21","2022","3300795.88","aufwand","CHF"
"305","31","2022","297002.85","aufwand","CHF"
"305","32","2022","129135.54","aufwand","CHF"
"305","34","2022","282050.22","aufwand","CHF"
"305","43","2022","84511.54","aufwand","CHF"
"305","53","2022","24341.52","aufwand","CHF"
"305","54","2022","233360.57","aufwand","CHF"
"305","57","2022","282023.19","aufwand","CHF"
"305","61","2022","413708.59","aufwand","CHF"
"305","62","2022","481.22","aufwand","CHF"
"305","72","2022","146009.27","aufwand","CHF"
"305","73","2022","161022.22","aufwand","CHF"
"305","77","2022","42139.07","aufwand","CHF"
"305","79","2022","126032.95","aufwand","CHF"
"305","82","2022","111326.74","aufwand","CHF"
"305","85","2022","287029.61","aufwand","CHF"
"305","87","2022","15737.01","aufwand","CHF"
"306","53","2022","107002.70","aufwand","CHF"
"309","01","2022","390.00","aufwand","CHF"
"309","02","2022","96830.58","aufwand","CHF"
"309","11","2022","6843.95","aufwand","CHF"
"309","14","2022","270.00","aufwand","CHF"
"309","21","2022","17405.90","aufwand","CHF"
"309","31","2022","1925.00","aufwand","CHF"
"309","34","2022","4744.34","aufwand","CHF"
"309","43","2022","4500.20","aufwand","CHF"
"309","54","2022","2711.50","aufwand","CHF"
"309","57","2022","1150.00","aufwand","CHF"
"309","61","2022","15152.91","aufwand","CHF"
"309","72","2022","6492.93","aufwand","CHF"
"309","73","2022","3179.26","aufwand","CHF"
"309","77","2022","680.65","aufwand","CHF"
"309","79","2022","6624.20","aufwand","CHF"
"309","82","2022","9566.95","aufwand","CHF"
"310","01","2022","22808.60","aufwand","CHF"
"310","02","2022","124615.20","aufwand","CHF"
"310","11","2022","12135.98","aufwand","CHF"
"310","14","2022","6798.70","aufwand","CHF"
"310","21","2022","433188.99","aufwand","CHF"
"310","31","2022","142480.42","aufwand","CHF"
"310","32","2022","71430.64","aufwand","CHF"
"310","34","2022","75625.77","aufwand","CHF"
"310","43","2022","35799.27","aufwand","CHF"
"310","53","2022","1062.29","aufwand","CHF"
"310","54","2022","105543.29","aufwand","CHF"
"310","57","2022","8031.79","aufwand","CHF"
"310","61","2022","761226.27","aufwand","CHF"
"310","62","2022","321.00","aufwand","CHF"
"310","72","2022","93497.79","aufwand","CHF"
"310","73","2022","4944.20","aufwand","CHF"
"310","77","2022","34179.12","aufwand","CHF"
"310","79","2022","11149.31","aufwand","CHF"
"310","82","2022","20258.13","aufwand","CHF"
"310","85","2022","4268.62","aufwand","CHF"
"311","02","2022","14636.80","aufwand","CHF"
"311","11","2022","229.90","aufwand","CHF"
"311","14","2022","4248.70","aufwand","CHF"
"311","21","2022","55977.95","aufwand","CHF"
"311","31","2022","24436.29","aufwand","CHF"
"311","32","2022","3832.17","aufwand","CHF"
"311","34","2022","17784.50","aufwand","CHF"
"311","43","2022","3144.95","aufwand","CHF"
"311","53","2022","15.60","aufwand","CHF"
"311","54","2022","2713.80","aufwand","CHF"
"311","57","2022","1658.96","aufwand","CHF"
"311","61","2022","21498.43","aufwand","CHF"
"311","62","2022","4471.69","aufwand","CHF"
