"arten","funk","jahr","value","dim","unit"
"100","","2018","9140606.22","bilanz","CHF"
"101","","2018","6695939.81","bilanz","CHF"
"102","","2018","39232.50","bilanz","CHF"
"104","","2018","6228050.05","bilanz","CHF"
"107","","2018","53800.00","bilanz","CHF"
"108","","2018","23984346.00","bilanz","CHF"
"140","","2018","29860114.19","bilanz","CHF"
"142","","2018","87705.45","bilanz","CHF"
"146","","2018","1041077.95","bilanz","CHF"
"200","","2018","7310669.55","bilanz","CHF"
"201","","2018","-3.80","bilanz","CHF"
"204","","2018","1369459.99","bilanz","CHF"
"205","","2018","2195420.00","bilanz","CHF"
"206","","2018","24505952.00","bilanz","CHF"
"208","","2018","5000.00","bilanz","CHF"
"209","","2018","169756.45","bilanz","CHF"
"290","","2018","6023338.81","bilanz","CHF"
"293","","2018","26341238.10","bilanz","CHF"
"299","","2018","9210041.07","bilanz","CHF"
"300","01","2018","156599.85","aufwand","CHF"
"300","02","2018","328.80","aufwand","CHF"
"300","14","2018","206936.00","aufwand","CHF"
"300","21","2018","15069.70","aufwand","CHF"
"300","32","2018","616.50","aufwand","CHF"
"300","34","2018","33722.55","aufwand","CHF"
"300","57","2018","14295.95","aufwand","CHF"
"300","77","2018","726.10","aufwand","CHF"
"301","02","2018","1180381.25","aufwand","CHF"
"301","14","2018","1216782.30","aufwand","CHF"
"301","21","2018","421130.90","aufwand","CHF"
"301","32","2018","114059.00","aufwand","CHF"
"301","34","2018","144329.75","aufwand","CHF"
"301","42","2018","7050.00","aufwand","CHF"
"301","43","2018","21052.45","aufwand","CHF"
"301","53","2018","6861.70","aufwand","CHF"
"301","57","2018","1700.00","aufwand","CHF"
"301","61","2018","389951.95","aufwand","CHF"
"301","72","2018","8500.00","aufwand","CHF"
"301","73","2018","20017.50","aufwand","CHF"
"301","77","2018","81068.75","aufwand","CHF"
"301","81","2018","1220.00","aufwand","CHF"
"301","87","2018","3400.00","aufwand","CHF"
"302","21","2018","4689994.00","aufwand","CHF"
"304","02","2018","16026.40","aufwand","CHF"
"304","14","2018","15146.15","aufwand","CHF"
"304","21","2018","58940.75","aufwand","CHF"
"304","32","2018","3509.65","aufwand","CHF"
"304","34","2018","5367.90","aufwand","CHF"
"304","61","2018","14740.80","aufwand","CHF"
"305","01","2018","11364.85","aufwand","CHF"
"305","02","2018","750646.35","aufwand","CHF"
"305","14","2018","210455.10","aufwand","CHF"
"305","21","2018","879625.09","aufwand","CHF"
"305","32","2018","16470.55","aufwand","CHF"
"305","34","2018","28827.95","aufwand","CHF"
"305","42","2018","555.35","aufwand","CHF"
"305","43","2018","2870.40","aufwand","CHF"
"305","53","2018","1210.90","aufwand","CHF"
"305","57","2018","812.40","aufwand","CHF"
"305","61","2018","77311.25","aufwand","CHF"
"305","72","2018","1500.00","aufwand","CHF"
"305","73","2018","3532.50","aufwand","CHF"
"305","77","2018","14322.15","aufwand","CHF"
"305","81","2018","147.50","aufwand","CHF"
"305","87","2018","600.00","aufwand","CHF"
"309","02","2018","16737.66","aufwand","CHF"
"309","14","2018","13990.10","aufwand","CHF"
"309","21","2018","16140.38","aufwand","CHF"
"309","32","2018","1347.95","aufwand","CHF"
"309","34","2018","9302.95","aufwand","CHF"
"309","57","2018","760.00","aufwand","CHF"
"309","61","2018","9853.85","aufwand","CHF"
"309","77","2018","75.00","aufwand","CHF"
"310","01","2018","5425.15","aufwand","CHF"
"310","02","2018","40007.85","aufwand","CHF"
"310","14","2018","10561.05","aufwand","CHF"
"310","21","2018","148093.15","aufwand","CHF"
"310","32","2018","37070.60","aufwand","CHF"
"310","34","2018","23246.95","aufwand","CHF"
"310","43","2018","493.55","aufwand","CHF"
"310","57","2018","975.25","aufwand","CHF"
