"arten","funk","jahr","value","dim","unit"
"100","","2016","11332310.02","bilanz","CHF"
"101","","2016","4285218.18","bilanz","CHF"
"104","","2016","1289042.72","bilanz","CHF"
"107","","2016","2229585.35","bilanz","CHF"
"108","","2016","37819793.89","bilanz","CHF"
"109","","2016","812651.44","bilanz","CHF"
"140","","2016","22901920.34","bilanz","CHF"
"200","","2016","16048915.98","bilanz","CHF"
"204","","2016","224459.15","bilanz","CHF"
"206","","2016","44500000.00","bilanz","CHF"
"208","","2016","2344062.31","bilanz","CHF"
"209","","2016","12551739.56","bilanz","CHF"
"299","","2016","5001344.94","bilanz","CHF"
"300","01","2016","168015.00","aufwand","CHF"
"300","21","2016","238352.80","aufwand","CHF"
"301","01","2016","14552.25","aufwand","CHF"
"301","02","2016","2916350.46","aufwand","CHF"
"301","14","2016","467949.80","aufwand","CHF"
"301","15","2016","211.40","aufwand","CHF"
"301","21","2016","1630755.80","aufwand","CHF"
"301","32","2016","32216.15","aufwand","CHF"
"301","34","2016","478088.53","aufwand","CHF"
"301","43","2016","32837.45","aufwand","CHF"
"301","53","2016","8342.10","aufwand","CHF"
"301","54","2016","31630.30","aufwand","CHF"
"301","61","2016","1134772.40","aufwand","CHF"
"301","77","2016","44782.15","aufwand","CHF"
"302","21","2016","9894765.60","aufwand","CHF"
"305","01","2016","12435.55","aufwand","CHF"
"305","02","2016","590182.50","aufwand","CHF"
"305","14","2016","82579.35","aufwand","CHF"
"305","21","2016","2076295.60","aufwand","CHF"
"305","32","2016","1719.40","aufwand","CHF"
"305","34","2016","77935.05","aufwand","CHF"
"305","43","2016","1325.85","aufwand","CHF"
"305","53","2016","1472.15","aufwand","CHF"
"305","57","2016","601.80","aufwand","CHF"
"305","61","2016","229595.80","aufwand","CHF"
"305","77","2016","3875.15","aufwand","CHF"
"309","01","2016","31655.95","aufwand","CHF"
"309","02","2016","105746.55","aufwand","CHF"
"309","21","2016","102273.34","aufwand","CHF"
"309","32","2016","54.75","aufwand","CHF"
"309","34","2016","11516.60","aufwand","CHF"
"309","61","2016","15240.10","aufwand","CHF"
"310","01","2016","68434.25","aufwand","CHF"
"310","02","2016","102211.86","aufwand","CHF"
"310","15","2016","81.33","aufwand","CHF"
"310","21","2016","359911.37","aufwand","CHF"
"310","32","2016","2013.10","aufwand","CHF"
"310","34","2016","308687.14","aufwand","CHF"
"310","43","2016","4041.25","aufwand","CHF"
"310","61","2016","85221.28","aufwand","CHF"
"310","73","2016","8791.92","aufwand","CHF"
"310","77","2016","1517.09","aufwand","CHF"
"310","84","2016","2554.20","aufwand","CHF"
"310","96","2016","1740.62","aufwand","CHF"
"311","02","2016","14707.60","aufwand","CHF"
"311","16","2016","853.20","aufwand","CHF"
"311","21","2016","304190.62","aufwand","CHF"
"311","32","2016","6446.30","aufwand","CHF"
"311","34","2016","51303.25","aufwand","CHF"
"311","61","2016","19336.30","aufwand","CHF"
"311","73","2016","1229.90","aufwand","CHF"
"311","77","2016","173.00","aufwand","CHF"
"312","02","2016","31797.95","aufwand","CHF"
"312","15","2016","8818.40","aufwand","CHF"
"312","16","2016","6022.00","aufwand","CHF"
"312","21","2016","202526.00","aufwand","CHF"
"312","32","2016","11143.94","aufwand","CHF"
"312","34","2016","136077.90","aufwand","CHF"
"312","61","2016","65581.30","aufwand","CHF"
"312","62","2016","338.45","aufwand","CHF"
"312","72","2016","6336.05","aufwand","CHF"
"312","77","2016","3917.00","aufwand","CHF"
"312","96","2016","49865.50","aufwand","CHF"
"313","01","2016","130411.83","aufwand","CHF"
"313","02","2016","541712.03","aufwand","CHF"
"313","11","2016","3332.95","aufwand","CHF"
"313","14","2016","80626.85","aufwand","CHF"
"313","15","2016","735.50","aufwand","CHF"
"313","16","2016","6813.95","aufwand","CHF"
"313","21","2016","121354.35","aufwand","CHF"
"313","32","2016","78792.69","aufwand","CHF"
"313","34","2016","39754.30","aufwand","CHF"
"313","43","2016","1860.00","aufwand","CHF"
"313","57","2016","110145.36","aufwand","CHF"
"313","61","2016","46298.05","aufwand","CHF"
"313","62","2016","21575.00","aufwand","CHF"
"313","72","2016","2104388.25","aufwand","CHF"
"313","73","2016","212617.55","aufwand","CHF"
"313","76","2016","42259.40","aufwand","CHF"
