"Bezirk (>>) / Gemeinde (......)","Fläche Total 2013/18","-10 Künstlich angelegte Flächen 2013/18",">>10.11 Befestigte Flächen 2013/18",">>10.12 Gebäude 2013/18",">>10.13 Treibhäuser 2013/18",">>10.14 Beetstrukturen 2013/18",">>10.15 Rasen 2013/18",">>10.16 Bäume auf künstlich angelegten Flächen 2013/18",">>10.17 Gemischte Kleinstrukturen 2013/18","-20 Gras-, Krautvegetation 2013/18",">>20.21 Gras-, Krautvegetation 2013/18","-30 Gebüschvegetation 2013/18",">>30.31 Gebüsch 2013/18",">>30.32 Verbuschte Flächen 2013/18",">>30.33 Niederstammobst 2013/18",">>30.34 Reben 2013/18",">>30.35 Gärtnerische Dauerkulturen 2013/18","-40 Baumvegetation 2013/18",">>40.41 Geschlossene Baumbestände 2013/18",">>40.42 Waldecken 2013/18",">>40.43 Waldstreifen 2013/18",">>40.44 Aufgelöste Baumbestände 2013/18",">>40.45 Gebüschwaldbestände 2013/18",">>40.46 Lineare Baumbestände 2013/18",">>40.47 Baumgruppen 2013/18","-50 Vegetationslose Flächen 2013/18",">>50.51 Anstehender Fels 2013/18",">>50.52 Lockergestein 2013/18",">>50.53 Versteinte Flächen 2013/18","-60 Wasser und Feuchtflächen 2013/18",">>60.61 Wasser 2013/18",">>60.62 Gletscher, Firn 2013/18",">>60.63 Nassstandorte 2013/18",">>60.64 Schilfbestände 2013/18"
"8100",3999703,289381,152756,53940,1055,6429,41257,20615,13329,1390135,1390135,208022,87550,95006,7871,15111,2484,1311263,947062,7510,35481,124362,64313,35821,96714,638918,209124,272057,157737,161984,33682,103008,22926,2368
"-101",11305,1744,915,320,5,50,248,92,114,5904,5904,105,42,13,27,2,21,3235,2666,27,85,100,0,139,218,50,0,42,8,267,96,0,159,12
"1",790,97,57,16,0,1,8,7,8,392,392,5,0,4,1,0,0,248,199,1,13,6,0,10,19,0,0,0,0,48,30,0,16,2
"2",1054,290,143,66,0,6,45,15,15,436,436,9,7,0,1,0,1,308,265,4,4,7,0,14,14,2,0,2,0,9,2,0,7,0
"3",744,122,59,24,1,4,17,8,9,383,383,9,6,0,0,0,3,225,183,2,5,11,0,6,18,4,0,4,0,1,1,0,0,0
"4",1364,162,74,31,2,4,27,8,16,746,746,11,3,1,1,1,5,411,346,4,14,11,0,12,24,2,0,1,1,32,25,0,6,1
"5",655,122,60,14,1,2,25,12,8,304,304,8,6,2,0,0,0,215,200,0,0,6,0,4,5,2,0,1,1,4,2,0,2,0
"6",782,63,41,9,0,1,4,2,6,522,522,0,0,0,0,0,0,185,138,5,5,5,0,7,25,1,0,1,0,11,0,0,11,0
"7",649,98,66,15,0,2,11,3,1,403,403,4,1,0,2,1,0,126,99,1,5,2,0,5,14,4,0,3,1,14,1,0,13,0
"8",468,33,20,6,0,1,5,0,1,267,267,4,1,0,2,0,1,116,92,0,2,7,0,8,7,6,0,4,2,42,2,0,39,1
"9",1305,188,105,39,1,8,21,4,10,815,815,20,5,0,11,0,4,267,218,3,5,5,0,13,23,3,0,3,0,12,4,0,8,0
"10",755,160,90,21,0,7,27,8,7,372,372,11,3,1,7,0,0,169,133,2,6,5,0,13,10,14,0,13,1,29,7,0,20,2
"11",503,99,49,20,0,4,13,7,6,258,258,4,1,1,2,0,0,114,84,0,5,6,0,10,9,7,0,6,1,21,9,0,9,3
"12",659,60,38,3,0,3,7,4,5,411,411,7,1,1,0,0,5,162,128,1,4,8,0,10,11,1,0,1,0,18,2,0,16,0
"13",1202,125,66,23,0,3,13,7,13,449,449,9,5,3,0,0,1,608,513,2,14,17,0,25,37,2,0,2,0,9,1,0,6,2
"14",375,125,47,33,0,4,25,7,9,146,146,4,3,0,0,0,1,81,68,2,3,4,0,2,2,2,0,1,1,17,10,0,6,1
"-102",16663,1689,968,277,14,54,188,108,80,8188,8188,440,95,20,33,232,60,5863,5299,45,103,107,0,119,190,95,1,71,23,388,292,0,66,30
"22",566,46,25,8,2,2,2,4,3,280,280,38,1,0,1,22,14,198,180,0,4,2,0,4,8,3,0,2,1,1,1,0,0,0
"23",703,33,22,5,0,1,1,1,3,314,314,25,8,0,2,15,0,319,288,2,3,5,0,7,14,2,0,1,1,10,9,0,1,0
"24",1016,71,48,10,0,1,8,3,1,545,545,18,9,0,1,7,1,381,355,0,4,9,0,5,8,1,0,0,1,0,0,0,0,0
"25",266,84,39,19,1,1,12,5,7,117,117,9,0,1,0,5,3,36,18,2,8,2,0,2,4,1,0,1,0,19,19,0,0,0
"26",554,58,14,8,0,1,30,3,2,241,241,16,0,0,1,11,4,237,203,5,3,6,0,8,12,1,0,1,0,1,0,0,1,0
"27",250,94,44,13,0,0,20,9,8,31,31,2,2,0,0,0,0,112,96,0,4,1,0,3,8,7,0,6,1,4,4,0,0,0
"28",1020,86,41,18,0,5,12,5,5,492,492,30,7,2,1,10,10,339,292,3,6,19,0,14,5,4,0,3,1,69,53,0,13,3
"29",240,52,26,7,0,1,10,4,4,34,34,7,1,3,0,3,0,139,127,0,3,4,0,2,3,0,0,0,0,8,8,0,0,0
"31",305,64,38,7,0,1,10,5,3,163,163,8,0,0,0,8,0,66,55,2,2,3,0,3,1,1,0,0,1,3,0,0,3,0
"33",1029,117,76,17,0,5,7,9,3,503,503,28,3,2,0,22,1,343,309,1,11,7,0,6,9,12,0,8,4,26,14,0,8,4
"34",629,75,37,14,0,1,9,8,6,226,226,32,8,0,13,11,0,275,251,2,6,7,0,3,6,1,1,0,0,20,20,0,0,0
"35",1415,126,77,22,0,7,9,6,5,664,664,9,6,2,0,1,0,555,532,1,2,8,0,7,5,26,0,22,4,35,16,0,16,3
"37",1307,112,71,22,2,4,6,4,3,715,715,33,5,1,0,27,0,387,347,6,9,6,0,4,15,6,0,5,1,54,36,0,8,10
"38",897,91,53,12,2,4,10,8,2,226,226,12,5,1,0,5,1,494,469,1,9,3,0,3,9,5,0,4,1,69,66,0,2,1
"39",646,56,33,5,3,2,5,4,4,423,423,4,3,0,0,0,1,140,122,1,6,1,0,3,7,2,0,1,1,21,15,0,1,5
