"Grossregion (<<) / Kanton (-)","Fläche Total 2013/18","-10 Künstlich angelegte Flächen 2013/18",">>10.11 Befestigte Flächen 2013/18",">>10.12 Gebäude 2013/18",">>10.13 Treibhäuser 2013/18",">>10.14 Beetstrukturen 2013/18",">>10.15 Rasen 2013/18",">>10.16 Bäume auf künstlich angelegten Flächen 2013/18",">>10.17 Gemischte Kleinstrukturen 2013/18","-20 Gras-, Krautvegetation 2013/18",">>20.21 Gras-, Krautvegetation 2013/18","-30 Gebüschvegetation 2013/18",">>30.31 Gebüsch 2013/18",">>30.32 Verbuschte Flächen 2013/18",">>30.33 Niederstammobst 2013/18",">>30.34 Reben 2013/18",">>30.35 Gärtnerische Dauerkulturen 2013/18","-40 Baumvegetation 2013/18",">>40.41 Geschlossene Baumbestände 2013/18",">>40.42 Waldecken 2013/18",">>40.43 Waldstreifen 2013/18",">>40.44 Aufgelöste Baumbestände 2013/18",">>40.45 Gebüschwaldbestände 2013/18",">>40.46 Lineare Baumbestände 2013/18",">>40.47 Baumgruppen 2013/18","-50 Vegetationslose Flächen 2013/18",">>50.51 Anstehender Fels 2013/18",">>50.52 Lockergestein 2013/18",">>50.53 Versteinte Flächen 2013/18","-60 Wasser und Feuchtflächen 2013/18",">>60.61 Wasser 2013/18",">>60.62 Gletscher, Firn 2013/18",">>60.63 Nassstandorte 2013/18",">>60.64 Schilfbestände 2013/18"
"CH",4129071,289433,152793,53946,1055,6429,41262,20618,13330,1390135,1390135,208029,87553,95006,7871,15111,2488,1311320,947088,7513,35485,124362,64313,35843,96716,638939,209124,272077,157738,291215,162622,103008,22937,2648
"RL",871942,53104,27616,8439,278,1166,8506,4578,2521,225982,225982,51014,17722,19491,3436,10012,353,236204,166600,1069,6891,26665,8938,6712,19329,190192,68546,82379,39267,115446,49688,63366,1796,596
"22",321223,27219,14037,4154,105,552,4492,2408,1471,130311,130311,10384,3162,2398,890,3711,223,103334,80564,513,2923,8095,1413,3534,6292,8087,2593,3132,2362,41888,39965,274,1160,489
"23",522482,16974,9692,2708,66,403,2465,967,673,86294,86294,39002,14467,17038,2440,5017,40,128908,83431,516,3672,18505,7525,2588,12671,181858,65951,79043,36864,69446,5688,63092,587,79
"25",28237,8911,3887,1577,107,211,1549,1203,377,9377,9377,1628,93,55,106,1284,90,3962,2605,40,296,65,0,590,366,247,2,204,41,4112,4035,0,49,28
"EM",1006206,74145,39999,13799,199,1891,10056,4756,3445,443459,443459,24058,12493,9490,554,1002,519,332405,254453,2077,10338,24333,6490,11778,22936,73114,31503,25620,15991,59025,34824,18611,4848,742
"2",595852,39174,21487,7640,99,1131,4687,2475,1655,244642,244642,17422,8722,7818,325,259,298,186448,136305,1245,6272,15897,6154,6125,14450,68666,30764,23499,14403,39500,16398,18611,4146,345
"10",167244,13364,7090,2288,72,309,2168,760,677,93141,93141,3573,2199,1090,57,118,109,44388,33578,362,1814,2990,336,2313,2995,3316,615,1375,1326,9462,8762,0,366,334
"11",79039,10555,5408,2064,14,242,1548,685,594,32124,32124,1145,707,197,138,15,88,34117,29392,188,611,1091,0,1036,1799,458,57,297,104,640,610,0,20,10
"24",80214,5996,3092,1023,11,116,925,505,324,32955,32955,920,190,108,14,594,14,31044,25790,128,660,1706,0,971,1789,310,31,212,67,8989,8777,0,178,34
"26",83857,5056,2922,784,3,93,728,331,195,40597,40597,998,675,277,20,16,10,36408,29388,154,981,2649,0,1333,1903,364,36,237,91,434,277,0,138,19
"NS",195857,34113,17163,6917,104,922,4281,2946,1780,78099,78099,4390,2145,505,769,540,431,74478,63477,369,1538,1908,0,2573,4613,1041,22,803,216,3736,3300,0,315,121
"12",3697,2513,1035,670,0,94,202,387,125,433,433,20,1,5,5,6,3,566,407,5,31,11,0,42,70,21,0,17,4,144,144,0,0,0
"13",51775,8628,4177,1765,9,250,971,901,555,19204,19204,1158,457,115,369,122,95,22238,18715,137,436,518,0,683,1749,260,7,179,74,287,267,0,14,6
"19",140385,22972,11951,4482,95,578,3108,1658,1100,58462,58462,3212,1687,385,395,412,333,51674,44355,227,1071,1379,0,1848,2794,760,15,607,138,3305,2889,0,301,115
"ZU",172886,35663,17567,6930,144,970,5243,2863,1946,69270,69270,2757,963,354,353,641,446,54054,45637,408,1397,1913,0,1931,2768,828,2,675,151,10314,8285,0,1649,380
"1",172886,35663,17567,6930,144,970,5243,2863,1946,69270,69270,2757,963,354,353,641,446,54054,45637,408,1397,1913,0,1931,2768,828,2,675,151,10314,8285,0,1649,380
