"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"1";"Aeugst am Albis";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";224;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"2";"Affoltern am Albis";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";5016;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"3";"Bonstetten";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";652;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"4";"Hausen am Albis";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";559;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"5";"Hedingen";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";1354;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"6";"Kappel am Albis";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";239;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"7";"Knonau";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";359;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"8";"Maschwanden";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";63;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"9";"Mettmenstetten";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";1410;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"10";"Obfelden";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";969;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"11";"Ottenbach";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";570;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"12";"Rifferswil";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";182;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"13";"Stallikon";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";595;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"14";"Wettswil am Albis";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";910;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"21";"Adlikon";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";98;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"22";"Benken (ZH)";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";112;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"23";"Berg am Irchel";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";76;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"24";"Buch am Irchel";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";108;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"25";"Dachsen";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";329;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"26";"Dorf";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";105;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"27";"Feuerthalen";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";927;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"28";"Flaach";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";513;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"29";"Flurlingen";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";391;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"30";"Andelfingen";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";1183;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"31";"Henggart";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";636;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"32";"Humlikon";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";89;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"33";"Kleinandelfingen";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";907;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"34";"Laufen-Uhwiesen";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";243;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"35";"Marthalen";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";1196;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"37";"Ossingen";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";304;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"38";"Rheinau";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";263;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
"39";"Thalheim an der Thur";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";156;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"polg";"Politische Gemeinden";"2021-07-01";"27299";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27299_de.html"
