"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"1";"Zürich";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";948406;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"2";"Bern";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";562689;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"3";"Luzern";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";218405;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"4";"Uri";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";13590;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"5";"Schwyz";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";78423;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"6";"Obwalden";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";17885;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"7";"Nidwalden";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";20797;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"8";"Glarus";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";18303;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"9";"Zug";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";128051;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"10";"Freiburg";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";123767;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"11";"Solothurn";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";111164;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"12";"Basel-Stadt";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";233154;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"13";"Basel-Landschaft";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";119179;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"14";"Schaffhausen";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";35496;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"15";"Appenzell Ausserrhoden";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";21667;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"16";"Appenzell Innerrhoden";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";7215;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"17";"St. Gallen";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";257893;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"18";"Graubünden";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";96309;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"19";"Aargau";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";274591;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"20";"Thurgau";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";114769;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"21";"Tessin";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";185792;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"22";"Waadt";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";364140;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"23";"Wallis";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";135542;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"24";"Neuenburg";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";83840;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"25";"Genf";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";284383;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
"26";"Jura";"Anzahl Beschäftigte in aktiven Unternehmen im Referenzjahr";30904;"Beschäftigte";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Statistik der Unternehmensdemografie (UDEMO)";"2023-11-28";"kant";"Kantone";"1997-01-01";"27300";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27300_de.html"
