"arten","funk","jahr","value","dim","unit"
"100","","2016","7597096472.13","bilanz","CHF"
"101","","2016","6073349628.27","bilanz","CHF"
"102","","2016","1662441785.91","bilanz","CHF"
"104","","2016","2027858239.32","bilanz","CHF"
"106","","2016","660317.28","bilanz","CHF"
"107","","2016","3347831109.99","bilanz","CHF"
"108","","2016","235970259","bilanz","CHF"
"109","","2016","3947882.81","bilanz","CHF"
"140","","2016","57173405068.95","bilanz","CHF"
"141","","2016","221502495.76","bilanz","CHF"
"142","","2016","216040389.91","bilanz","CHF"
"143","","2016","","bilanz","CHF"
"144","","2016","2994901898.56","bilanz","CHF"
"145","","2016","20416007265.95","bilanz","CHF"
"146","","2016","","bilanz","CHF"
"147","","2016","2546016410.68","bilanz","CHF"
"148","","2016","-3129942398.06","bilanz","CHF"
"200","","2016","15192615497.68","bilanz","CHF"
"201","","2016","9928880824.89","bilanz","CHF"
"204","","2016","8974810556.61","bilanz","CHF"
"205","","2016","767352053.97","bilanz","CHF"
"206","","2016","71407723239.34","bilanz","CHF"
"207","","2016","1327682336.52","bilanz","CHF"
"208","","2016","18372846761.74","bilanz","CHF"
"209","","2016","4931391394.86","bilanz","CHF"
"290","","2016","7407958787.48","bilanz","CHF"
"292","","2016","228765464.71","bilanz","CHF"
"293","","2016","","bilanz","CHF"
"294","","2016","","bilanz","CHF"
"295","","2016","","bilanz","CHF"
"296","","2016","-1717138687","bilanz","CHF"
"298","","2016","565353374.72","bilanz","CHF"
"299","","2016","-36001154779.06","bilanz","CHF"
"300","","2016","77406965.17","aufwand","CHF"
"301","","2016","6253480805.21","aufwand","CHF"
"302","","2016","","aufwand","CHF"
"303","","2016","35426059.77","aufwand","CHF"
"304","","2016","","aufwand","CHF"
"305","","2016","1274565717.12","aufwand","CHF"
"306","","2016","88387698.92","aufwand","CHF"
"309","","2016","94683648.08","aufwand","CHF"
"310","","2016","965529864.05","aufwand","CHF"
"311","","2016","173810228.45","aufwand","CHF"
"312","","2016","154315409.71","aufwand","CHF"
"313","","2016","1433156958.33","aufwand","CHF"
"314","","2016","535325705.89","aufwand","CHF"
"315","","2016","145805603.29","aufwand","CHF"
"316","","2016","215141304.99","aufwand","CHF"
"317","","2016","207383572.71","aufwand","CHF"
"318","","2016","770161724.09","aufwand","CHF"
"319","","2016","661593362.48","aufwand","CHF"
"320","","2016","1113824650.92","aufwand","CHF"
"331","","2016","","aufwand","CHF"
"337","","2016","2391830675.12","aufwand","CHF"
"338","","2016","92654742.08","aufwand","CHF"
"340","","2016","1684895122.89","aufwand","CHF"
"341","","2016","45629316.56","aufwand","CHF"
"342","","2016","66884864.01","aufwand","CHF"
"343","","2016","","aufwand","CHF"
"344","","2016","8138328.85","aufwand","CHF"
"349","","2016","38658860.94","aufwand","CHF"
"350","","2016","270333837.32","aufwand","CHF"
"351","","2016","49757.91","aufwand","CHF"
"352","","2016","166856125.8","aufwand","CHF"
"3600","","2016","","aufwand","CHF"
"36010","","2016","3619161620.64","aufwand","CHF"
"36011","","2016","550432160","aufwand","CHF"
"36012","","2016","34746090.73","aufwand","CHF"
"36013","","2016","24762942.26","aufwand","CHF"
"36014","","2016","","aufwand","CHF"
"36015","","2016","356048629.46","aufwand","CHF"
"36016","","2016","","aufwand","CHF"
"36017","","2016","4233066.07","aufwand","CHF"
"36018","","2016","473271221.63","aufwand","CHF"
"36019","","2016","3211525","aufwand","CHF"
"36021","","2016","","aufwand","CHF"
"36022","","2016","","aufwand","CHF"
"36023","","2016","","aufwand","CHF"
"36029","","2016","","aufwand","CHF"
"3603","","2016","3704218364.52","aufwand","CHF"
"3604","","2016","","aufwand","CHF"
