"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","14256286552.04","bilanz","bund","CHF","fs"
"101","","2020","7217121798.55","bilanz","bund","CHF","fs"
"102","","2020","1671213296.31","bilanz","bund","CHF","fs"
"104","","2020","3521980397.27","bilanz","bund","CHF","fs"
"106","","2020","641944.6","bilanz","bund","CHF","fs"
"107","","2020","5136582383.29","bilanz","bund","CHF","fs"
"108","","2020","264777391","bilanz","bund","CHF","fs"
"109","","2020","","bilanz","bund","CHF","fs"
"140","","2020","67677226508.5","bilanz","bund","CHF","fs"
"141","","2020","3977374988.54","bilanz","bund","CHF","fs"
"142","","2020","335538017.52","bilanz","bund","CHF","fs"
"143","","2020","","bilanz","bund","CHF","fs"
"144","","2020","5335127998.03","bilanz","bund","CHF","fs"
"145","","2020","63892401099.31","bilanz","bund","CHF","fs"
"146","","2020","","bilanz","bund","CHF","fs"
"147","","2020","5270087.59","bilanz","bund","CHF","fs"
"148","","2020","-8162311977","bilanz","bund","CHF","fs"
"200","","2020","16822584912.42","bilanz","bund","CHF","fs"
"201","","2020","16005099912.11","bilanz","bund","CHF","fs"
"204","","2020","10643656390.66","bilanz","bund","CHF","fs"
"205","","2020","2185152167.24","bilanz","bund","CHF","fs"
"206","","2020","66829465240.78","bilanz","bund","CHF","fs"
"207","","2020","3146090052.6","bilanz","bund","CHF","fs"
"208","","2020","33037596014.54","bilanz","bund","CHF","fs"
"209","","2020","7254550554.85","bilanz","bund","CHF","fs"
"290","","2020","6525854489.91","bilanz","bund","CHF","fs"
"292","","2020","7093178181.04","bilanz","bund","CHF","fs"
"293","","2020","","bilanz","bund","CHF","fs"
"294","","2020","","bilanz","bund","CHF","fs"
"295","","2020","","bilanz","bund","CHF","fs"
"296","","2020","-127752247.66","bilanz","bund","CHF","fs"
"298","","2020","372484400.9","bilanz","bund","CHF","fs"
"299","","2020","-4658729583.83","bilanz","bund","CHF","fs"
"empty","","2020","","er","bund","CHF","fs"
"empty","","2020","","er","bund","CHF","fs"
"empty","","2020","","er","bund","CHF","fs"
"empty","","2020","","er","bund","CHF","fs"
"300","","2020","77966257.98","aufwand","bund","CHF","fs"
"301","","2020","6756860828.38","aufwand","bund","CHF","fs"
"302","","2020","","aufwand","bund","CHF","fs"
"303","","2020","71925246.67","aufwand","bund","CHF","fs"
"304","","2020","","aufwand","bund","CHF","fs"
"305","","2020","1613319976.13","aufwand","bund","CHF","fs"
"306","","2020","16348713.86","aufwand","bund","CHF","fs"
"309","","2020","88998673.69","aufwand","bund","CHF","fs"
