"arten","funk","jahr","value","dim","unit"
"100","","2015","28213093828.81","bilanz","CHF"
"101","","2015","38251533251.48","bilanz","CHF"
"102","","2015","4457408021.21","bilanz","CHF"
"104","","2015","12730370297.9","bilanz","CHF"
"106","","2015","367026805.88","bilanz","CHF"
"107","","2015","14100451302.28","bilanz","CHF"
"108","","2015","24087699815.61","bilanz","CHF"
"109","","2015","935272927.71","bilanz","CHF"
"140","","2015","141736574475.17","bilanz","CHF"
"141","","2015","222976369.31","bilanz","CHF"
"142","","2015","812844220.22","bilanz","CHF"
"143","","2015","4825276956.36","bilanz","CHF"
"144","","2015","8138839806.7","bilanz","CHF"
"145","","2015","32633351726.34","bilanz","CHF"
"146","","2015","8265342941.72","bilanz","CHF"
"147","","2015","2630019332.81","bilanz","CHF"
"148","","2015","-3469270918.39","bilanz","CHF"
"200","","2015","39016656987.55","bilanz","CHF"
"201","","2015","20163232876.96","bilanz","CHF"
"204","","2015","21132006569.89","bilanz","CHF"
"205","","2015","1931596748.01","bilanz","CHF"
"206","","2015","158309465236.17","bilanz","CHF"
"207","","2015","1258189460.82","bilanz","CHF"
"208","","2015","25548253683.13","bilanz","CHF"
"209","","2015","18911307301.62","bilanz","CHF"
"290","","2015","15255219538.78","bilanz","CHF"
"292","","2015","406186705.28","bilanz","CHF"
"293","","2015","4302333596.11","bilanz","CHF"
"294","","2015","2687119095.66","bilanz","CHF"
"295","","2015","10998036157.95","bilanz","CHF"
"296","","2015","1580574053.71","bilanz","CHF"
"298","","2015","2054111448.67","bilanz","CHF"
"299","","2015","-4615478299.87","bilanz","CHF"
"300","","2015","856133396.79","aufwand","CHF"
"301","","2015","25115286398.52","aufwand","CHF"
"302","","2015","14726370937.61","aufwand","CHF"
"303","","2015","180105211.94","aufwand","CHF"
"304","","2015","259703581.17","aufwand","CHF"
"305","","2015","7932572078.02","aufwand","CHF"
"306","","2015","183680629.03","aufwand","CHF"
"309","","2015","518818805.82","aufwand","CHF"
"310","","2015","3063029394.3","aufwand","CHF"
"311","","2015","1023850528.56","aufwand","CHF"
"312","","2015","1581591028.52","aufwand","CHF"
"313","","2015","8466290582.39999","aufwand","CHF"
"314","","2015","3171440670.97","aufwand","CHF"
"315","","2015","1075254825.15","aufwand","CHF"
"316","","2015","1754243269.92","aufwand","CHF"
"317","","2015","687959018.52","aufwand","CHF"
"318","","2015","1305772267.77","aufwand","CHF"
"319","","2015","1399684118.17","aufwand","CHF"
"320","","2015","953321755.91","aufwand","CHF"
"331","","2015","","aufwand","CHF"
"337","","2015","8975586418.31","aufwand","CHF"
"338","","2015","1401892651.11","aufwand","CHF"
"340","","2015","3531316367.97","aufwand","CHF"
"341","","2015","171254991.39","aufwand","CHF"
"342","","2015","93920163.81","aufwand","CHF"
"343","","2015","238491415.59","aufwand","CHF"
"344","","2015","235323612.84","aufwand","CHF"
"349","","2015","165760779.51","aufwand","CHF"
"350","","2015","318333302.91","aufwand","CHF"
"351","","2015","381615840.79","aufwand","CHF"
"352","","2015","1306849332.21","aufwand","CHF"
"3600","","2015","","aufwand","CHF"
"36010","","2015","","aufwand","CHF"
"36011","","2015","","aufwand","CHF"
"36012","","2015","","aufwand","CHF"
"36013","","2015","","aufwand","CHF"
"36014","","2015","","aufwand","CHF"
"36015","","2015","","aufwand","CHF"
"36016","","2015","","aufwand","CHF"
"36017","","2015","","aufwand","CHF"
"36018","","2015","","aufwand","CHF"
"36019","","2015","","aufwand","CHF"
"36021","","2015","","aufwand","CHF"
"36022","","2015","","aufwand","CHF"
"36023","","2015","","aufwand","CHF"
"36029","","2015","","aufwand","CHF"
"3603","","2015","3724759919.82","aufwand","CHF"
"3604","","2015","160553","aufwand","CHF"
"3610","","2015","","aufwand","CHF"
"3611","","2015","","aufwand","CHF"
"3612","","2015","","aufwand","CHF"
"3613","","2015","116884.75","aufwand","CHF"
"3614","","2015","743243027.29","aufwand","CHF"
"3620","","2015","","aufwand","CHF"
"36211","","2015","","aufwand","CHF"
"36212","","2015","","aufwand","CHF"
