"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","35377925686.51","bilanz","bund_ktn_gdn","CHF","fs"
"101","","2020","45746956557.64","bilanz","bund_ktn_gdn","CHF","fs"
"102","","2020","4638905024.56","bilanz","bund_ktn_gdn","CHF","fs"
"104","","2020","16213792002.78","bilanz","bund_ktn_gdn","CHF","fs"
"106","","2020","383436473.04","bilanz","bund_ktn_gdn","CHF","fs"
"107","","2020","18057983316.62","bilanz","bund_ktn_gdn","CHF","fs"
"108","","2020","33486316196.91","bilanz","bund_ktn_gdn","CHF","fs"
"109","","2020","532791634.6","bilanz","bund_ktn_gdn","CHF","fs"
"140","","2020","170913136383.2","bilanz","bund_ktn_gdn","CHF","fs"
"141","","2020","3991942192.68","bilanz","bund_ktn_gdn","CHF","fs"
"142","","2020","1437794937.32","bilanz","bund_ktn_gdn","CHF","fs"
"143","","2020","1373449404.28","bilanz","bund_ktn_gdn","CHF","fs"
"144","","2020","11857651477.47","bilanz","bund_ktn_gdn","CHF","fs"
"145","","2020","82009788453.19","bilanz","bund_ktn_gdn","CHF","fs"
"146","","2020","10526055482.19","bilanz","bund_ktn_gdn","CHF","fs"
"147","","2020","5270087.59","bilanz","bund_ktn_gdn","CHF","fs"
"148","","2020","-8533040066.02","bilanz","bund_ktn_gdn","CHF","fs"
"200","","2020","46656720588.81","bilanz","bund_ktn_gdn","CHF","fs"
"201","","2020","30084621832.64","bilanz","bund_ktn_gdn","CHF","fs"
"204","","2020","26822239524.89","bilanz","bund_ktn_gdn","CHF","fs"
"205","","2020","5571225618.55","bilanz","bund_ktn_gdn","CHF","fs"
"206","","2020","152312331602.6","bilanz","bund_ktn_gdn","CHF","fs"
"207","","2020","3146090052.6","bilanz","bund_ktn_gdn","CHF","fs"
"208","","2020","39613299117.56","bilanz","bund_ktn_gdn","CHF","fs"
"209","","2020","13668749011.44","bilanz","bund_ktn_gdn","CHF","fs"
"290","","2020","26809330559.92","bilanz","bund_ktn_gdn","CHF","fs"
"292","","2020","7415123340.44","bilanz","bund_ktn_gdn","CHF","fs"
"293","","2020","7870237306.64","bilanz","bund_ktn_gdn","CHF","fs"
"294","","2020","1224295172.79","bilanz","bund_ktn_gdn","CHF","fs"
