"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","9454608533.61","bilanz","gdn","CHF","fs"
"101","","2016","12088300418.66","bilanz","gdn","CHF","fs"
"102","","2016","579528166.35","bilanz","gdn","CHF","fs"
"104","","2016","2496742450.66","bilanz","gdn","CHF","fs"
"106","","2016","185905849.68","bilanz","gdn","CHF","fs"
"107","","2016","4190260723.38","bilanz","gdn","CHF","fs"
"108","","2016","20741085537.81","bilanz","gdn","CHF","fs"
"109","","2016","373762173.35","bilanz","gdn","CHF","fs"
"140","","2016","47990799592.58","bilanz","gdn","CHF","fs"
"141","","2016","13510225.17","bilanz","gdn","CHF","fs"
"142","","2016","306168562.43","bilanz","gdn","CHF","fs"
"143","","2016","2899815159.11","bilanz","gdn","CHF","fs"
"144","","2016","486174240.09","bilanz","gdn","CHF","fs"
"145","","2016","1889915713.87","bilanz","gdn","CHF","fs"
"146","","2016","2174949309.98","bilanz","gdn","CHF","fs"
"147","","2016","","bilanz","gdn","CHF","fs"
"148","","2016","-66816647.83","bilanz","gdn","CHF","fs"
"200","","2016","10005029974.92","bilanz","gdn","CHF","fs"
"201","","2016","3910481777.41","bilanz","gdn","CHF","fs"
"204","","2016","2131266774.71","bilanz","gdn","CHF","fs"
"205","","2016","314878379.13","bilanz","gdn","CHF","fs"
"206","","2016","37898112975.24","bilanz","gdn","CHF","fs"
"207","","2016","","bilanz","gdn","CHF","fs"
"208","","2016","2888429948.15","bilanz","gdn","CHF","fs"
"209","","2016","8502797185.08","bilanz","gdn","CHF","fs"
"290","","2016","5865003716.86","bilanz","gdn","CHF","fs"
"292","","2016","29894075.21","bilanz","gdn","CHF","fs"
"293","","2016","4320838574.69","bilanz","gdn","CHF","fs"
"294","","2016","558338645.18","bilanz","gdn","CHF","fs"
"295","","2016","5761738596.46","bilanz","gdn","CHF","fs"
"296","","2016","2627278652.49","bilanz","gdn","CHF","fs"
"298","","2016","168976047.87","bilanz","gdn","CHF","fs"
