"arten","funk","jahr","value","dim","unit"
"100","","2022","11009123618.51","bilanz","CHF"
"101","","2022","12885310072.55","bilanz","CHF"
"102","","2022","1433688010.02","bilanz","CHF"
"104","","2022","4462140743.14","bilanz","CHF"
"106","","2022","221680849.2","bilanz","CHF"
"107","","2022","5152709500.01","bilanz","CHF"
"108","","2022","28782243302.14","bilanz","CHF"
"109","","2022","82052303.63","bilanz","CHF"
"140","","2022","67619641802.72","bilanz","CHF"
"141","","2022","18395302.88","bilanz","CHF"
"142","","2022","797018377.29","bilanz","CHF"
"143","","2022","659549259.55","bilanz","CHF"
"144","","2022","1575504151.12","bilanz","CHF"
"145","","2022","4324008535.87","bilanz","CHF"
"146","","2022","2969730487.05","bilanz","CHF"
"147","","2022","","bilanz","CHF"
"148","","2022","-401476384.6","bilanz","CHF"
"200","","2022","12975770915.63","bilanz","CHF"
"201","","2022","6613894742.61","bilanz","CHF"
"204","","2022","2772319738","bilanz","CHF"
"205","","2022","1217901882.36","bilanz","CHF"
"206","","2022","39853388372.99","bilanz","CHF"
"207","","2022","","bilanz","CHF"
"208","","2022","1994169005.5","bilanz","CHF"
"209","","2022","2679600294.84","bilanz","CHF"
"290","","2022","15791402366.1","bilanz","CHF"
"292","","2022","28520405.35","bilanz","CHF"
"293","","2022","5625830983.76","bilanz","CHF"
"294","","2022","2716976407.92","bilanz","CHF"
"295","","2022","6390679558.68","bilanz","CHF"
"296","","2022","2122886444.36","bilanz","CHF"
"298","","2022","1011588305.32","bilanz","CHF"
"299","","2022","39796390510.8","bilanz","CHF"
"300","","2022","448762525.57","aufwand","CHF"
"301","","2022","9338261175.05","aufwand","CHF"
"302","","2022","3542300328.9","aufwand","CHF"
"303","","2022","37700087.6","aufwand","CHF"
"304","","2022","126575170.86","aufwand","CHF"
"305","","2022","2663319871.57","aufwand","CHF"
"306","","2022","41859936.21","aufwand","CHF"
"309","","2022","222783742.51","aufwand","CHF"
"310","","2022","1305873172.12","aufwand","CHF"
"311","","2022","500836036.39","aufwand","CHF"
"312","","2022","998193691.86","aufwand","CHF"
"313","","2022","4335281634.96","aufwand","CHF"
"314","","2022","1926544418.73","aufwand","CHF"
"315","","2022","509158362.21","aufwand","CHF"
"316","","2022","606951795.83","aufwand","CHF"
"317","","2022","247345256.82","aufwand","CHF"
"318","","2022","325479985.12","aufwand","CHF"
"319","","2022","177780405.51","aufwand","CHF"
"320","","2022","","aufwand","CHF"
"331","","2022","156323.97","aufwand","CHF"
