"arten","funk","jahr","value","dim","unit"
"100","","2022","1074601363.33","bilanz","CHF"
"101","","2022","874247052.44","bilanz","CHF"
"102","","2022","126989550.74","bilanz","CHF"
"104","","2022","145151198.28","bilanz","CHF"
"106","","2022","3535832.46","bilanz","CHF"
"107","","2022","461825725.09","bilanz","CHF"
"108","","2022","1310859757.37","bilanz","CHF"
"109","","2022","","bilanz","CHF"
"140","","2022","8872984069.17","bilanz","CHF"
"141","","2022","","bilanz","CHF"
"142","","2022","95211549.3","bilanz","CHF"
"143","","2022","","bilanz","CHF"
"144","","2022","137563650.39","bilanz","CHF"
"145","","2022","340396123.47","bilanz","CHF"
"146","","2022","904429934.2","bilanz","CHF"
"147","","2022","","bilanz","CHF"
"148","","2022","","bilanz","CHF"
"200","","2022","1052524722.81","bilanz","CHF"
"201","","2022","317012646.61","bilanz","CHF"
"204","","2022","191387506.83","bilanz","CHF"
"205","","2022","15823758.09","bilanz","CHF"
"206","","2022","1910490825.16","bilanz","CHF"
"207","","2022","","bilanz","CHF"
"208","","2022","48502708.9","bilanz","CHF"
"209","","2022","98789423.25","bilanz","CHF"
"290","","2022","2550127235.53","bilanz","CHF"
"292","","2022","12200724.24","bilanz","CHF"
"293","","2022","50603177.97","bilanz","CHF"
"294","","2022","","bilanz","CHF"
"295","","2022","3511392081.27","bilanz","CHF"
"296","","2022","7878993.21","bilanz","CHF"
"298","","2022","","bilanz","CHF"
"299","","2022","4581062002.38","bilanz","CHF"
"300","","2022","32425043.58","aufwand","CHF"
"301","","2022","532142251.43","aufwand","CHF"
"302","","2022","79508456.92","aufwand","CHF"
"303","","2022","1192325.95","aufwand","CHF"
"304","","2022","2059098.34","aufwand","CHF"
"305","","2022","110221662.09","aufwand","CHF"
"306","","2022","1885609.3","aufwand","CHF"
"309","","2022","15763807.2","aufwand","CHF"
"310","","2022","147724187.74","aufwand","CHF"
"311","","2022","42407226.68","aufwand","CHF"
"312","","2022","78862175.32","aufwand","CHF"
"313","","2022","332323655.69","aufwand","CHF"
"314","","2022","138298743.81","aufwand","CHF"
"315","","2022","38202890.34","aufwand","CHF"
"316","","2022","44379236.24","aufwand","CHF"
"317","","2022","31920835.23","aufwand","CHF"
"318","","2022","13390378.48","aufwand","CHF"
"319","","2022","18102568.05","aufwand","CHF"
"320","","2022","","aufwand","CHF"
"331","","2022","","aufwand","CHF"
"337","","2022","278112775.42","aufwand","CHF"
"338","","2022","9443136.5","aufwand","CHF"
"340","","2022","14162637.02","aufwand","CHF"
"341","","2022","1777379.14","aufwand","CHF"
"342","","2022","375496.17","aufwand","CHF"
"343","","2022","9583465.34","aufwand","CHF"
"344","","2022","55412144.59","aufwand","CHF"
"349","","2022","552265.02","aufwand","CHF"
"350","","2022","1501870.89","aufwand","CHF"
"351","","2022","55077539.37","aufwand","CHF"
"352","","2022","","aufwand","CHF"
"3600","","2022","","aufwand","CHF"
