"arten","funk","jahr","value","dim","unit"
"100","","2020","18035151.51","bilanz","CHF"
"101","","2020","9763799.95","bilanz","CHF"
"102","","2020","","bilanz","CHF"
"104","","2020","3032299.22","bilanz","CHF"
"106","","2020","-33350","bilanz","CHF"
"107","","2020","4964161.4","bilanz","CHF"
"108","","2020","7151600","bilanz","CHF"
"109","","2020","","bilanz","CHF"
"140","","2020","34113049.27","bilanz","CHF"
"141","","2020","","bilanz","CHF"
"142","","2020","","bilanz","CHF"
"143","","2020","","bilanz","CHF"
"144","","2020","","bilanz","CHF"
"145","","2020","200","bilanz","CHF"
"146","","2020","","bilanz","CHF"
"147","","2020","","bilanz","CHF"
"148","","2020","","bilanz","CHF"
"200","","2020","8410771.74","bilanz","CHF"
"201","","2020","741837.4","bilanz","CHF"
"204","","2020","1948345.35","bilanz","CHF"
"205","","2020","2583299","bilanz","CHF"
"206","","2020","6178968","bilanz","CHF"
"207","","2020","","bilanz","CHF"
"208","","2020","1782313","bilanz","CHF"
"209","","2020","2614852.21","bilanz","CHF"
"290","","2020","7449802.06","bilanz","CHF"
"292","","2020","","bilanz","CHF"
"293","","2020","8685450.35","bilanz","CHF"
"294","","2020","7500000","bilanz","CHF"
"295","","2020","","bilanz","CHF"
"296","","2020","","bilanz","CHF"
"298","","2020","","bilanz","CHF"
"299","","2020","29131272.24","bilanz","CHF"
"300","","2020","640900.8","aufwand","CHF"
"301","","2020","5171840.3","aufwand","CHF"
"302","","2020","16158186.45","aufwand","CHF"
"303","","2020","175","aufwand","CHF"
"304","","2020","4105","aufwand","CHF"
"305","","2020","4653245.5","aufwand","CHF"
"306","","2020","","aufwand","CHF"
"309","","2020","249831.54","aufwand","CHF"
"310","","2020","1555782.51","aufwand","CHF"
"311","","2020","829878.3","aufwand","CHF"
"312","","2020","629733.8","aufwand","CHF"
"313","","2020","3766893.75","aufwand","CHF"
"314","","2020","5361999.63","aufwand","CHF"
"315","","2020","410769.21","aufwand","CHF"
"316","","2020","1911035","aufwand","CHF"
"317","","2020","221710.55","aufwand","CHF"
"318","","2020","59520.55","aufwand","CHF"
"319","","2020","185926.5","aufwand","CHF"
"320","","2020","","aufwand","CHF"
"331","","2020","","aufwand","CHF"
"337","","2020","3424943.91","aufwand","CHF"
"338","","2020","275942","aufwand","CHF"
"340","","2020","106965","aufwand","CHF"
"341","","2020","2940","aufwand","CHF"
"342","","2020","","aufwand","CHF"
"343","","2020","153298.05","aufwand","CHF"
"344","","2020","","aufwand","CHF"
"349","","2020","163.2","aufwand","CHF"
"350","","2020","","aufwand","CHF"
"351","","2020","60623","aufwand","CHF"
"352","","2020","150401","aufwand","CHF"
"3600","","2020","","aufwand","CHF"
"36010","","2020","","aufwand","CHF"
"36011","","2020","","aufwand","CHF"
"36012","","2020","","aufwand","CHF"
"36013","","2020","","aufwand","CHF"
"36014","","2020","","aufwand","CHF"
"36015","","2020","","aufwand","CHF"
"36016","","2020","","aufwand","CHF"
"36017","","2020","","aufwand","CHF"
"36018","","2020","","aufwand","CHF"
"36019","","2020","","aufwand","CHF"
"36021","","2020","","aufwand","CHF"
"36022","","2020","","aufwand","CHF"
"36023","","2020","","aufwand","CHF"
"36029","","2020","","aufwand","CHF"
"3603","","2020","","aufwand","CHF"
"3604","","2020","","aufwand","CHF"
"3610","","2020","","aufwand","CHF"
"3611","","2020","935471.15","aufwand","CHF"
"3612","","2020","","aufwand","CHF"
"3613","","2020","","aufwand","CHF"
