"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2019","61378491.95","bilanz","gdn_ar","CHF","fs"
"101","","2019","49384415","bilanz","gdn_ar","CHF","fs"
"102","","2019","5170000","bilanz","gdn_ar","CHF","fs"
"104","","2019","8514643.22","bilanz","gdn_ar","CHF","fs"
"106","","2019","264356.45","bilanz","gdn_ar","CHF","fs"
"107","","2019","20994681.31","bilanz","gdn_ar","CHF","fs"
"108","","2019","91062262.75","bilanz","gdn_ar","CHF","fs"
"109","","2019","","bilanz","gdn_ar","CHF","fs"
"140","","2019","270779650.89","bilanz","gdn_ar","CHF","fs"
"141","","2019","","bilanz","gdn_ar","CHF","fs"
"142","","2019","1499443.56","bilanz","gdn_ar","CHF","fs"
"143","","2019","","bilanz","gdn_ar","CHF","fs"
"144","","2019","1312000","bilanz","gdn_ar","CHF","fs"
"145","","2019","3565906","bilanz","gdn_ar","CHF","fs"
"146","","2019","30227951.12","bilanz","gdn_ar","CHF","fs"
"147","","2019","","bilanz","gdn_ar","CHF","fs"
"148","","2019","-31609513.6","bilanz","gdn_ar","CHF","fs"
"200","","2019","60367541.68","bilanz","gdn_ar","CHF","fs"
"201","","2019","27546344.16","bilanz","gdn_ar","CHF","fs"
"204","","2019","9965134.42","bilanz","gdn_ar","CHF","fs"
"205","","2019","158446.45","bilanz","gdn_ar","CHF","fs"
"206","","2019","171788890.25","bilanz","gdn_ar","CHF","fs"
"207","","2019","","bilanz","gdn_ar","CHF","fs"
"208","","2019","4445412.77","bilanz","gdn_ar","CHF","fs"
"209","","2019","11146212.27","bilanz","gdn_ar","CHF","fs"
"290","","2019","65794136.85","bilanz","gdn_ar","CHF","fs"
"292","","2019","4842.11","bilanz","gdn_ar","CHF","fs"
"293","","2019","928112.38","bilanz","gdn_ar","CHF","fs"
"294","","2019","","bilanz","gdn_ar","CHF","fs"
"295","","2019","3406259.19","bilanz","gdn_ar","CHF","fs"
"296","","2019","25012949.68","bilanz","gdn_ar","CHF","fs"
"298","","2019","","bilanz","gdn_ar","CHF","fs"
"299","","2019","131980006.44","bilanz","gdn_ar","CHF","fs"
"empty","","2019","","er","gdn_ar","CHF","fs"
"empty","","2019","","er","gdn_ar","CHF","fs"
"empty","","2019","","er","gdn_ar","CHF","fs"
"empty","","2019","","er","gdn_ar","CHF","fs"
"300","","2019","4082422.5","aufwand","gdn_ar","CHF","fs"
"301","","2019","47246282.89","aufwand","gdn_ar","CHF","fs"
"302","","2019","54415006.78","aufwand","gdn_ar","CHF","fs"
"303","","2019","315998","aufwand","gdn_ar","CHF","fs"
"304","","2019","45851.05","aufwand","gdn_ar","CHF","fs"
"305","","2019","18464760.53","aufwand","gdn_ar","CHF","fs"
"306","","2019","-770","aufwand","gdn_ar","CHF","fs"
"309","","2019","1697140.49","aufwand","gdn_ar","CHF","fs"
"310","","2019","8301655.13","aufwand","gdn_ar","CHF","fs"
"311","","2019","3547633.52","aufwand","gdn_ar","CHF","fs"
"312","","2019","5206671.08","aufwand","gdn_ar","CHF","fs"
"313","","2019","28595542.18","aufwand","gdn_ar","CHF","fs"
"314","","2019","18999851.08","aufwand","gdn_ar","CHF","fs"
"315","","2019","3360972.75","aufwand","gdn_ar","CHF","fs"
"316","","2019","2291183.02","aufwand","gdn_ar","CHF","fs"
"317","","2019","1753583.06","aufwand","gdn_ar","CHF","fs"
"318","","2019","1419545.57","aufwand","gdn_ar","CHF","fs"
"319","","2019","1592016.25","aufwand","gdn_ar","CHF","fs"
"320","","2019","","aufwand","gdn_ar","CHF","fs"
"331","","2019","","aufwand","gdn_ar","CHF","fs"
"337","","2019","14903941.65","aufwand","gdn_ar","CHF","fs"
"338","","2019","","aufwand","gdn_ar","CHF","fs"
"340","","2019","1480151.5","aufwand","gdn_ar","CHF","fs"
"341","","2019","","aufwand","gdn_ar","CHF","fs"
"342","","2019","","aufwand","gdn_ar","CHF","fs"
"343","","2019","4266401.56","aufwand","gdn_ar","CHF","fs"
"344","","2019","23313","aufwand","gdn_ar","CHF","fs"
"349","","2019","2010.66","aufwand","gdn_ar","CHF","fs"
"350","","2019","88474.34","aufwand","gdn_ar","CHF","fs"
"351","","2019","1724684.92","aufwand","gdn_ar","CHF","fs"
"352","","2019","","aufwand","gdn_ar","CHF","fs"
"3600","","2019","","aufwand","gdn_ar","CHF","fs"
"36010","","2019","","aufwand","gdn_ar","CHF","fs"
"36011","","2019","","aufwand","gdn_ar","CHF","fs"
"36012","","2019","","aufwand","gdn_ar","CHF","fs"
"36013","","2019","","aufwand","gdn_ar","CHF","fs"
"36014","","2019","","aufwand","gdn_ar","CHF","fs"
"36015","","2019","","aufwand","gdn_ar","CHF","fs"
