"arten","funk","jahr","value","dim","unit"
"100","","2016","1130154498.56","bilanz","CHF"
"101","","2016","1667550119.54","bilanz","CHF"
"102","","2016","100576523.89","bilanz","CHF"
"104","","2016","133235066.64","bilanz","CHF"
"106","","2016","10749613.62","bilanz","CHF"
"107","","2016","1301433178.85","bilanz","CHF"
"108","","2016","3375810451.91","bilanz","CHF"
"109","","2016","351316.18","bilanz","CHF"
"140","","2016","2946199894.09","bilanz","CHF"
"141","","2016","2","bilanz","CHF"
"142","","2016","33260275.6","bilanz","CHF"
"143","","2016","","bilanz","CHF"
"144","","2016","205885444.59","bilanz","CHF"
"145","","2016","669865159.54","bilanz","CHF"
"146","","2016","13970201.96","bilanz","CHF"
"147","","2016","","bilanz","CHF"
"148","","2016","","bilanz","CHF"
"200","","2016","634706250.52","bilanz","CHF"
"201","","2016","482152497.61","bilanz","CHF"
"204","","2016","206799140.85","bilanz","CHF"
"205","","2016","89240522.18","bilanz","CHF"
"206","","2016","4762450831.65","bilanz","CHF"
"207","","2016","","bilanz","CHF"
"208","","2016","185597054.53","bilanz","CHF"
"209","","2016","253254818.03","bilanz","CHF"
"290","","2016","1028319435.48","bilanz","CHF"
"292","","2016","9510247.98","bilanz","CHF"
"293","","2016","1701370455.96","bilanz","CHF"
"294","","2016","60565293.9","bilanz","CHF"
"295","","2016","","bilanz","CHF"
"296","","2016","1030474082.62","bilanz","CHF"
"298","","2016","21897302.53","bilanz","CHF"
"299","","2016","1122703813.13","bilanz","CHF"
"300","","2016","38977144.84","aufwand","CHF"
"301","","2016","905040214.38","aufwand","CHF"
"302","","2016","5744494.29","aufwand","CHF"
"303","","2016","3400042.7","aufwand","CHF"
"304","","2016","8915489.43","aufwand","CHF"
"305","","2016","178151991.15","aufwand","CHF"
"306","","2016","4371860.12","aufwand","CHF"
"309","","2016","19112279.98","aufwand","CHF"
"310","","2016","152690537.38","aufwand","CHF"
"311","","2016","52251749.84","aufwand","CHF"
"312","","2016","122522019.69","aufwand","CHF"
"313","","2016","417444414.66","aufwand","CHF"
"314","","2016","169167237.87","aufwand","CHF"
"315","","2016","51335544.08","aufwand","CHF"
"316","","2016","47706997.15","aufwand","CHF"
"317","","2016","29128623.09","aufwand","CHF"
"318","","2016","38571616.62","aufwand","CHF"
"319","","2016","19002625.66","aufwand","CHF"
"320","","2016","","aufwand","CHF"
"331","","2016","","aufwand","CHF"
"337","","2016","211642137.35","aufwand","CHF"
"338","","2016","4536406.27","aufwand","CHF"
"340","","2016","102329271.48","aufwand","CHF"
"341","","2016","1890212.6","aufwand","CHF"
"342","","2016","50296.27","aufwand","CHF"
"343","","2016","41326805.95","aufwand","CHF"
"344","","2016","21220733.01","aufwand","CHF"
"349","","2016","6230759.26","aufwand","CHF"
"350","","2016","1966335.5","aufwand","CHF"
"351","","2016","189665881.88","aufwand","CHF"
"352","","2016","","aufwand","CHF"
"3600","","2016","","aufwand","CHF"
"36010","","2016","","aufwand","CHF"
"36011","","2016","","aufwand","CHF"
"36012","","2016","","aufwand","CHF"
"36013","","2016","","aufwand","CHF"
"36014","","2016","","aufwand","CHF"
"36015","","2016","","aufwand","CHF"
"36016","","2016","","aufwand","CHF"
"36017","","2016","","aufwand","CHF"
"36018","","2016","","aufwand","CHF"
"36019","","2016","","aufwand","CHF"
"36021","","2016","","aufwand","CHF"
"36022","","2016","","aufwand","CHF"
"36023","","2016","","aufwand","CHF"
"36029","","2016","","aufwand","CHF"
"3603","","2016","","aufwand","CHF"
"3604","","2016","","aufwand","CHF"
"3610","","2016","","aufwand","CHF"
"3611","","2016","609468774.67","aufwand","CHF"
"3612","","2016","","aufwand","CHF"
"3613","","2016","","aufwand","CHF"
"3614","","2016","48433.2","aufwand","CHF"
"3620","","2016","","aufwand","CHF"
"36211","","2016","","aufwand","CHF"
"36212","","2016","","aufwand","CHF"
"36213","","2016","","aufwand","CHF"
"36214","","2016","","aufwand","CHF"
"36215","","2016","","aufwand","CHF"
"36216","","2016","186984005","aufwand","CHF"
"36217","","2016","","aufwand","CHF"
"36219","","2016","","aufwand","CHF"
"36221","","2016","","aufwand","CHF"
"36222","","2016","","aufwand","CHF"
"36223","","2016","","aufwand","CHF"
"36224","","2016","","aufwand","CHF"
"36225","","2016","","aufwand","CHF"
"36226","","2016","","aufwand","CHF"
"36227","","2016","","aufwand","CHF"
"36228","","2016","","aufwand","CHF"
"3624","","2016","","aufwand","CHF"
"3629","","2016","388167","aufwand","CHF"
"3630","","2016","","aufwand","CHF"
"3631","","2016","337821722.38","aufwand","CHF"
"3632","","2016","","aufwand","CHF"
"3633","","2016","","aufwand","CHF"
"3634","","2016","12032643.4","aufwand","CHF"
"3635","","2016","10838625.5","aufwand","CHF"
"3636","","2016","202375641.94","aufwand","CHF"
"3637","","2016","712668993.6","aufwand","CHF"
"3638","","2016","614574.7","aufwand","CHF"
"3639","","2016","486846","aufwand","CHF"
"364","","2016","639052","aufwand","CHF"
"365","","2016","3428805.83","aufwand","CHF"
"366","","2016","13587172.04","aufwand","CHF"
"369","","2016","3691606.13","aufwand","CHF"
"380","","2016","11987929.75","aufwand","CHF"
"381","","2016","","aufwand","CHF"
"383","","2016","182","aufwand","CHF"
"384","","2016","0.2","aufwand","CHF"
"3860","","2016","","aufwand","CHF"
"3861","","2016","","aufwand","CHF"
"3862","","2016","","aufwand","CHF"
"3863","","2016","","aufwand","CHF"
"3864","","2016","","aufwand","CHF"
"3865","","2016","","aufwand","CHF"
"3866","","2016","","aufwand","CHF"
"3867","","2016","","aufwand","CHF"
"3868","","2016","","aufwand","CHF"
"387","","2016","","aufwand","CHF"
"389","","2016","192408072.14","aufwand","CHF"
"4000","","2016","1845187078.11","ertrag","CHF"
"4001","","2016","183275932.29","ertrag","CHF"
"4002","","2016","68606644","ertrag","CHF"
"4008","","2016","","ertrag","CHF"
"4009","","2016","","ertrag","CHF"
"4010","","2016","295524365.49","ertrag","CHF"
"4011","","2016","6012307.66","ertrag","CHF"
"4012","","2016","","ertrag","CHF"
"4019","","2016","5484929","ertrag","CHF"
"4020","","2016","","ertrag","CHF"
"4021","","2016","232901876","ertrag","CHF"
"4022","","2016","114192639.39","ertrag","CHF"
"4023","","2016","","ertrag","CHF"
"4024","","2016","","ertrag","CHF"
"4025","","2016","","ertrag","CHF"
"4030","","2016","","ertrag","CHF"
"4031","","2016","","ertrag","CHF"
"4032","","2016","","ertrag","CHF"
"4033","","2016","4347635.94","ertrag","CHF"
"4039","","2016","7078538.6","ertrag","CHF"
"4040","","2016","","ertrag","CHF"
"4041","","2016","","ertrag","CHF"
"4042","","2016","","ertrag","CHF"
"4043","","2016","","ertrag","CHF"
"4044","","2016","","ertrag","CHF"
"4045","","2016","","ertrag","CHF"
"4046","","2016","","ertrag","CHF"
"4047","","2016","","ertrag","CHF"
"4049","","2016","","ertrag","CHF"
"4050","","2016","","ertrag","CHF"
"4051","","2016","","ertrag","CHF"
"4052","","2016","","ertrag","CHF"
"4053","","2016","","ertrag","CHF"
"4059","","2016","","ertrag","CHF"
"4060","","2016","","ertrag","CHF"
"4070","","2016","","ertrag","CHF"
"4071","","2016","","ertrag","CHF"
"4072","","2016","","ertrag","CHF"
"4079","","2016","","ertrag","CHF"
"410","","2016","","ertrag","CHF"
"411","","2016","","ertrag","CHF"
"412","","2016","40260890.66","ertrag","CHF"
"413","","2016","","ertrag","CHF"
"420","","2016","48716737.85","ertrag","CHF"
"421","","2016","39814382.89","ertrag","CHF"
"422","","2016","672837.05","ertrag","CHF"
"423","","2016","6786844.85","ertrag","CHF"
"424","","2016","606134486.56","ertrag","CHF"
"425","","2016","71239061.23","ertrag","CHF"
"426","","2016","336529126.2","ertrag","CHF"
"427","","2016","13804104.96","ertrag","CHF"
"429","","2016","2645895.37","ertrag","CHF"
"430","","2016","11057444.09","ertrag","CHF"
"431","","2016","7423845.9","ertrag","CHF"
"432","","2016","334517.15","ertrag","CHF"
"439","","2016","7769784.65","ertrag","CHF"
"440","","2016","50535740.63","ertrag","CHF"
"441","","2016","14498806.49","ertrag","CHF"
"442","","2016","1870609.38","ertrag","CHF"
