"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2018","1124206937.88","bilanz","gdn_be","CHF","fs"
"101","","2018","1708219255.07","bilanz","gdn_be","CHF","fs"
"102","","2018","57054970.22","bilanz","gdn_be","CHF","fs"
"104","","2018","134707316.04","bilanz","gdn_be","CHF","fs"
"106","","2018","11586320.22","bilanz","gdn_be","CHF","fs"
"107","","2018","1308704193.25","bilanz","gdn_be","CHF","fs"
"108","","2018","3514459994.89","bilanz","gdn_be","CHF","fs"
"109","","2018","284658.4","bilanz","gdn_be","CHF","fs"
"140","","2018","3558198707.1","bilanz","gdn_be","CHF","fs"
"141","","2018","","bilanz","gdn_be","CHF","fs"
"142","","2018","78903859.55","bilanz","gdn_be","CHF","fs"
"143","","2018","","bilanz","gdn_be","CHF","fs"
"144","","2018","220702794.34","bilanz","gdn_be","CHF","fs"
"145","","2018","669373815.26","bilanz","gdn_be","CHF","fs"
"146","","2018","54995186.51","bilanz","gdn_be","CHF","fs"
"147","","2018","","bilanz","gdn_be","CHF","fs"
"148","","2018","","bilanz","gdn_be","CHF","fs"
"200","","2018","645555084.58","bilanz","gdn_be","CHF","fs"
"201","","2018","778237246.59","bilanz","gdn_be","CHF","fs"
"204","","2018","220753084.53","bilanz","gdn_be","CHF","fs"
"205","","2018","83164553.61","bilanz","gdn_be","CHF","fs"
"206","","2018","4675013201.05","bilanz","gdn_be","CHF","fs"
"207","","2018","","bilanz","gdn_be","CHF","fs"
"208","","2018","183657656.05","bilanz","gdn_be","CHF","fs"
"209","","2018","248712995.41","bilanz","gdn_be","CHF","fs"
"290","","2018","1102204703.41","bilanz","gdn_be","CHF","fs"
"292","","2018","3905064.03","bilanz","gdn_be","CHF","fs"
"293","","2018","1814887055.24","bilanz","gdn_be","CHF","fs"
"294","","2018","199486222.46","bilanz","gdn_be","CHF","fs"
"295","","2018","","bilanz","gdn_be","CHF","fs"
"296","","2018","958747847.73","bilanz","gdn_be","CHF","fs"
"298","","2018","6080167.18","bilanz","gdn_be","CHF","fs"
"299","","2018","1520993126.86","bilanz","gdn_be","CHF","fs"
"empty","","2018","","er","gdn_be","CHF","fs"
"empty","","2018","","er","gdn_be","CHF","fs"
"empty","","2018","","er","gdn_be","CHF","fs"
"empty","","2018","","er","gdn_be","CHF","fs"
"300","","2018","39016418.69","aufwand","gdn_be","CHF","fs"
"301","","2018","930478477.92","aufwand","gdn_be","CHF","fs"
"302","","2018","6200510.17","aufwand","gdn_be","CHF","fs"
"303","","2018","3377131.07","aufwand","gdn_be","CHF","fs"
"304","","2018","9422841.16","aufwand","gdn_be","CHF","fs"
"305","","2018","182577008.75","aufwand","gdn_be","CHF","fs"
"306","","2018","3809917.2","aufwand","gdn_be","CHF","fs"
"309","","2018","22023462.71","aufwand","gdn_be","CHF","fs"
"310","","2018","154251829.01","aufwand","gdn_be","CHF","fs"
"311","","2018","53252611.29","aufwand","gdn_be","CHF","fs"
"312","","2018","122249435.31","aufwand","gdn_be","CHF","fs"
"313","","2018","415462590.01","aufwand","gdn_be","CHF","fs"
"314","","2018","204077275.99","aufwand","gdn_be","CHF","fs"
"315","","2018","53705182.31","aufwand","gdn_be","CHF","fs"
"316","","2018","45156450.36","aufwand","gdn_be","CHF","fs"
"317","","2018","27381053.13","aufwand","gdn_be","CHF","fs"
"318","","2018","40537726.63","aufwand","gdn_be","CHF","fs"
"319","","2018","21850308.79","aufwand","gdn_be","CHF","fs"
"320","","2018","","aufwand","gdn_be","CHF","fs"
"331","","2018","","aufwand","gdn_be","CHF","fs"
"337","","2018","252199470.09","aufwand","gdn_be","CHF","fs"
"338","","2018","1550906.87","aufwand","gdn_be","CHF","fs"
"340","","2018","88861895.4","aufwand","gdn_be","CHF","fs"
"341","","2018","2089894.99","aufwand","gdn_be","CHF","fs"
"342","","2018","107291.82","aufwand","gdn_be","CHF","fs"
"343","","2018","46188981.2","aufwand","gdn_be","CHF","fs"
"344","","2018","34489593.13","aufwand","gdn_be","CHF","fs"
"349","","2018","6651168.49","aufwand","gdn_be","CHF","fs"
"350","","2018","1309031.69","aufwand","gdn_be","CHF","fs"
"351","","2018","190556698.2","aufwand","gdn_be","CHF","fs"
"352","","2018","","aufwand","gdn_be","CHF","fs"
"3600","","2018","","aufwand","gdn_be","CHF","fs"
"36010","","2018","","aufwand","gdn_be","CHF","fs"
"36011","","2018","","aufwand","gdn_be","CHF","fs"
"36012","","2018","","aufwand","gdn_be","CHF","fs"
"36013","","2018","","aufwand","gdn_be","CHF","fs"
"36014","","2018","","aufwand","gdn_be","CHF","fs"
"36015","","2018","","aufwand","gdn_be","CHF","fs"
"36016","","2018","","aufwand","gdn_be","CHF","fs"
"36017","","2018","","aufwand","gdn_be","CHF","fs"
"36018","","2018","","aufwand","gdn_be","CHF","fs"
"36019","","2018","","aufwand","gdn_be","CHF","fs"
"36021","","2018","","aufwand","gdn_be","CHF","fs"
"36022","","2018","","aufwand","gdn_be","CHF","fs"
"36023","","2018","","aufwand","gdn_be","CHF","fs"
"36029","","2018","","aufwand","gdn_be","CHF","fs"
"3603","","2018","","aufwand","gdn_be","CHF","fs"
"3604","","2018","","aufwand","gdn_be","CHF","fs"
"3610","","2018","","aufwand","gdn_be","CHF","fs"
"3611","","2018","643297953.52","aufwand","gdn_be","CHF","fs"
"3612","","2018","","aufwand","gdn_be","CHF","fs"
"3613","","2018","","aufwand","gdn_be","CHF","fs"
"3614","","2018","46352.5","aufwand","gdn_be","CHF","fs"
"3620","","2018","","aufwand","gdn_be","CHF","fs"
"36211","","2018","","aufwand","gdn_be","CHF","fs"
"36212","","2018","","aufwand","gdn_be","CHF","fs"
