"arten","funk","jahr","value","dim","unit"
"100","","2015","332074585.9","bilanz","CHF"
"101","","2015","315272878.71","bilanz","CHF"
"102","","2015","9560587.08","bilanz","CHF"
"104","","2015","115077066.89","bilanz","CHF"
"106","","2015","620855.51","bilanz","CHF"
"107","","2015","21625149.5","bilanz","CHF"
"108","","2015","615825868.49","bilanz","CHF"
"109","","2015","","bilanz","CHF"
"140","","2015","734612468.96","bilanz","CHF"
"141","","2015","","bilanz","CHF"
"142","","2015","15706147.51","bilanz","CHF"
"143","","2015","","bilanz","CHF"
"144","","2015","17183762.45","bilanz","CHF"
"145","","2015","2929203","bilanz","CHF"
"146","","2015","39511989.58","bilanz","CHF"
"147","","2015","","bilanz","CHF"
"148","","2015","","bilanz","CHF"
"200","","2015","298762300.94","bilanz","CHF"
"201","","2015","39794451.92","bilanz","CHF"
"204","","2015","37317092.21","bilanz","CHF"
"205","","2015","25197688.37","bilanz","CHF"
"206","","2015","573879478.4","bilanz","CHF"
"207","","2015","","bilanz","CHF"
"208","","2015","16445758.76","bilanz","CHF"
"209","","2015","15727325.16","bilanz","CHF"
"290","","2015","465666275.98","bilanz","CHF"
"292","","2015","","bilanz","CHF"
"293","","2015","197039136.14","bilanz","CHF"
"294","","2015","","bilanz","CHF"
"295","","2015","","bilanz","CHF"
"296","","2015","231173044.14","bilanz","CHF"
"298","","2015","","bilanz","CHF"
"299","","2015","318998011.56","bilanz","CHF"
"300","","2015","14106021.89","aufwand","CHF"
"301","","2015","175237759.61","aufwand","CHF"
"302","","2015","192797121.94","aufwand","CHF"
"303","","2015","1840817.52","aufwand","CHF"
"304","","2015","3481055.9","aufwand","CHF"
"305","","2015","82048380.33","aufwand","CHF"
"306","","2015","546389.6","aufwand","CHF"
"309","","2015","4721640.31","aufwand","CHF"
"310","","2015","20181194.59","aufwand","CHF"
"311","","2015","12868872.2","aufwand","CHF"
"312","","2015","20661034.1","aufwand","CHF"
"313","","2015","119232891.09","aufwand","CHF"
"314","","2015","37251211.07","aufwand","CHF"
"315","","2015","11738826.66","aufwand","CHF"
"316","","2015","10339396.84","aufwand","CHF"
"317","","2015","2412501.81","aufwand","CHF"
"318","","2015","6574753.91","aufwand","CHF"
"319","","2015","4995479.31","aufwand","CHF"
"320","","2015","","aufwand","CHF"
"331","","2015","","aufwand","CHF"
"337","","2015","58605219.66","aufwand","CHF"
"338","","2015","1459954.03","aufwand","CHF"
"340","","2015","8098659.84","aufwand","CHF"
"341","","2015","16579.15","aufwand","CHF"
"342","","2015","43819.08","aufwand","CHF"
"343","","2015","3117901.29","aufwand","CHF"
"344","","2015","85127.95","aufwand","CHF"
"349","","2015","2764866.64","aufwand","CHF"
"350","","2015","33800","aufwand","CHF"
"351","","2015","45589016.34","aufwand","CHF"
"352","","2015","","aufwand","CHF"
"3600","","2015","","aufwand","CHF"
"36010","","2015","","aufwand","CHF"
"36011","","2015","","aufwand","CHF"
"36012","","2015","","aufwand","CHF"
"36013","","2015","","aufwand","CHF"
"36014","","2015","","aufwand","CHF"
"36015","","2015","","aufwand","CHF"
"36016","","2015","","aufwand","CHF"
"36017","","2015","","aufwand","CHF"
"36018","","2015","","aufwand","CHF"
"36019","","2015","","aufwand","CHF"
"36021","","2015","","aufwand","CHF"
"36022","","2015","","aufwand","CHF"
"36023","","2015","","aufwand","CHF"
"36029","","2015","","aufwand","CHF"
