"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2018","415381814.77","bilanz","gdn_bl","CHF","fs"
"101","","2018","384719638.81","bilanz","gdn_bl","CHF","fs"
"102","","2018","23080068.53","bilanz","gdn_bl","CHF","fs"
"104","","2018","121912480.49","bilanz","gdn_bl","CHF","fs"
"106","","2018","467049.41","bilanz","gdn_bl","CHF","fs"
"107","","2018","29031278.05","bilanz","gdn_bl","CHF","fs"
"108","","2018","637460309.35","bilanz","gdn_bl","CHF","fs"
"109","","2018","","bilanz","gdn_bl","CHF","fs"
"140","","2018","997511455.37","bilanz","gdn_bl","CHF","fs"
"141","","2018","","bilanz","gdn_bl","CHF","fs"
"142","","2018","23479552.49","bilanz","gdn_bl","CHF","fs"
"143","","2018","","bilanz","gdn_bl","CHF","fs"
"144","","2018","13974398.35","bilanz","gdn_bl","CHF","fs"
"145","","2018","2261744.45","bilanz","gdn_bl","CHF","fs"
"146","","2018","39450495.96","bilanz","gdn_bl","CHF","fs"
"147","","2018","","bilanz","gdn_bl","CHF","fs"
"148","","2018","","bilanz","gdn_bl","CHF","fs"
"200","","2018","387215998.9","bilanz","gdn_bl","CHF","fs"
"201","","2018","47456615.75","bilanz","gdn_bl","CHF","fs"
"204","","2018","33008595.74","bilanz","gdn_bl","CHF","fs"
"205","","2018","101441935.18","bilanz","gdn_bl","CHF","fs"
"206","","2018","661659985.07","bilanz","gdn_bl","CHF","fs"
"207","","2018","","bilanz","gdn_bl","CHF","fs"
"208","","2018","14364152.06","bilanz","gdn_bl","CHF","fs"
"209","","2018","15112865.92","bilanz","gdn_bl","CHF","fs"
"290","","2018","504329232.93","bilanz","gdn_bl","CHF","fs"
"292","","2018","","bilanz","gdn_bl","CHF","fs"
"293","","2018","384757371.15","bilanz","gdn_bl","CHF","fs"
"294","","2018","","bilanz","gdn_bl","CHF","fs"
"295","","2018","","bilanz","gdn_bl","CHF","fs"
"296","","2018","-1480185.55","bilanz","gdn_bl","CHF","fs"
"298","","2018","","bilanz","gdn_bl","CHF","fs"
"299","","2018","540863718.88","bilanz","gdn_bl","CHF","fs"
"empty","","2018","","er","gdn_bl","CHF","fs"
