"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2015","46399898.94","bilanz","gdn_bs","CHF","fs"
"101","","2015","1364254.46","bilanz","gdn_bs","CHF","fs"
"102","","2015","","bilanz","gdn_bs","CHF","fs"
"104","","2015","15475013.95","bilanz","gdn_bs","CHF","fs"
"106","","2015","71135","bilanz","gdn_bs","CHF","fs"
"107","","2015","2146454","bilanz","gdn_bs","CHF","fs"
"108","","2015","122111112","bilanz","gdn_bs","CHF","fs"
"109","","2015","","bilanz","gdn_bs","CHF","fs"
"140","","2015","307852082","bilanz","gdn_bs","CHF","fs"
"141","","2015","229700","bilanz","gdn_bs","CHF","fs"
"142","","2015","14454298","bilanz","gdn_bs","CHF","fs"
"143","","2015","20580216","bilanz","gdn_bs","CHF","fs"
"144","","2015","","bilanz","gdn_bs","CHF","fs"
"145","","2015","","bilanz","gdn_bs","CHF","fs"
"146","","2015","","bilanz","gdn_bs","CHF","fs"
"147","","2015","","bilanz","gdn_bs","CHF","fs"
"148","","2015","","bilanz","gdn_bs","CHF","fs"
"200","","2015","62653854.48","bilanz","gdn_bs","CHF","fs"
"201","","2015","","bilanz","gdn_bs","CHF","fs"
"204","","2015","11332488.45","bilanz","gdn_bs","CHF","fs"
"205","","2015","","bilanz","gdn_bs","CHF","fs"
"206","","2015","5e+06","bilanz","gdn_bs","CHF","fs"
"207","","2015","","bilanz","gdn_bs","CHF","fs"
"208","","2015","14560802.05","bilanz","gdn_bs","CHF","fs"
"209","","2015","1037122.85","bilanz","gdn_bs","CHF","fs"
"290","","2015","2e+06","bilanz","gdn_bs","CHF","fs"
"292","","2015","","bilanz","gdn_bs","CHF","fs"
"293","","2015","9252338.45","bilanz","gdn_bs","CHF","fs"
"294","","2015","","bilanz","gdn_bs","CHF","fs"
"295","","2015","","bilanz","gdn_bs","CHF","fs"
"296","","2015","375300964","bilanz","gdn_bs","CHF","fs"
"298","","2015","50278389","bilanz","gdn_bs","CHF","fs"
"299","","2015","-731794.93","bilanz","gdn_bs","CHF","fs"
"empty","","2015","","er","gdn_bs","CHF","fs"
"empty","","2015","","er","gdn_bs","CHF","fs"
"empty","","2015","","er","gdn_bs","CHF","fs"
"empty","","2015","","er","gdn_bs","CHF","fs"
"300","","2015","1060424.05","aufwand","gdn_bs","CHF","fs"
"301","","2015","23762305.35","aufwand","gdn_bs","CHF","fs"
"302","","2015","16031011","aufwand","gdn_bs","CHF","fs"
"303","","2015","","aufwand","gdn_bs","CHF","fs"
"304","","2015","","aufwand","gdn_bs","CHF","fs"
"305","","2015","10371467.85","aufwand","gdn_bs","CHF","fs"
"306","","2015","32936","aufwand","gdn_bs","CHF","fs"
"309","","2015","652087.6","aufwand","gdn_bs","CHF","fs"
