"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","393270399.43","bilanz","gdn_ge","CHF","fs"
"101","","2016","961413239.91","bilanz","gdn_ge","CHF","fs"
"102","","2016","2005745.95","bilanz","gdn_ge","CHF","fs"
"104","","2016","70305063.31","bilanz","gdn_ge","CHF","fs"
"106","","2016","5087030.79","bilanz","gdn_ge","CHF","fs"
"107","","2016","67265172.87","bilanz","gdn_ge","CHF","fs"
"108","","2016","2428622354.82","bilanz","gdn_ge","CHF","fs"
"109","","2016","","bilanz","gdn_ge","CHF","fs"
"140","","2016","2808738102.83","bilanz","gdn_ge","CHF","fs"
"141","","2016","29695.75","bilanz","gdn_ge","CHF","fs"
"142","","2016","","bilanz","gdn_ge","CHF","fs"
"143","","2016","381186165.68","bilanz","gdn_ge","CHF","fs"
"144","","2016","10234001","bilanz","gdn_ge","CHF","fs"
"145","","2016","22440138.05","bilanz","gdn_ge","CHF","fs"
"146","","2016","27378055.95","bilanz","gdn_ge","CHF","fs"
"147","","2016","","bilanz","gdn_ge","CHF","fs"
"148","","2016","","bilanz","gdn_ge","CHF","fs"
"200","","2016","223327747.46","bilanz","gdn_ge","CHF","fs"
"201","","2016","182995188.88","bilanz","gdn_ge","CHF","fs"
"204","","2016","61329942.78","bilanz","gdn_ge","CHF","fs"
"205","","2016","223000","bilanz","gdn_ge","CHF","fs"
"206","","2016","2270426115.6","bilanz","gdn_ge","CHF","fs"
"207","","2016","","bilanz","gdn_ge","CHF","fs"
"208","","2016","386874649.54","bilanz","gdn_ge","CHF","fs"
"209","","2016","76776141.74","bilanz","gdn_ge","CHF","fs"
"290","","2016","158780659.26","bilanz","gdn_ge","CHF","fs"
"292","","2016","","bilanz","gdn_ge","CHF","fs"
"293","","2016","4050884","bilanz","gdn_ge","CHF","fs"
"294","","2016","","bilanz","gdn_ge","CHF","fs"
"295","","2016","","bilanz","gdn_ge","CHF","fs"
"296","","2016","","bilanz","gdn_ge","CHF","fs"
"298","","2016","","bilanz","gdn_ge","CHF","fs"
"299","","2016","3813190837.08","bilanz","gdn_ge","CHF","fs"
"empty","","2016","","er","gdn_ge","CHF","fs"
