"arten","funk","jahr","value","dim","unit"
"100","","2018","335620043.26","bilanz","CHF"
"101","","2018","929255385.11","bilanz","CHF"
"102","","2018","22975276.67","bilanz","CHF"
"104","","2018","102313139.65","bilanz","CHF"
"106","","2018","4316941.99","bilanz","CHF"
"107","","2018","398210434.59","bilanz","CHF"
"108","","2018","5286755134.05","bilanz","CHF"
"109","","2018","20569538.62","bilanz","CHF"
"140","","2018","2979108237.89","bilanz","CHF"
"141","","2018","","bilanz","CHF"
"142","","2018","18258033.6","bilanz","CHF"
"143","","2018","","bilanz","CHF"
"144","","2018","20563109.11","bilanz","CHF"
"145","","2018","362638872.21","bilanz","CHF"
"146","","2018","78241867.95","bilanz","CHF"
"147","","2018","","bilanz","CHF"
"148","","2018","-33300894.3","bilanz","CHF"
"200","","2018","163734624.67","bilanz","CHF"
"201","","2018","485203650.83","bilanz","CHF"
"204","","2018","75263626.02","bilanz","CHF"
"205","","2018","120885163.09","bilanz","CHF"
"206","","2018","2314176446.66","bilanz","CHF"
"207","","2018","","bilanz","CHF"
"208","","2018","168147936.62","bilanz","CHF"
"209","","2018","84263298.98","bilanz","CHF"
"290","","2018","155417716.6","bilanz","CHF"
"292","","2018","","bilanz","CHF"
"293","","2018","3544676","bilanz","CHF"
"294","","2018","82888523.76","bilanz","CHF"
"295","","2018","12947662.8","bilanz","CHF"
"296","","2018","116543644.59","bilanz","CHF"
"298","","2018","15801578.55","bilanz","CHF"
"299","","2018","6726706571.23","bilanz","CHF"
"300","","2018","13128796","aufwand","CHF"
"301","","2018","684113675.6","aufwand","CHF"
"302","","2018","","aufwand","CHF"
"303","","2018","3791322.67","aufwand","CHF"
"304","","2018","17121730.06","aufwand","CHF"
"305","","2018","167708305.12","aufwand","CHF"
"306","","2018","2750777.45","aufwand","CHF"
"309","","2018","7916590.19","aufwand","CHF"
"310","","2018","45048547.55","aufwand","CHF"
"311","","2018","19722675.26","aufwand","CHF"
"312","","2018","43345324.38","aufwand","CHF"
"313","","2018","168090927.52","aufwand","CHF"
"314","","2018","110486743.21","aufwand","CHF"
"315","","2018","14078069.15","aufwand","CHF"
"316","","2018","21702058.74","aufwand","CHF"
"317","","2018","6478982.74","aufwand","CHF"
"318","","2018","71425465.52","aufwand","CHF"
"319","","2018","6540846.61","aufwand","CHF"
"320","","2018","","aufwand","CHF"
"331","","2018","","aufwand","CHF"
"337","","2018","205901479.38","aufwand","CHF"
"338","","2018","6802047.13","aufwand","CHF"
"340","","2018","35745272.51","aufwand","CHF"
"341","","2018","12102732.28","aufwand","CHF"
"342","","2018","579017.1","aufwand","CHF"
"343","","2018","57870294.61","aufwand","CHF"
"344","","2018","3021433.07","aufwand","CHF"
"349","","2018","55251.75","aufwand","CHF"
"350","","2018","16145212.39","aufwand","CHF"
"351","","2018","","aufwand","CHF"
"352","","2018","10000","aufwand","CHF"
"3600","","2018","","aufwand","CHF"
"36010","","2018","","aufwand","CHF"
"36011","","2018","","aufwand","CHF"
"36012","","2018","","aufwand","CHF"
"36013","","2018","","aufwand","CHF"
"36014","","2018","","aufwand","CHF"
"36015","","2018","","aufwand","CHF"
"36016","","2018","","aufwand","CHF"
"36017","","2018","","aufwand","CHF"
"36018","","2018","","aufwand","CHF"
"36019","","2018","","aufwand","CHF"
"36021","","2018","","aufwand","CHF"
"36022","","2018","","aufwand","CHF"
"36023","","2018","","aufwand","CHF"
"36029","","2018","","aufwand","CHF"
"3603","","2018","","aufwand","CHF"
"3604","","2018","","aufwand","CHF"
"3610","","2018","","aufwand","CHF"
"3611","","2018","66010213.04","aufwand","CHF"
"3612","","2018","","aufwand","CHF"
"3613","","2018","","aufwand","CHF"
"3614","","2018","","aufwand","CHF"
"3620","","2018","","aufwand","CHF"
"36211","","2018","","aufwand","CHF"
"36212","","2018","","aufwand","CHF"
"36213","","2018","","aufwand","CHF"
"36214","","2018","","aufwand","CHF"
"36215","","2018","","aufwand","CHF"
"36216","","2018","9030317","aufwand","CHF"
"36217","","2018","","aufwand","CHF"
"36219","","2018","","aufwand","CHF"
"36221","","2018","","aufwand","CHF"
"36222","","2018","","aufwand","CHF"
"36223","","2018","","aufwand","CHF"
"36224","","2018","","aufwand","CHF"
"36225","","2018","","aufwand","CHF"
"36226","","2018","","aufwand","CHF"
"36227","","2018","","aufwand","CHF"
"36228","","2018","","aufwand","CHF"
"3624","","2018","","aufwand","CHF"
"3629","","2018","","aufwand","CHF"
"3630","","2018","","aufwand","CHF"
"3631","","2018","730785","aufwand","CHF"
"3632","","2018","","aufwand","CHF"
"3633","","2018","","aufwand","CHF"
"3634","","2018","2748975.35","aufwand","CHF"
"3635","","2018","2290006.64","aufwand","CHF"
"3636","","2018","375809967.83","aufwand","CHF"
"3637","","2018","23651331.95","aufwand","CHF"
"3638","","2018","88537894.2","aufwand","CHF"
"3639","","2018","1000","aufwand","CHF"
"364","","2018","46667","aufwand","CHF"
"365","","2018","523806","aufwand","CHF"
"366","","2018","3728848.38","aufwand","CHF"
"369","","2018","","aufwand","CHF"
"380","","2018","","aufwand","CHF"
"381","","2018","","aufwand","CHF"
"383","","2018","15607604.54","aufwand","CHF"
"384","","2018","","aufwand","CHF"
"3860","","2018","","aufwand","CHF"
"3861","","2018","","aufwand","CHF"
"3862","","2018","","aufwand","CHF"
"3863","","2018","","aufwand","CHF"
"3864","","2018","","aufwand","CHF"
"3865","","2018","","aufwand","CHF"
"3866","","2018","","aufwand","CHF"
"3867","","2018","","aufwand","CHF"
"3868","","2018","","aufwand","CHF"
"387","","2018","1106881.99","aufwand","CHF"
"389","","2018","","aufwand","CHF"
"4000","","2018","884779423.4","ertrag","CHF"
"4001","","2018","171366154.35","ertrag","CHF"
"4002","","2018","252226091.01","ertrag","CHF"
"4008","","2018","","ertrag","CHF"
"4009","","2018","","ertrag","CHF"
"4010","","2018","324001036.7","ertrag","CHF"
"4011","","2018","95946668.6","ertrag","CHF"
"4012","","2018","","ertrag","CHF"
"4019","","2018","200493193.29","ertrag","CHF"
"4020","","2018","","ertrag","CHF"
"4021","","2018","","ertrag","CHF"
"4022","","2018","","ertrag","CHF"
"4023","","2018","","ertrag","CHF"
"4024","","2018","","ertrag","CHF"
"4025","","2018","","ertrag","CHF"
"4030","","2018","","ertrag","CHF"
"4031","","2018","","ertrag","CHF"
"4032","","2018","","ertrag","CHF"
"4033","","2018","818667.5","ertrag","CHF"
"4039","","2018","","ertrag","CHF"
"4040","","2018","","ertrag","CHF"
"4041","","2018","","ertrag","CHF"
"4042","","2018","","ertrag","CHF"
