"arten","funk","jahr","value","dim","unit"
"100","","2019","14487771.4","bilanz","CHF"
"101","","2019","75497235.73","bilanz","CHF"
"102","","2019","3030000","bilanz","CHF"
"104","","2019","1540881.91","bilanz","CHF"
"106","","2019","430666.15","bilanz","CHF"
"107","","2019","18793099.25","bilanz","CHF"
"108","","2019","101859056","bilanz","CHF"
"109","","2019","","bilanz","CHF"
"140","","2019","137253800.74","bilanz","CHF"
"141","","2019","","bilanz","CHF"
"142","","2019","3640672.85","bilanz","CHF"
"143","","2019","","bilanz","CHF"
"144","","2019","296006","bilanz","CHF"
"145","","2019","55646659.8","bilanz","CHF"
"146","","2019","7437058.98","bilanz","CHF"
"147","","2019","","bilanz","CHF"
"148","","2019","-25547886.96","bilanz","CHF"
"200","","2019","23248861.92","bilanz","CHF"
"201","","2019","2.1e+07","bilanz","CHF"
"204","","2019","996513.2","bilanz","CHF"
"205","","2019","1656446.35","bilanz","CHF"
"206","","2019","107300521.05","bilanz","CHF"
"207","","2019","","bilanz","CHF"
"208","","2019","1035965.95","bilanz","CHF"
"209","","2019","7295554.79","bilanz","CHF"
"290","","2019","32164060.87","bilanz","CHF"
"292","","2019","","bilanz","CHF"
"293","","2019","105245.25","bilanz","CHF"
"294","","2019","","bilanz","CHF"
"295","","2019","39613224.94","bilanz","CHF"
"296","","2019","56133436.64","bilanz","CHF"
"298","","2019","","bilanz","CHF"
"299","","2019","103815190.89","bilanz","CHF"
"300","","2019","1595966.6","aufwand","CHF"
"301","","2019","32932900.08","aufwand","CHF"
"302","","2019","39275140.3","aufwand","CHF"
"303","","2019","10658.3","aufwand","CHF"
"304","","2019","16770","aufwand","CHF"
"305","","2019","13512114.96","aufwand","CHF"
"306","","2019","167805.57","aufwand","CHF"
"309","","2019","1031122.32","aufwand","CHF"
"310","","2019","4481641.97","aufwand","CHF"
"311","","2019","1975472.73","aufwand","CHF"
"312","","2019","3958865.17","aufwand","CHF"
"313","","2019","26019479.06","aufwand","CHF"
"314","","2019","9442592.99","aufwand","CHF"
"315","","2019","1538569.04","aufwand","CHF"
