"arten","funk","jahr","value","dim","unit"
"100","","2016","424397365.36","bilanz","CHF"
"101","","2016","540063745.07","bilanz","CHF"
"102","","2016","2444941.93","bilanz","CHF"
"104","","2016","139353112.33","bilanz","CHF"
"106","","2016","7718308.92","bilanz","CHF"
"107","","2016","167486633.83","bilanz","CHF"
"108","","2016","987092808.43","bilanz","CHF"
"109","","2016","12202900.91","bilanz","CHF"
"140","","2016","1583219400.11","bilanz","CHF"
"141","","2016","31800","bilanz","CHF"
"142","","2016","14259290.07","bilanz","CHF"
"143","","2016","76618085.9","bilanz","CHF"
"144","","2016","83723849.81","bilanz","CHF"
"145","","2016","99091074.85","bilanz","CHF"
"146","","2016","93729768.84","bilanz","CHF"
"147","","2016","","bilanz","CHF"
"148","","2016","-21644306.6","bilanz","CHF"
"200","","2016","263471473.43","bilanz","CHF"
"201","","2016","16232717.03","bilanz","CHF"
"204","","2016","74848337.74","bilanz","CHF"
"205","","2016","4331462.67","bilanz","CHF"
"206","","2016","946377464.87","bilanz","CHF"
"207","","2016","","bilanz","CHF"
"208","","2016","89001109.87","bilanz","CHF"
"209","","2016","650487783.62","bilanz","CHF"
"290","","2016","137489670.76","bilanz","CHF"
"292","","2016","","bilanz","CHF"
"293","","2016","57393120.09","bilanz","CHF"
"294","","2016","","bilanz","CHF"
"295","","2016","1490204.78","bilanz","CHF"
"296","","2016","34129628.37","bilanz","CHF"
"298","","2016","65392158.12","bilanz","CHF"
"299","","2016","1869143648.41","bilanz","CHF"
"300","","2016","16013781.22","aufwand","CHF"
"301","","2016","256249789.1","aufwand","CHF"
"302","","2016","205351663.3","aufwand","CHF"
"303","","2016","1695669.41","aufwand","CHF"
"304","","2016","2242673.79","aufwand","CHF"
"305","","2016","81589830.09","aufwand","CHF"
"306","","2016","549417.84","aufwand","CHF"
"309","","2016","6571232.53","aufwand","CHF"
"310","","2016","33101036.32","aufwand","CHF"
"311","","2016","19135177.64","aufwand","CHF"
"312","","2016","58869720.64","aufwand","CHF"
"313","","2016","146980427.92","aufwand","CHF"
"314","","2016","81181215.7","aufwand","CHF"
"315","","2016","24423732.16","aufwand","CHF"
"316","","2016","11692542.68","aufwand","CHF"
"317","","2016","6193954.64","aufwand","CHF"
"318","","2016","6583746.38","aufwand","CHF"
"319","","2016","17199415.65","aufwand","CHF"
"320","","2016","","aufwand","CHF"
"331","","2016","","aufwand","CHF"
"337","","2016","181442939.72","aufwand","CHF"
"338","","2016","84724041.22","aufwand","CHF"
"340","","2016","14795484.72","aufwand","CHF"
"341","","2016","425059.21","aufwand","CHF"
"342","","2016","10640.93","aufwand","CHF"
"343","","2016","6762223.23","aufwand","CHF"
"344","","2016","5323871.69","aufwand","CHF"
"349","","2016","92469.24","aufwand","CHF"
"350","","2016","597549.97","aufwand","CHF"
"351","","2016","2474599.66","aufwand","CHF"
"352","","2016","28526680.14","aufwand","CHF"
"3600","","2016","","aufwand","CHF"
"36010","","2016","","aufwand","CHF"
"36011","","2016","","aufwand","CHF"
"36012","","2016","","aufwand","CHF"
"36013","","2016","","aufwand","CHF"
"36014","","2016","","aufwand","CHF"
"36015","","2016","","aufwand","CHF"
"36016","","2016","","aufwand","CHF"
"36017","","2016","","aufwand","CHF"
"36018","","2016","","aufwand","CHF"
"36019","","2016","","aufwand","CHF"
"36021","","2016","","aufwand","CHF"
"36022","","2016","","aufwand","CHF"
"36023","","2016","","aufwand","CHF"
"36029","","2016","","aufwand","CHF"
"3603","","2016","","aufwand","CHF"
"3604","","2016","","aufwand","CHF"
"3610","","2016","","aufwand","CHF"
"3611","","2016","34808715.74","aufwand","CHF"
"3612","","2016","","aufwand","CHF"
"3613","","2016","","aufwand","CHF"
"3614","","2016","","aufwand","CHF"
"3620","","2016","","aufwand","CHF"
"36211","","2016","","aufwand","CHF"
"36212","","2016","","aufwand","CHF"
"36213","","2016","","aufwand","CHF"
"36214","","2016","","aufwand","CHF"
"36215","","2016","16161149.78","aufwand","CHF"
"36216","","2016","","aufwand","CHF"
"36217","","2016","","aufwand","CHF"
"36219","","2016","","aufwand","CHF"
"36221","","2016","","aufwand","CHF"
"36222","","2016","","aufwand","CHF"
"36223","","2016","","aufwand","CHF"
"36224","","2016","","aufwand","CHF"
"36225","","2016","","aufwand","CHF"
"36226","","2016","","aufwand","CHF"
"36227","","2016","","aufwand","CHF"
"36228","","2016","","aufwand","CHF"
"3624","","2016","","aufwand","CHF"
"3629","","2016","","aufwand","CHF"
"3630","","2016","","aufwand","CHF"
"3631","","2016","3376992.86","aufwand","CHF"
"3632","","2016","","aufwand","CHF"
"3633","","2016","","aufwand","CHF"
"3634","","2016","50133914.87","aufwand","CHF"
"3635","","2016","76674415.16","aufwand","CHF"
"3636","","2016","45150312.43","aufwand","CHF"
"3637","","2016","45020330.16","aufwand","CHF"
"3638","","2016","2118.54","aufwand","CHF"
"3639","","2016","","aufwand","CHF"
"364","","2016","","aufwand","CHF"
"365","","2016","","aufwand","CHF"
"366","","2016","1939500.11","aufwand","CHF"
"369","","2016","","aufwand","CHF"
"380","","2016","4675000","aufwand","CHF"
"381","","2016","1078177.61","aufwand","CHF"
"383","","2016","7654281.75","aufwand","CHF"
"384","","2016","46965.46","aufwand","CHF"
"3860","","2016","","aufwand","CHF"
"3861","","2016","","aufwand","CHF"
"3862","","2016","","aufwand","CHF"
"3863","","2016","","aufwand","CHF"
"3864","","2016","","aufwand","CHF"
"3865","","2016","","aufwand","CHF"
"3866","","2016","","aufwand","CHF"
"3867","","2016","","aufwand","CHF"
"3868","","2016","","aufwand","CHF"
"387","","2016","2254539.47","aufwand","CHF"
"389","","2016","","aufwand","CHF"
"4000","","2016","375727429.49","ertrag","CHF"
"4001","","2016","75668375.84","ertrag","CHF"
"4002","","2016","32323975.32","ertrag","CHF"
"4008","","2016","1513817","ertrag","CHF"
"4009","","2016","2507180.95","ertrag","CHF"
"4010","","2016","62452237.09","ertrag","CHF"
"4011","","2016","27277989.15","ertrag","CHF"
"4012","","2016","","ertrag","CHF"
"4019","","2016","","ertrag","CHF"
"4020","","2016","","ertrag","CHF"
"4021","","2016","75450251.94","ertrag","CHF"
"4022","","2016","39852301.03","ertrag","CHF"
"4023","","2016","46725070.65","ertrag","CHF"
"4024","","2016","7477576.89","ertrag","CHF"
"4025","","2016","","ertrag","CHF"
"4030","","2016","","ertrag","CHF"
"4031","","2016","","ertrag","CHF"
"4032","","2016","","ertrag","CHF"
"4033","","2016","1189115.55","ertrag","CHF"
"4039","","2016","27932889.89","ertrag","CHF"
"4040","","2016","","ertrag","CHF"
"4041","","2016","","ertrag","CHF"
"4042","","2016","","ertrag","CHF"
"4043","","2016","","ertrag","CHF"
"4044","","2016","","ertrag","CHF"
"4045","","2016","","ertrag","CHF"
"4046","","2016","","ertrag","CHF"
"4047","","2016","","ertrag","CHF"
"4049","","2016","","ertrag","CHF"
"4050","","2016","","ertrag","CHF"
"4051","","2016","","ertrag","CHF"
"4052","","2016","","ertrag","CHF"
"4053","","2016","","ertrag","CHF"
"4059","","2016","","ertrag","CHF"
"4060","","2016","","ertrag","CHF"
"4070","","2016","","ertrag","CHF"
"4071","","2016","","ertrag","CHF"
"4072","","2016","","ertrag","CHF"
"4079","","2016","","ertrag","CHF"
"410","","2016","95397.58","ertrag","CHF"
"411","","2016","","ertrag","CHF"
"412","","2016","76927100.94","ertrag","CHF"
"413","","2016","","ertrag","CHF"
"420","","2016","9318440.45","ertrag","CHF"
"421","","2016","34483480.85","ertrag","CHF"
"422","","2016","","ertrag","CHF"
"423","","2016","5244246.59","ertrag","CHF"
"424","","2016","182127910.77","ertrag","CHF"
"425","","2016","47567741.11","ertrag","CHF"
"426","","2016","71187738","ertrag","CHF"
"427","","2016","2133840.36","ertrag","CHF"
"429","","2016","1059873.37","ertrag","CHF"
"430","","2016","163759.74","ertrag","CHF"
"431","","2016","7804323.09","ertrag","CHF"
"432","","2016","1135335.41","ertrag","CHF"
"439","","2016","2916703.85","ertrag","CHF"
"440","","2016","5389813.54","ertrag","CHF"
"441","","2016","4265447.06","ertrag","CHF"
"442","","2016","724452.38","ertrag","CHF"
"443","","2016","43388522.7","ertrag","CHF"
"444","","2016","6273586.67","ertrag","CHF"
"445","","2016","1300008.48","ertrag","CHF"
"446","","2016","22985195.78","ertrag","CHF"
"447","","2016","29676379.26","ertrag","CHF"
"448","","2016","","ertrag","CHF"
"449","","2016","","ertrag","CHF"
"450","","2016","648421.09","ertrag","CHF"
"451","","2016","3940071.62","ertrag","CHF"
"452","","2016","23144146.21","ertrag","CHF"
"46000","","2016","","ertrag","CHF"
"46001","","2016","","ertrag","CHF"
"46002","","2016","","ertrag","CHF"
"46003","","2016","","ertrag","CHF"
"46004","","2016","","ertrag","CHF"
"46005","","2016","","ertrag","CHF"
"46006","","2016","","ertrag","CHF"
"46007","","2016","","ertrag","CHF"
"46008","","2016","","ertrag","CHF"
"46009","","2016","","ertrag","CHF"
"46010","","2016","","ertrag","CHF"
"46011","","2016","","ertrag","CHF"
"46012","","2016","","ertrag","CHF"
"46019","","2016","348563.36","ertrag","CHF"
"4603","","2016","","ertrag","CHF"
"4604","","2016","","ertrag","CHF"
"4610","","2016","","ertrag","CHF"
"4611","","2016","8948379.15","ertrag","CHF"
"4612","","2016","","ertrag","CHF"
"4613","","2016","","ertrag","CHF"
"4614","","2016","","ertrag","CHF"
"46201","","2016","","ertrag","CHF"
"46202","","2016","","ertrag","CHF"
"46203","","2016","","ertrag","CHF"
"46204","","2016","","ertrag","CHF"
"46209","","2016","","ertrag","CHF"
"46211","","2016","","ertrag","CHF"
"46212","","2016","","ertrag","CHF"
"46213","","2016","","ertrag","CHF"
"46214","","2016","","ertrag","CHF"
"46215","","2016","31707730","ertrag","CHF"
"46216","","2016","30400012","ertrag","CHF"
"46217","","2016","","ertrag","CHF"
"46225","","2016","","ertrag","CHF"
"46226","","2016","","ertrag","CHF"
"46227","","2016","","ertrag","CHF"
"46228","","2016","","ertrag","CHF"
"4624","","2016","","ertrag","CHF"
"4629","","2016","","ertrag","CHF"
"4630","","2016","","ertrag","CHF"
"4631","","2016","82546957.72","ertrag","CHF"
"4632","","2016","","ertrag","CHF"
"4633","","2016","","ertrag","CHF"
"4634","","2016","2354364.85","ertrag","CHF"
"4635","","2016","105017.59","ertrag","CHF"
"4636","","2016","","ertrag","CHF"
"4637","","2016","","ertrag","CHF"
"4638","","2016","","ertrag","CHF"
"466","","2016","","ertrag","CHF"
"469","","2016","579329.12","ertrag","CHF"
"481","","2016","","ertrag","CHF"
"482","","2016","","ertrag","CHF"
"483","","2016","409106.98","ertrag","CHF"
"484","","2016","189976.54","ertrag","CHF"
"485","","2016","","ertrag","CHF"
"4860","","2016","","ertrag","CHF"
"4861","","2016","","ertrag","CHF"
"4862","","2016","","ertrag","CHF"
"4863","","2016","","ertrag","CHF"
"4864","","2016","","ertrag","CHF"
"4865","","2016","","ertrag","CHF"
"4866","","2016","","ertrag","CHF"
"4867","","2016","","ertrag","CHF"
"4868","","2016","","ertrag","CHF"
"4870","","2016","","ertrag","CHF"
"489","","2016","","ertrag","CHF"
