"arten","funk","jahr","value","dim","unit"
"100","","2016","48363173.37","bilanz","CHF"
"101","","2016","75782996.17","bilanz","CHF"
"102","","2016","100260.15","bilanz","CHF"
"104","","2016","42659620.93","bilanz","CHF"
"106","","2016","2244.64","bilanz","CHF"
"107","","2016","27203775.43","bilanz","CHF"
"108","","2016","98016616.52","bilanz","CHF"
"109","","2016","58170673","bilanz","CHF"
"140","","2016","496466623.26","bilanz","CHF"
"141","","2016","47045.25","bilanz","CHF"
"142","","2016","1147065.52","bilanz","CHF"
"143","","2016","4744868.52","bilanz","CHF"
"144","","2016","","bilanz","CHF"
"145","","2016","","bilanz","CHF"
"146","","2016","1364135.95","bilanz","CHF"
"147","","2016","","bilanz","CHF"
"148","","2016","","bilanz","CHF"
"200","","2016","49552732","bilanz","CHF"
"201","","2016","28591365.51","bilanz","CHF"
"204","","2016","30922295.72","bilanz","CHF"
"205","","2016","","bilanz","CHF"
"206","","2016","546755968.63","bilanz","CHF"
"207","","2016","","bilanz","CHF"
"208","","2016","50927403.82","bilanz","CHF"
"209","","2016","58460975.3","bilanz","CHF"
"290","","2016","","bilanz","CHF"
"292","","2016","","bilanz","CHF"
"293","","2016","","bilanz","CHF"
"294","","2016","","bilanz","CHF"
"295","","2016","","bilanz","CHF"
"296","","2016","","bilanz","CHF"
"298","","2016","","bilanz","CHF"
"299","","2016","88858357.73","bilanz","CHF"
"300","","2016","3349185.31","aufwand","CHF"
"301","","2016","53601422.67","aufwand","CHF"
"302","","2016","14899.41","aufwand","CHF"
"303","","2016","18598.42","aufwand","CHF"
"304","","2016","618013.57","aufwand","CHF"
"305","","2016","14365464.56","aufwand","CHF"
"306","","2016","49328.87","aufwand","CHF"
"309","","2016","336695.58","aufwand","CHF"
"310","","2016","8034990.51","aufwand","CHF"
"311","","2016","2302368.25","aufwand","CHF"
"312","","2016","13928823.37","aufwand","CHF"
"313","","2016","26263625.85","aufwand","CHF"
"314","","2016","11511815.37","aufwand","CHF"
"315","","2016","3099483.13","aufwand","CHF"
"316","","2016","3561637.98","aufwand","CHF"
"317","","2016","2524443.97","aufwand","CHF"
"318","","2016","13918957.01","aufwand","CHF"
"319","","2016","2412417.07","aufwand","CHF"
"320","","2016","","aufwand","CHF"
"331","","2016","","aufwand","CHF"
"337","","2016","22301115.15","aufwand","CHF"
"338","","2016","7764803.25","aufwand","CHF"
"340","","2016","10576498.41","aufwand","CHF"
"341","","2016","","aufwand","CHF"
"342","","2016","","aufwand","CHF"
"343","","2016","874354.72","aufwand","CHF"
"344","","2016","2136575.71","aufwand","CHF"
"349","","2016","","aufwand","CHF"
"350","","2016","","aufwand","CHF"
"351","","2016","","aufwand","CHF"
"352","","2016","18548993.69","aufwand","CHF"
"3600","","2016","","aufwand","CHF"
"36010","","2016","","aufwand","CHF"
"36011","","2016","","aufwand","CHF"
"36012","","2016","","aufwand","CHF"
"36013","","2016","","aufwand","CHF"
"36014","","2016","","aufwand","CHF"
"36015","","2016","","aufwand","CHF"
"36016","","2016","","aufwand","CHF"
"36017","","2016","","aufwand","CHF"
"36018","","2016","","aufwand","CHF"
"36019","","2016","","aufwand","CHF"
"36021","","2016","","aufwand","CHF"
"36022","","2016","","aufwand","CHF"
"36023","","2016","","aufwand","CHF"
"36029","","2016","","aufwand","CHF"
"3603","","2016","","aufwand","CHF"
"3604","","2016","","aufwand","CHF"
"3610","","2016","","aufwand","CHF"
"3611","","2016","75962990.6","aufwand","CHF"
"3612","","2016","","aufwand","CHF"
"3613","","2016","","aufwand","CHF"
"3614","","2016","","aufwand","CHF"
"3620","","2016","","aufwand","CHF"
"36211","","2016","","aufwand","CHF"
"36212","","2016","","aufwand","CHF"
"36213","","2016","","aufwand","CHF"
"36214","","2016","","aufwand","CHF"
"36215","","2016","","aufwand","CHF"
"36216","","2016","6396802","aufwand","CHF"
"36217","","2016","","aufwand","CHF"
"36219","","2016","","aufwand","CHF"
"36221","","2016","","aufwand","CHF"
"36222","","2016","","aufwand","CHF"
"36223","","2016","","aufwand","CHF"
"36224","","2016","","aufwand","CHF"
"36225","","2016","","aufwand","CHF"
"36226","","2016","","aufwand","CHF"
"36227","","2016","","aufwand","CHF"
"36228","","2016","","aufwand","CHF"
"3624","","2016","","aufwand","CHF"
"3629","","2016","","aufwand","CHF"
"3630","","2016","","aufwand","CHF"
"3631","","2016","19241004.95","aufwand","CHF"
"3632","","2016","","aufwand","CHF"
"3633","","2016","","aufwand","CHF"
"3634","","2016","302403.46","aufwand","CHF"
"3635","","2016","6015543.04","aufwand","CHF"
"3636","","2016","13282043.19","aufwand","CHF"
"3637","","2016","28183475.48","aufwand","CHF"
"3638","","2016","33500","aufwand","CHF"
"3639","","2016","233200.9","aufwand","CHF"
"364","","2016","","aufwand","CHF"
"365","","2016","","aufwand","CHF"
"366","","2016","","aufwand","CHF"
"369","","2016","","aufwand","CHF"
"380","","2016","","aufwand","CHF"
"381","","2016","","aufwand","CHF"
"383","","2016","","aufwand","CHF"
"384","","2016","","aufwand","CHF"
"3860","","2016","","aufwand","CHF"
"3861","","2016","","aufwand","CHF"
"3862","","2016","","aufwand","CHF"
"3863","","2016","","aufwand","CHF"
"3864","","2016","","aufwand","CHF"
"3865","","2016","","aufwand","CHF"
"3866","","2016","","aufwand","CHF"
"3867","","2016","","aufwand","CHF"
"3868","","2016","","aufwand","CHF"
"387","","2016","","aufwand","CHF"
"389","","2016","","aufwand","CHF"
"4000","","2016","124536000","ertrag","CHF"
"4001","","2016","11270000","ertrag","CHF"
"4002","","2016","18672000","ertrag","CHF"
"4008","","2016","","ertrag","CHF"
"4009","","2016","6631000","ertrag","CHF"
"4010","","2016","26120000","ertrag","CHF"
"4011","","2016","4879000","ertrag","CHF"
"4012","","2016","","ertrag","CHF"
"4019","","2016","","ertrag","CHF"
"4020","","2016","","ertrag","CHF"
"4021","","2016","1.1e+07","ertrag","CHF"
"4022","","2016","3759000","ertrag","CHF"
"4023","","2016","","ertrag","CHF"
"4024","","2016","","ertrag","CHF"
"4025","","2016","342000","ertrag","CHF"
"4030","","2016","","ertrag","CHF"
"4031","","2016","","ertrag","CHF"
"4032","","2016","","ertrag","CHF"
"4033","","2016","315000","ertrag","CHF"
"4039","","2016","74000","ertrag","CHF"
"4040","","2016","","ertrag","CHF"
"4041","","2016","","ertrag","CHF"
"4042","","2016","","ertrag","CHF"
"4043","","2016","","ertrag","CHF"
"4044","","2016","","ertrag","CHF"
"4045","","2016","","ertrag","CHF"
"4046","","2016","","ertrag","CHF"
"4047","","2016","","ertrag","CHF"
"4049","","2016","","ertrag","CHF"
"4050","","2016","","ertrag","CHF"
"4051","","2016","","ertrag","CHF"
