"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2018","656934216.25","bilanz","gdn_lu","CHF","fs"
"101","","2018","653228901.03","bilanz","gdn_lu","CHF","fs"
"102","","2018","182895980.97","bilanz","gdn_lu","CHF","fs"
"104","","2018","62033182.62","bilanz","gdn_lu","CHF","fs"
"106","","2018","1644688.22","bilanz","gdn_lu","CHF","fs"
"107","","2018","224297283.38","bilanz","gdn_lu","CHF","fs"
"108","","2018","360462188.44","bilanz","gdn_lu","CHF","fs"
"109","","2018","744461.17","bilanz","gdn_lu","CHF","fs"
"140","","2018","1799035100.56","bilanz","gdn_lu","CHF","fs"
"141","","2018","","bilanz","gdn_lu","CHF","fs"
"142","","2018","26297274.2","bilanz","gdn_lu","CHF","fs"
"143","","2018","147191339.91","bilanz","gdn_lu","CHF","fs"
"144","","2018","5601628.21","bilanz","gdn_lu","CHF","fs"
"145","","2018","33368495","bilanz","gdn_lu","CHF","fs"
"146","","2018","75738828.8","bilanz","gdn_lu","CHF","fs"
"147","","2018","","bilanz","gdn_lu","CHF","fs"
"148","","2018","","bilanz","gdn_lu","CHF","fs"
"200","","2018","1109825222.73","bilanz","gdn_lu","CHF","fs"
"201","","2018","103600669.78","bilanz","gdn_lu","CHF","fs"
"204","","2018","98086167.2","bilanz","gdn_lu","CHF","fs"
"205","","2018","1026616.2","bilanz","gdn_lu","CHF","fs"
"206","","2018","1555891549.22","bilanz","gdn_lu","CHF","fs"
"207","","2018","","bilanz","gdn_lu","CHF","fs"
"208","","2018","61929745.91","bilanz","gdn_lu","CHF","fs"
"209","","2018","526136355.71","bilanz","gdn_lu","CHF","fs"
"290","","2018","48523698.76","bilanz","gdn_lu","CHF","fs"
"292","","2018","","bilanz","gdn_lu","CHF","fs"
"293","","2018","204043330.05","bilanz","gdn_lu","CHF","fs"
"294","","2018","","bilanz","gdn_lu","CHF","fs"
"295","","2018","2855664.08","bilanz","gdn_lu","CHF","fs"
"296","","2018","","bilanz","gdn_lu","CHF","fs"
"298","","2018","","bilanz","gdn_lu","CHF","fs"
"299","","2018","517554549.12","bilanz","gdn_lu","CHF","fs"
"empty","","2018","","er","gdn_lu","CHF","fs"
"empty","","2018","","er","gdn_lu","CHF","fs"
"empty","","2018","","er","gdn_lu","CHF","fs"
"empty","","2018","","er","gdn_lu","CHF","fs"
"300","","2018","25915444.74","aufwand","gdn_lu","CHF","fs"
"301","","2018","323782786.27","aufwand","gdn_lu","CHF","fs"
"302","","2018","411396768.82","aufwand","gdn_lu","CHF","fs"
"303","","2018","676633.96","aufwand","gdn_lu","CHF","fs"
"304","","2018","1633529.37","aufwand","gdn_lu","CHF","fs"
"305","","2018","137371075.36","aufwand","gdn_lu","CHF","fs"
"306","","2018","4471918.07","aufwand","gdn_lu","CHF","fs"
"309","","2018","9989387.72","aufwand","gdn_lu","CHF","fs"
"310","","2018","34458442.3","aufwand","gdn_lu","CHF","fs"
"311","","2018","19353301.5","aufwand","gdn_lu","CHF","fs"
"312","","2018","29759555.21","aufwand","gdn_lu","CHF","fs"
"313","","2018","116632738.3","aufwand","gdn_lu","CHF","fs"
"314","","2018","48545064.67","aufwand","gdn_lu","CHF","fs"
"315","","2018","17768493.38","aufwand","gdn_lu","CHF","fs"
"316","","2018","22519749.83","aufwand","gdn_lu","CHF","fs"
"317","","2018","4972660.55","aufwand","gdn_lu","CHF","fs"
"318","","2018","13362851.02","aufwand","gdn_lu","CHF","fs"
