"arten","funk","jahr","value","dim","unit"
"100","","2022","87010309.42","bilanz","CHF"
"101","","2022","159153648.24","bilanz","CHF"
"102","","2022","2500000","bilanz","CHF"
"104","","2022","75460082.9","bilanz","CHF"
"106","","2022","2635353.19","bilanz","CHF"
"107","","2022","39472913.66","bilanz","CHF"
"108","","2022","764350464.17","bilanz","CHF"
"109","","2022","","bilanz","CHF"
"140","","2022","2277333174.21","bilanz","CHF"
"141","","2022","","bilanz","CHF"
"142","","2022","16376069.86","bilanz","CHF"
"143","","2022","","bilanz","CHF"
"144","","2022","9088477.86","bilanz","CHF"
"145","","2022","238236574.16","bilanz","CHF"
"146","","2022","4891851.55","bilanz","CHF"
"147","","2022","","bilanz","CHF"
"148","","2022","","bilanz","CHF"
"200","","2022","124477200.48","bilanz","CHF"
"201","","2022","334685221.13","bilanz","CHF"
"204","","2022","36487450.79","bilanz","CHF"
"205","","2022","9387993.18","bilanz","CHF"
"206","","2022","1357727775.45","bilanz","CHF"
"207","","2022","","bilanz","CHF"
"208","","2022","10549146.62","bilanz","CHF"
"209","","2022","20052611.84","bilanz","CHF"
"290","","2022","164528643.84","bilanz","CHF"
"292","","2022","3498177.5","bilanz","CHF"
"293","","2022","82449972.78","bilanz","CHF"
"294","","2022","168897616.29","bilanz","CHF"
"295","","2022","534737741.39","bilanz","CHF"
"296","","2022","127804571.07","bilanz","CHF"
"298","","2022","","bilanz","CHF"
"299","","2022","701224796.76","bilanz","CHF"
"300","","2022","6830886","aufwand","CHF"
"301","","2022","212776916.14","aufwand","CHF"
"302","","2022","161858879.08","aufwand","CHF"
"303","","2022","1598081.4","aufwand","CHF"
"304","","2022","5920324.5","aufwand","CHF"
"305","","2022","86104988.99","aufwand","CHF"
"306","","2022","1415283.1","aufwand","CHF"
"309","","2022","2861839","aufwand","CHF"
"310","","2022","24273000.17","aufwand","CHF"
"311","","2022","5717765.69","aufwand","CHF"
"312","","2022","22163998.27","aufwand","CHF"
"313","","2022","100610172.06","aufwand","CHF"
"314","","2022","23901596.45","aufwand","CHF"
"315","","2022","9473363.04","aufwand","CHF"
"316","","2022","17158345.93","aufwand","CHF"
"317","","2022","5365287.97","aufwand","CHF"
"318","","2022","7779992.77","aufwand","CHF"
"319","","2022","3930560.13","aufwand","CHF"
"320","","2022","","aufwand","CHF"
"331","","2022","","aufwand","CHF"
"337","","2022","104042921.91","aufwand","CHF"
"338","","2022","1828290.2","aufwand","CHF"
"340","","2022","18480340.26","aufwand","CHF"
"341","","2022","488455.23","aufwand","CHF"
"342","","2022","148130.75","aufwand","CHF"
"343","","2022","15597055.82","aufwand","CHF"
"344","","2022","29414217.74","aufwand","CHF"
"349","","2022","80979.14","aufwand","CHF"
"350","","2022","189847.18","aufwand","CHF"
"351","","2022","15945765.36","aufwand","CHF"
"352","","2022","","aufwand","CHF"
"3600","","2022","","aufwand","CHF"
"36010","","2022","","aufwand","CHF"
"36011","","2022","","aufwand","CHF"
"36012","","2022","","aufwand","CHF"
"36013","","2022","","aufwand","CHF"
"36014","","2022","","aufwand","CHF"
"36015","","2022","","aufwand","CHF"
"36016","","2022","","aufwand","CHF"
"36017","","2022","","aufwand","CHF"
"36018","","2022","","aufwand","CHF"
"36019","","2022","","aufwand","CHF"
"36021","","2022","","aufwand","CHF"
"36022","","2022","","aufwand","CHF"
"36023","","2022","","aufwand","CHF"
"36029","","2022","","aufwand","CHF"
"3603","","2022","","aufwand","CHF"
"3604","","2022","","aufwand","CHF"
"3610","","2022","","aufwand","CHF"
"3611","","2022","4107669","aufwand","CHF"
"3612","","2022","","aufwand","CHF"
"3613","","2022","","aufwand","CHF"
"3614","","2022","","aufwand","CHF"
"3620","","2022","","aufwand","CHF"
"36211","","2022","","aufwand","CHF"
"36212","","2022","","aufwand","CHF"
"36213","","2022","","aufwand","CHF"
"36214","","2022","","aufwand","CHF"
"36215","","2022","","aufwand","CHF"
"36216","","2022","","aufwand","CHF"
"36217","","2022","","aufwand","CHF"
"36219","","2022","","aufwand","CHF"
"36221","","2022","","aufwand","CHF"
"36222","","2022","","aufwand","CHF"
"36223","","2022","","aufwand","CHF"
"36224","","2022","","aufwand","CHF"
"36225","","2022","","aufwand","CHF"
"36226","","2022","","aufwand","CHF"
"36227","","2022","","aufwand","CHF"
"36228","","2022","","aufwand","CHF"
"3624","","2022","","aufwand","CHF"
"3629","","2022","","aufwand","CHF"
"3630","","2022","","aufwand","CHF"
"3631","","2022","94744462.17","aufwand","CHF"
"3632","","2022","","aufwand","CHF"
"3633","","2022","","aufwand","CHF"
"3634","","2022","2371733.41","aufwand","CHF"
"3635","","2022","1307141.87","aufwand","CHF"
"3636","","2022","47506883.47","aufwand","CHF"
"3637","","2022","3687757.93","aufwand","CHF"
"3638","","2022","40850","aufwand","CHF"
"3639","","2022","19800","aufwand","CHF"
"364","","2022","-89068.05","aufwand","CHF"
"365","","2022","1701869.01","aufwand","CHF"
"366","","2022","54080","aufwand","CHF"
"369","","2022","","aufwand","CHF"
"380","","2022","51318.73","aufwand","CHF"
"381","","2022","3558617","aufwand","CHF"
"383","","2022","53244.7","aufwand","CHF"
"384","","2022","793721.42","aufwand","CHF"
"3860","","2022","","aufwand","CHF"
"3861","","2022","","aufwand","CHF"
"3862","","2022","","aufwand","CHF"
"3863","","2022","","aufwand","CHF"
"3864","","2022","","aufwand","CHF"
"3865","","2022","","aufwand","CHF"
"3866","","2022","","aufwand","CHF"
"3867","","2022","","aufwand","CHF"
"3868","","2022","","aufwand","CHF"
"387","","2022","","aufwand","CHF"
"389","","2022","18956351.95","aufwand","CHF"
"4000","","2022","362499384.6","ertrag","CHF"
"4001","","2022","40277709.4","ertrag","CHF"
"4002","","2022","46647846","ertrag","CHF"
"4008","","2022","","ertrag","CHF"
"4009","","2022","","ertrag","CHF"
"4010","","2022","96680799.34","ertrag","CHF"
"4011","","2022","5735301.66","ertrag","CHF"
"4012","","2022","","ertrag","CHF"
"4019","","2022","","ertrag","CHF"
"4020","","2022","","ertrag","CHF"
"4021","","2022","20132914","ertrag","CHF"
"4022","","2022","","ertrag","CHF"
"4023","","2022","","ertrag","CHF"
"4024","","2022","","ertrag","CHF"
"4025","","2022","","ertrag","CHF"
"4030","","2022","","ertrag","CHF"
"4031","","2022","","ertrag","CHF"
"4032","","2022","262516","ertrag","CHF"
"4033","","2022","1230648","ertrag","CHF"
"4039","","2022","","ertrag","CHF"
"4040","","2022","","ertrag","CHF"
"4041","","2022","","ertrag","CHF"
"4042","","2022","","ertrag","CHF"
"4043","","2022","","ertrag","CHF"
"4044","","2022","","ertrag","CHF"
"4045","","2022","","ertrag","CHF"
"4046","","2022","","ertrag","CHF"
"4047","","2022","","ertrag","CHF"
"4049","","2022","","ertrag","CHF"
"4050","","2022","","ertrag","CHF"
"4051","","2022","","ertrag","CHF"
"4052","","2022","","ertrag","CHF"
"4053","","2022","","ertrag","CHF"
"4059","","2022","","ertrag","CHF"
"4060","","2022","","ertrag","CHF"
"4070","","2022","","ertrag","CHF"
"4071","","2022","","ertrag","CHF"
"4072","","2022","","ertrag","CHF"
"4079","","2022","","ertrag","CHF"
"410","","2022","","ertrag","CHF"
"411","","2022","","ertrag","CHF"
"412","","2022","3304926.6","ertrag","CHF"
"413","","2022","","ertrag","CHF"
"420","","2022","591637.4","ertrag","CHF"
"421","","2022","5211622.06","ertrag","CHF"
"422","","2022","","ertrag","CHF"
"423","","2022","48042.5","ertrag","CHF"
"424","","2022","100318879.56","ertrag","CHF"
"425","","2022","32689418.25","ertrag","CHF"
"426","","2022","32811988.02","ertrag","CHF"
"427","","2022","16197.3","ertrag","CHF"
"429","","2022","2823479.42","ertrag","CHF"
"430","","2022","1583861.04","ertrag","CHF"
"431","","2022","788747.39","ertrag","CHF"
"432","","2022","131178.54","ertrag","CHF"
"439","","2022","12795459.88","ertrag","CHF"
"440","","2022","4770357.97","ertrag","CHF"
"441","","2022","2711145.6","ertrag","CHF"
"442","","2022","594290.15","ertrag","CHF"
"443","","2022","30937767.43","ertrag","CHF"
"444","","2022","119085328.61","ertrag","CHF"
"445","","2022","3227223.11","ertrag","CHF"
"446","","2022","5512524.6","ertrag","CHF"
"447","","2022","17776257.13","ertrag","CHF"
"448","","2022","1047717.7","ertrag","CHF"
"449","","2022","397209.43","ertrag","CHF"
"450","","2022","556287.8","ertrag","CHF"
"451","","2022","10735714.18","ertrag","CHF"
"452","","2022","","ertrag","CHF"
"46000","","2022","","ertrag","CHF"
"46001","","2022","","ertrag","CHF"
"46002","","2022","","ertrag","CHF"
"46003","","2022","","ertrag","CHF"
"46004","","2022","","ertrag","CHF"
"46005","","2022","","ertrag","CHF"
"46006","","2022","","ertrag","CHF"
"46007","","2022","","ertrag","CHF"
"46008","","2022","","ertrag","CHF"
"46009","","2022","","ertrag","CHF"
"46010","","2022","","ertrag","CHF"
"46011","","2022","","ertrag","CHF"
"46012","","2022","","ertrag","CHF"
"46019","","2022","2455585","ertrag","CHF"
"4603","","2022","","ertrag","CHF"
"4604","","2022","98472.09","ertrag","CHF"
"4610","","2022","","ertrag","CHF"
"4611","","2022","6873043.53","ertrag","CHF"
"4612","","2022","","ertrag","CHF"
"4613","","2022","","ertrag","CHF"
"4614","","2022","","ertrag","CHF"
"46201","","2022","","ertrag","CHF"
"46202","","2022","","ertrag","CHF"
"46203","","2022","","ertrag","CHF"
"46204","","2022","","ertrag","CHF"
"46209","","2022","","ertrag","CHF"
"46211","","2022","","ertrag","CHF"
"46212","","2022","","ertrag","CHF"
"46213","","2022","","ertrag","CHF"
"46214","","2022","","ertrag","CHF"
"46215","","2022","14500003","ertrag","CHF"
"46216","","2022","","ertrag","CHF"
"46217","","2022","","ertrag","CHF"
"46225","","2022","","ertrag","CHF"
"46226","","2022","","ertrag","CHF"
"46227","","2022","","ertrag","CHF"
"46228","","2022","","ertrag","CHF"
"4624","","2022","","ertrag","CHF"
"4629","","2022","","ertrag","CHF"
"4630","","2022","","ertrag","CHF"
"4631","","2022","114111736.9","ertrag","CHF"
"4632","","2022","","ertrag","CHF"
"4633","","2022","","ertrag","CHF"
"4634","","2022","2520704","ertrag","CHF"
"4635","","2022","10200","ertrag","CHF"
"4636","","2022","6142.4","ertrag","CHF"
"4637","","2022","","ertrag","CHF"
"4638","","2022","","ertrag","CHF"
"466","","2022","","ertrag","CHF"
"469","","2022","290162.3","ertrag","CHF"
"481","","2022","","ertrag","CHF"
"482","","2022","754527.55","ertrag","CHF"
"483","","2022","8000","ertrag","CHF"
"484","","2022","92838.19","ertrag","CHF"
"485","","2022","","ertrag","CHF"
"4860","","2022","","ertrag","CHF"
"4861","","2022","","ertrag","CHF"
"4862","","2022","","ertrag","CHF"
"4863","","2022","","ertrag","CHF"
"4864","","2022","","ertrag","CHF"
"4865","","2022","","ertrag","CHF"
"4866","","2022","","ertrag","CHF"
"4867","","2022","","ertrag","CHF"
"4868","","2022","","ertrag","CHF"
"4870","","2022","","ertrag","CHF"
"489","","2022","39908337.85","ertrag","CHF"
