"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2018","58449020.44","bilanz","gdn_nw","CHF","fs"
"101","","2018","28071945.6","bilanz","gdn_nw","CHF","fs"
"102","","2018","611838.04","bilanz","gdn_nw","CHF","fs"
"104","","2018","5046953.06","bilanz","gdn_nw","CHF","fs"
"106","","2018","135152.59","bilanz","gdn_nw","CHF","fs"
"107","","2018","2452548.85","bilanz","gdn_nw","CHF","fs"
"108","","2018","31771108.75","bilanz","gdn_nw","CHF","fs"
"109","","2018","","bilanz","gdn_nw","CHF","fs"
"140","","2018","261542924.92","bilanz","gdn_nw","CHF","fs"
"141","","2018","1","bilanz","gdn_nw","CHF","fs"
"142","","2018","190152","bilanz","gdn_nw","CHF","fs"
"143","","2018","","bilanz","gdn_nw","CHF","fs"
"144","","2018","1900002","bilanz","gdn_nw","CHF","fs"
"145","","2018","1234501","bilanz","gdn_nw","CHF","fs"
"146","","2018","12304252.62","bilanz","gdn_nw","CHF","fs"
"147","","2018","","bilanz","gdn_nw","CHF","fs"
"148","","2018","","bilanz","gdn_nw","CHF","fs"
"200","","2018","36824337.19","bilanz","gdn_nw","CHF","fs"
"201","","2018","811862.95","bilanz","gdn_nw","CHF","fs"
"204","","2018","1633096.17","bilanz","gdn_nw","CHF","fs"
"205","","2018","186512.95","bilanz","gdn_nw","CHF","fs"
"206","","2018","118216170","bilanz","gdn_nw","CHF","fs"
"207","","2018","","bilanz","gdn_nw","CHF","fs"
"208","","2018","928798.05","bilanz","gdn_nw","CHF","fs"
"209","","2018","2155223.22","bilanz","gdn_nw","CHF","fs"
"290","","2018","54918748.36","bilanz","gdn_nw","CHF","fs"
"292","","2018","","bilanz","gdn_nw","CHF","fs"
"293","","2018","12769666.23","bilanz","gdn_nw","CHF","fs"
"294","","2018","99560774.95","bilanz","gdn_nw","CHF","fs"
"295","","2018","","bilanz","gdn_nw","CHF","fs"
"296","","2018","14167973.6","bilanz","gdn_nw","CHF","fs"
"298","","2018","","bilanz","gdn_nw","CHF","fs"
"299","","2018","61537237.21","bilanz","gdn_nw","CHF","fs"
"empty","","2018","","er","gdn_nw","CHF","fs"
"empty","","2018","","er","gdn_nw","CHF","fs"
"empty","","2018","","er","gdn_nw","CHF","fs"
"empty","","2018","","er","gdn_nw","CHF","fs"
"300","","2018","2757004.45","aufwand","gdn_nw","CHF","fs"
"301","","2018","24609491.45","aufwand","gdn_nw","CHF","fs"
"302","","2018","42710952.3","aufwand","gdn_nw","CHF","fs"
"303","","2018","315618.47","aufwand","gdn_nw","CHF","fs"
"304","","2018","420418.25","aufwand","gdn_nw","CHF","fs"
"305","","2018","11705399.73","aufwand","gdn_nw","CHF","fs"
"306","","2018","202433.4","aufwand","gdn_nw","CHF","fs"
"309","","2018","1210289.47","aufwand","gdn_nw","CHF","fs"
"310","","2018","3809842.43","aufwand","gdn_nw","CHF","fs"
"311","","2018","2186005.22","aufwand","gdn_nw","CHF","fs"
"312","","2018","3140696.38","aufwand","gdn_nw","CHF","fs"
"313","","2018","12650146.48","aufwand","gdn_nw","CHF","fs"
"314","","2018","7198642.89","aufwand","gdn_nw","CHF","fs"
"315","","2018","1527311.96","aufwand","gdn_nw","CHF","fs"
"316","","2018","860359.34","aufwand","gdn_nw","CHF","fs"
"317","","2018","994026.41","aufwand","gdn_nw","CHF","fs"
"318","","2018","1356593.07","aufwand","gdn_nw","CHF","fs"
"319","","2018","1332517.69","aufwand","gdn_nw","CHF","fs"
"320","","2018","","aufwand","gdn_nw","CHF","fs"
"331","","2018","","aufwand","gdn_nw","CHF","fs"
"337","","2018","18653223.58","aufwand","gdn_nw","CHF","fs"
"338","","2018","6017995.92","aufwand","gdn_nw","CHF","fs"
"340","","2018","1218789.3","aufwand","gdn_nw","CHF","fs"
"341","","2018","180","aufwand","gdn_nw","CHF","fs"
"342","","2018","","aufwand","gdn_nw","CHF","fs"
"343","","2018","409343.07","aufwand","gdn_nw","CHF","fs"
"344","","2018","369659.75","aufwand","gdn_nw","CHF","fs"
"349","","2018","143472.09","aufwand","gdn_nw","CHF","fs"
"350","","2018","214612.5","aufwand","gdn_nw","CHF","fs"
"351","","2018","7903091.2","aufwand","gdn_nw","CHF","fs"
"352","","2018","","aufwand","gdn_nw","CHF","fs"
"3600","","2018","","aufwand","gdn_nw","CHF","fs"
"36010","","2018","","aufwand","gdn_nw","CHF","fs"
"36011","","2018","","aufwand","gdn_nw","CHF","fs"
"36012","","2018","","aufwand","gdn_nw","CHF","fs"
"36013","","2018","","aufwand","gdn_nw","CHF","fs"
"36014","","2018","","aufwand","gdn_nw","CHF","fs"
"36015","","2018","","aufwand","gdn_nw","CHF","fs"
"36016","","2018","","aufwand","gdn_nw","CHF","fs"
"36017","","2018","","aufwand","gdn_nw","CHF","fs"
"36018","","2018","","aufwand","gdn_nw","CHF","fs"
"36019","","2018","","aufwand","gdn_nw","CHF","fs"
"36021","","2018","","aufwand","gdn_nw","CHF","fs"
"36022","","2018","","aufwand","gdn_nw","CHF","fs"
"36023","","2018","","aufwand","gdn_nw","CHF","fs"
"36029","","2018","","aufwand","gdn_nw","CHF","fs"
"3603","","2018","","aufwand","gdn_nw","CHF","fs"
"3604","","2018","","aufwand","gdn_nw","CHF","fs"
"3610","","2018","","aufwand","gdn_nw","CHF","fs"
"3611","","2018","5920587.65","aufwand","gdn_nw","CHF","fs"
"3612","","2018","","aufwand","gdn_nw","CHF","fs"
"3613","","2018","","aufwand","gdn_nw","CHF","fs"
