"arten","funk","jahr","value","dim","unit"
"100","","2022","55692756.41","bilanz","CHF"
"101","","2022","28119982.11","bilanz","CHF"
"102","","2022","16562422.71","bilanz","CHF"
"104","","2022","1982240.81","bilanz","CHF"
"106","","2022","2973613.05","bilanz","CHF"
"107","","2022","5167732.25","bilanz","CHF"
"108","","2022","32283311.75","bilanz","CHF"
"109","","2022","","bilanz","CHF"
"140","","2022","310355648.76","bilanz","CHF"
"141","","2022","1","bilanz","CHF"
"142","","2022","491435.5","bilanz","CHF"
"143","","2022","","bilanz","CHF"
"144","","2022","1455002","bilanz","CHF"
"145","","2022","869134.61","bilanz","CHF"
"146","","2022","22726242.26","bilanz","CHF"
"147","","2022","","bilanz","CHF"
"148","","2022","","bilanz","CHF"
"200","","2022","28513448.31","bilanz","CHF"
"201","","2022","10891953.75","bilanz","CHF"
"204","","2022","3010204.03","bilanz","CHF"
"205","","2022","173618.94","bilanz","CHF"
"206","","2022","133260787.35","bilanz","CHF"
"207","","2022","","bilanz","CHF"
"208","","2022","745422.4","bilanz","CHF"
"209","","2022","914428.68","bilanz","CHF"
"290","","2022","57434317.69","bilanz","CHF"
"292","","2022","","bilanz","CHF"
"293","","2022","31819000","bilanz","CHF"
"294","","2022","111330506.16","bilanz","CHF"
"295","","2022","","bilanz","CHF"
"296","","2022","11972153.1","bilanz","CHF"
"298","","2022","","bilanz","CHF"
"299","","2022","88613682.81","bilanz","CHF"
"300","","2022","2860514.4","aufwand","CHF"
"301","","2022","26157706.87","aufwand","CHF"
"302","","2022","45088307.68","aufwand","CHF"
"303","","2022","532811.5","aufwand","CHF"
"304","","2022","505998.65","aufwand","CHF"
"305","","2022","12770142.2","aufwand","CHF"
"306","","2022","14880","aufwand","CHF"
"309","","2022","1335994.17","aufwand","CHF"
"310","","2022","4119191.19","aufwand","CHF"
"311","","2022","2369026.98","aufwand","CHF"
"312","","2022","2862426.76","aufwand","CHF"
"313","","2022","13935571.29","aufwand","CHF"
"314","","2022","8345509.03","aufwand","CHF"
"315","","2022","1683637.82","aufwand","CHF"
"316","","2022","944463.96","aufwand","CHF"
"317","","2022","1023859.81","aufwand","CHF"
"318","","2022","942651.33","aufwand","CHF"
"319","","2022","1910180.66","aufwand","CHF"
"320","","2022","","aufwand","CHF"
"331","","2022","","aufwand","CHF"
"337","","2022","29470537.95","aufwand","CHF"
"338","","2022","3781199.75","aufwand","CHF"
"340","","2022","736703.86","aufwand","CHF"
"341","","2022","18033","aufwand","CHF"
"342","","2022","","aufwand","CHF"
"343","","2022","572017.34","aufwand","CHF"
"344","","2022","114873.75","aufwand","CHF"
"349","","2022","17175.88","aufwand","CHF"
"350","","2022","95137.51","aufwand","CHF"
"351","","2022","3102171.13","aufwand","CHF"
"352","","2022","","aufwand","CHF"
"3600","","2022","","aufwand","CHF"
"36010","","2022","","aufwand","CHF"
"36011","","2022","","aufwand","CHF"
"36012","","2022","","aufwand","CHF"
"36013","","2022","","aufwand","CHF"
"36014","","2022","","aufwand","CHF"
"36015","","2022","","aufwand","CHF"
"36016","","2022","","aufwand","CHF"
"36017","","2022","","aufwand","CHF"
"36018","","2022","","aufwand","CHF"
"36019","","2022","","aufwand","CHF"
"36021","","2022","","aufwand","CHF"
"36022","","2022","","aufwand","CHF"
"36023","","2022","","aufwand","CHF"
"36029","","2022","","aufwand","CHF"
"3603","","2022","","aufwand","CHF"
"3604","","2022","","aufwand","CHF"
"3610","","2022","","aufwand","CHF"
"3611","","2022","6965406.96","aufwand","CHF"
"3612","","2022","","aufwand","CHF"
"3613","","2022","","aufwand","CHF"
"3614","","2022","","aufwand","CHF"
"3620","","2022","","aufwand","CHF"
"36211","","2022","","aufwand","CHF"
"36212","","2022","","aufwand","CHF"
"36213","","2022","","aufwand","CHF"
"36214","","2022","","aufwand","CHF"
"36215","","2022","","aufwand","CHF"
"36216","","2022","","aufwand","CHF"
"36217","","2022","","aufwand","CHF"
"36219","","2022","","aufwand","CHF"
"36221","","2022","","aufwand","CHF"
"36222","","2022","","aufwand","CHF"
"36223","","2022","","aufwand","CHF"
"36224","","2022","","aufwand","CHF"
"36225","","2022","","aufwand","CHF"
"36226","","2022","","aufwand","CHF"
"36227","","2022","","aufwand","CHF"
"36228","","2022","","aufwand","CHF"
"3624","","2022","","aufwand","CHF"
"3629","","2022","","aufwand","CHF"
"3630","","2022","","aufwand","CHF"
"3631","","2022","105318.18","aufwand","CHF"
"3632","","2022","","aufwand","CHF"
"3633","","2022","","aufwand","CHF"
"3634","","2022","524551.5","aufwand","CHF"
"3635","","2022","246816.7","aufwand","CHF"
"3636","","2022","4152473.51","aufwand","CHF"
"3637","","2022","3756864.95","aufwand","CHF"
"3638","","2022","2500","aufwand","CHF"
"3639","","2022","","aufwand","CHF"
"364","","2022","166000","aufwand","CHF"
"365","","2022","","aufwand","CHF"
"366","","2022","1248702.98","aufwand","CHF"
"369","","2022","","aufwand","CHF"
"380","","2022","","aufwand","CHF"
"381","","2022","1100.3","aufwand","CHF"
"383","","2022","","aufwand","CHF"
"384","","2022","","aufwand","CHF"
"3860","","2022","","aufwand","CHF"
"3861","","2022","","aufwand","CHF"
"3862","","2022","","aufwand","CHF"
"3863","","2022","","aufwand","CHF"
"3864","","2022","","aufwand","CHF"
"3865","","2022","","aufwand","CHF"
"3866","","2022","","aufwand","CHF"
"3867","","2022","23303.5","aufwand","CHF"
"3868","","2022","","aufwand","CHF"
"387","","2022","","aufwand","CHF"
"389","","2022","13510000","aufwand","CHF"
"4000","","2022","85327428","ertrag","CHF"
"4001","","2022","16831739.05","ertrag","CHF"
"4002","","2022","3083360.35","ertrag","CHF"
"4008","","2022","1316550","ertrag","CHF"
"4009","","2022","","ertrag","CHF"
"4010","","2022","17709322.15","ertrag","CHF"
"4011","","2022","1447720.6","ertrag","CHF"
"4012","","2022","","ertrag","CHF"
"4019","","2022","","ertrag","CHF"
"4020","","2022","","ertrag","CHF"
"4021","","2022","","ertrag","CHF"
"4022","","2022","","ertrag","CHF"
"4023","","2022","","ertrag","CHF"
"4024","","2022","","ertrag","CHF"
"4025","","2022","","ertrag","CHF"
"4030","","2022","","ertrag","CHF"
"4031","","2022","","ertrag","CHF"
"4032","","2022","","ertrag","CHF"
"4033","","2022","","ertrag","CHF"
"4039","","2022","","ertrag","CHF"
"4040","","2022","","ertrag","CHF"
"4041","","2022","","ertrag","CHF"
"4042","","2022","","ertrag","CHF"
"4043","","2022","","ertrag","CHF"
"4044","","2022","","ertrag","CHF"
"4045","","2022","","ertrag","CHF"
"4046","","2022","","ertrag","CHF"
"4047","","2022","","ertrag","CHF"
"4049","","2022","","ertrag","CHF"
"4050","","2022","","ertrag","CHF"
"4051","","2022","","ertrag","CHF"
"4052","","2022","","ertrag","CHF"
"4053","","2022","","ertrag","CHF"
"4059","","2022","","ertrag","CHF"
"4060","","2022","","ertrag","CHF"
"4070","","2022","","ertrag","CHF"
"4071","","2022","","ertrag","CHF"
"4072","","2022","","ertrag","CHF"
"4079","","2022","","ertrag","CHF"
"410","","2022","252","ertrag","CHF"
"411","","2022","","ertrag","CHF"
"412","","2022","108870.85","ertrag","CHF"
"413","","2022","","ertrag","CHF"
"420","","2022","1534742","ertrag","CHF"
"421","","2022","1057540.88","ertrag","CHF"
"422","","2022","","ertrag","CHF"
"423","","2022","1550400.75","ertrag","CHF"
"424","","2022","16079364.91","ertrag","CHF"
"425","","2022","434179.64","ertrag","CHF"
"426","","2022","2765256.88","ertrag","CHF"
"427","","2022","525480.01","ertrag","CHF"
"429","","2022","482317.58","ertrag","CHF"
"430","","2022","51863.27","ertrag","CHF"
"431","","2022","98275.65","ertrag","CHF"
"432","","2022","-4025","ertrag","CHF"
"439","","2022","48726.9","ertrag","CHF"
"440","","2022","304340.69","ertrag","CHF"
"441","","2022","355747.18","ertrag","CHF"
"442","","2022","","ertrag","CHF"
"443","","2022","1197918.8","ertrag","CHF"
"444","","2022","321976.25","ertrag","CHF"
"445","","2022","25000","ertrag","CHF"
"446","","2022","1737780","ertrag","CHF"
"447","","2022","1548942.2","ertrag","CHF"
"448","","2022","500","ertrag","CHF"
"449","","2022","","ertrag","CHF"
"450","","2022","48082","ertrag","CHF"
"451","","2022","4966054.11","ertrag","CHF"
"452","","2022","","ertrag","CHF"
"46000","","2022","","ertrag","CHF"
"46001","","2022","","ertrag","CHF"
"46002","","2022","","ertrag","CHF"
"46003","","2022","","ertrag","CHF"
"46004","","2022","","ertrag","CHF"
"46005","","2022","","ertrag","CHF"
"46006","","2022","","ertrag","CHF"
"46007","","2022","","ertrag","CHF"
"46008","","2022","","ertrag","CHF"
"46009","","2022","","ertrag","CHF"
"46010","","2022","6909869.85","ertrag","CHF"
"46011","","2022","","ertrag","CHF"
"46012","","2022","","ertrag","CHF"
"46019","","2022","","ertrag","CHF"
"4603","","2022","","ertrag","CHF"
"4604","","2022","","ertrag","CHF"
"4610","","2022","","ertrag","CHF"
"4611","","2022","3815309.75","ertrag","CHF"
"4612","","2022","","ertrag","CHF"
"4613","","2022","","ertrag","CHF"
"4614","","2022","","ertrag","CHF"
"46201","","2022","","ertrag","CHF"
"46202","","2022","","ertrag","CHF"
"46203","","2022","","ertrag","CHF"
"46204","","2022","","ertrag","CHF"
"46209","","2022","","ertrag","CHF"
"46211","","2022","","ertrag","CHF"
"46212","","2022","","ertrag","CHF"
"46213","","2022","","ertrag","CHF"
"46214","","2022","","ertrag","CHF"
"46215","","2022","","ertrag","CHF"
"46216","","2022","6756802","ertrag","CHF"
"46217","","2022","","ertrag","CHF"
"46225","","2022","","ertrag","CHF"
"46226","","2022","","ertrag","CHF"
"46227","","2022","","ertrag","CHF"
"46228","","2022","","ertrag","CHF"
"4624","","2022","","ertrag","CHF"
"4629","","2022","","ertrag","CHF"
"4630","","2022","","ertrag","CHF"
"4631","","2022","1381681.72","ertrag","CHF"
"4632","","2022","","ertrag","CHF"
"4633","","2022","","ertrag","CHF"
"4634","","2022","795846.75","ertrag","CHF"
"4635","","2022","8114.96","ertrag","CHF"
"4636","","2022","38370.55","ertrag","CHF"
"4637","","2022","","ertrag","CHF"
"4638","","2022","","ertrag","CHF"
"466","","2022","","ertrag","CHF"
"469","","2022","63393.5","ertrag","CHF"
"481","","2022","","ertrag","CHF"
"482","","2022","","ertrag","CHF"
"483","","2022","","ertrag","CHF"
"484","","2022","","ertrag","CHF"
"485","","2022","","ertrag","CHF"
"4860","","2022","","ertrag","CHF"
"4861","","2022","92153","ertrag","CHF"
"4862","","2022","","ertrag","CHF"
