"arten","funk","jahr","value","dim","unit"
"100","","2019","760375033.31","bilanz","CHF"
"101","","2019","647891488.83","bilanz","CHF"
"102","","2019","48524756.73","bilanz","CHF"
"104","","2019","58254500.71","bilanz","CHF"
"106","","2019","3535997.51","bilanz","CHF"
"107","","2019","257428464.92","bilanz","CHF"
"108","","2019","1331295097.77","bilanz","CHF"
"109","","2019","2972178.18","bilanz","CHF"
"140","","2019","2148872482.26","bilanz","CHF"
"141","","2019","","bilanz","CHF"
"142","","2019","11240122.1","bilanz","CHF"
"143","","2019","152000","bilanz","CHF"
"144","","2019","18731092.5","bilanz","CHF"
"145","","2019","366552767.17","bilanz","CHF"
"146","","2019","95189993.1","bilanz","CHF"
"147","","2019","","bilanz","CHF"
"148","","2019","","bilanz","CHF"
"200","","2019","764138978.55","bilanz","CHF"
"201","","2019","329994361.42","bilanz","CHF"
"204","","2019","85586352.04","bilanz","CHF"
"205","","2019","32607142.93","bilanz","CHF"
"206","","2019","1892969542.14","bilanz","CHF"
"207","","2019","","bilanz","CHF"
"208","","2019","58441980.48","bilanz","CHF"
"209","","2019","119653129.16","bilanz","CHF"
"290","","2019","568175262.24","bilanz","CHF"
"292","","2019","","bilanz","CHF"
"293","","2019","292586074.1","bilanz","CHF"
"294","","2019","481954709.77","bilanz","CHF"
"295","","2019","307650884.8","bilanz","CHF"
"296","","2019","12139736.23","bilanz","CHF"
"298","","2019","","bilanz","CHF"
"299","","2019","805117821.23","bilanz","CHF"
"300","","2019","25299259.33","aufwand","CHF"
"301","","2019","478331073.18","aufwand","CHF"
"302","","2019","533195789.38","aufwand","CHF"
"303","","2019","90353.9","aufwand","CHF"
"304","","2019","2691915.12","aufwand","CHF"
"305","","2019","192948270.33","aufwand","CHF"
"306","","2019","8306707.55","aufwand","CHF"
"309","","2019","18308680.71","aufwand","CHF"
"310","","2019","51940982.04","aufwand","CHF"
"311","","2019","37082602.32","aufwand","CHF"
"312","","2019","36614953.52","aufwand","CHF"
"313","","2019","259982768.36","aufwand","CHF"
"314","","2019","151205927.9","aufwand","CHF"
"315","","2019","24981726.09","aufwand","CHF"
"316","","2019","22118855.74","aufwand","CHF"
"317","","2019","22528866.6","aufwand","CHF"
"318","","2019","12757195.16","aufwand","CHF"
"319","","2019","7370376.36","aufwand","CHF"
"320","","2019","","aufwand","CHF"
"331","","2019","","aufwand","CHF"
"337","","2019","158850804.18","aufwand","CHF"
"338","","2019","4424869.1","aufwand","CHF"
"340","","2019","22447662.7","aufwand","CHF"
"341","","2019","132151.82","aufwand","CHF"
"342","","2019","50875.53","aufwand","CHF"
"343","","2019","13967840.19","aufwand","CHF"
"344","","2019","4189281.41","aufwand","CHF"
"349","","2019","391346.7","aufwand","CHF"
"350","","2019","515713.35","aufwand","CHF"
"351","","2019","19938134.59","aufwand","CHF"
"352","","2019","8089098.09","aufwand","CHF"
"3600","","2019","","aufwand","CHF"
"36010","","2019","","aufwand","CHF"
"36011","","2019","","aufwand","CHF"
"36012","","2019","","aufwand","CHF"
"36013","","2019","","aufwand","CHF"
"36014","","2019","","aufwand","CHF"
"36015","","2019","","aufwand","CHF"
"36016","","2019","","aufwand","CHF"
"36017","","2019","","aufwand","CHF"
"36018","","2019","","aufwand","CHF"
"36019","","2019","","aufwand","CHF"
"36021","","2019","","aufwand","CHF"
"36022","","2019","","aufwand","CHF"
