"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2018","158493128.73","bilanz","gdn_sh","CHF","fs"
"101","","2018","118921815.43","bilanz","gdn_sh","CHF","fs"
"102","","2018","1427206.67","bilanz","gdn_sh","CHF","fs"
"104","","2018","26031642.32","bilanz","gdn_sh","CHF","fs"
"106","","2018","363610","bilanz","gdn_sh","CHF","fs"
"107","","2018","7485083.97","bilanz","gdn_sh","CHF","fs"
"108","","2018","160546151.32","bilanz","gdn_sh","CHF","fs"
"109","","2018","410867.05","bilanz","gdn_sh","CHF","fs"
"140","","2018","273353776.65","bilanz","gdn_sh","CHF","fs"
"141","","2018","","bilanz","gdn_sh","CHF","fs"
"142","","2018","304533.4","bilanz","gdn_sh","CHF","fs"
"143","","2018","43107188.05","bilanz","gdn_sh","CHF","fs"
"144","","2018","","bilanz","gdn_sh","CHF","fs"
"145","","2018","","bilanz","gdn_sh","CHF","fs"
"146","","2018","5944507.6","bilanz","gdn_sh","CHF","fs"
"147","","2018","","bilanz","gdn_sh","CHF","fs"
"148","","2018","","bilanz","gdn_sh","CHF","fs"
"200","","2018","132612492.33","bilanz","gdn_sh","CHF","fs"
"201","","2018","54758765.86","bilanz","gdn_sh","CHF","fs"
"204","","2018","32529838.8","bilanz","gdn_sh","CHF","fs"
"205","","2018","","bilanz","gdn_sh","CHF","fs"
"206","","2018","292756506.56","bilanz","gdn_sh","CHF","fs"
"207","","2018","","bilanz","gdn_sh","CHF","fs"
"208","","2018","8720106.27","bilanz","gdn_sh","CHF","fs"
"209","","2018","114053292.11","bilanz","gdn_sh","CHF","fs"
"290","","2018","849451.97","bilanz","gdn_sh","CHF","fs"
"292","","2018","","bilanz","gdn_sh","CHF","fs"
"293","","2018","260000","bilanz","gdn_sh","CHF","fs"
"294","","2018","-2400000","bilanz","gdn_sh","CHF","fs"
"295","","2018","","bilanz","gdn_sh","CHF","fs"
"296","","2018","","bilanz","gdn_sh","CHF","fs"
"298","","2018","","bilanz","gdn_sh","CHF","fs"
"299","","2018","162249057.29","bilanz","gdn_sh","CHF","fs"
"empty","","2018","","er","gdn_sh","CHF","fs"
"empty","","2018","","er","gdn_sh","CHF","fs"
"empty","","2018","","er","gdn_sh","CHF","fs"
"empty","","2018","","er","gdn_sh","CHF","fs"
"300","","2018","3793807.74","aufwand","gdn_sh","CHF","fs"
"301","","2018","69837605.79","aufwand","gdn_sh","CHF","fs"
"302","","2018","45908682.3","aufwand","gdn_sh","CHF","fs"
"303","","2018","2687.7","aufwand","gdn_sh","CHF","fs"
"304","","2018","203462.54","aufwand","gdn_sh","CHF","fs"
"305","","2018","24661436.39","aufwand","gdn_sh","CHF","fs"
"306","","2018","1636834.4","aufwand","gdn_sh","CHF","fs"
"309","","2018","2534371.52","aufwand","gdn_sh","CHF","fs"
"310","","2018","11247416.31","aufwand","gdn_sh","CHF","fs"
"311","","2018","4439220.6","aufwand","gdn_sh","CHF","fs"
"312","","2018","13595214.79","aufwand","gdn_sh","CHF","fs"
"313","","2018","34438324.9","aufwand","gdn_sh","CHF","fs"
"314","","2018","17133707.9","aufwand","gdn_sh","CHF","fs"
"315","","2018","7947288.85","aufwand","gdn_sh","CHF","fs"
"316","","2018","3206239.09","aufwand","gdn_sh","CHF","fs"
"317","","2018","1456373.9","aufwand","gdn_sh","CHF","fs"
"318","","2018","2643486.67","aufwand","gdn_sh","CHF","fs"
"319","","2018","3011423.19","aufwand","gdn_sh","CHF","fs"
"320","","2018","","aufwand","gdn_sh","CHF","fs"
"331","","2018","","aufwand","gdn_sh","CHF","fs"
"337","","2018","37776222.54","aufwand","gdn_sh","CHF","fs"
"338","","2018","6697177.89","aufwand","gdn_sh","CHF","fs"
"340","","2018","4787998.63","aufwand","gdn_sh","CHF","fs"
"341","","2018","14777","aufwand","gdn_sh","CHF","fs"
"342","","2018","","aufwand","gdn_sh","CHF","fs"
"343","","2018","1909265.21","aufwand","gdn_sh","CHF","fs"
"344","","2018","1165850.95","aufwand","gdn_sh","CHF","fs"
"349","","2018","245975.19","aufwand","gdn_sh","CHF","fs"
