"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2015","281984302.54","bilanz","gdn_so","CHF","fs"
"101","","2015","308903553.21","bilanz","gdn_so","CHF","fs"
"102","","2015","10799171.19","bilanz","gdn_so","CHF","fs"
"104","","2015","97187791.3","bilanz","gdn_so","CHF","fs"
"106","","2015","391262.3","bilanz","gdn_so","CHF","fs"
"107","","2015","31104140.02","bilanz","gdn_so","CHF","fs"
"108","","2015","211186716.61","bilanz","gdn_so","CHF","fs"
"109","","2015","4278292.53","bilanz","gdn_so","CHF","fs"
"140","","2015","729085326.36","bilanz","gdn_so","CHF","fs"
"141","","2015","","bilanz","gdn_so","CHF","fs"
"142","","2015","6632970.79","bilanz","gdn_so","CHF","fs"
"143","","2015","3590832.28","bilanz","gdn_so","CHF","fs"
"144","","2015","6203372.9","bilanz","gdn_so","CHF","fs"
"145","","2015","45027341.73","bilanz","gdn_so","CHF","fs"
"146","","2015","51452316.07","bilanz","gdn_so","CHF","fs"
"147","","2015","","bilanz","gdn_so","CHF","fs"
"148","","2015","-3636911.29","bilanz","gdn_so","CHF","fs"
"200","","2015","187570197.68","bilanz","gdn_so","CHF","fs"
"201","","2015","19940645.49","bilanz","gdn_so","CHF","fs"
"204","","2015","71704388.89","bilanz","gdn_so","CHF","fs"
"205","","2015","","bilanz","gdn_so","CHF","fs"
"206","","2015","929389068.99","bilanz","gdn_so","CHF","fs"
"207","","2015","","bilanz","gdn_so","CHF","fs"
"208","","2015","2514299.89","bilanz","gdn_so","CHF","fs"
"209","","2015","270990465.89","bilanz","gdn_so","CHF","fs"
"290","","2015","7690441.31","bilanz","gdn_so","CHF","fs"
"292","","2015","","bilanz","gdn_so","CHF","fs"
"293","","2015","4378539.4","bilanz","gdn_so","CHF","fs"
"294","","2015","","bilanz","gdn_so","CHF","fs"
"295","","2015","478606.73","bilanz","gdn_so","CHF","fs"
"296","","2015","4277971.32","bilanz","gdn_so","CHF","fs"
"298","","2015","","bilanz","gdn_so","CHF","fs"
"299","","2015","285255852.94","bilanz","gdn_so","CHF","fs"
"empty","","2015","","er","gdn_so","CHF","fs"
"empty","","2015","","er","gdn_so","CHF","fs"
"empty","","2015","","er","gdn_so","CHF","fs"
"empty","","2015","","er","gdn_so","CHF","fs"
"300","","2015","13312395.41","aufwand","gdn_so","CHF","fs"
"301","","2015","173319834.04","aufwand","gdn_so","CHF","fs"
"302","","2015","255493219.41","aufwand","gdn_so","CHF","fs"
"303","","2015","31710.53","aufwand","gdn_so","CHF","fs"
"304","","2015","1638442.19","aufwand","gdn_so","CHF","fs"
"305","","2015","81775340.55","aufwand","gdn_so","CHF","fs"
"306","","2015","3286853.83","aufwand","gdn_so","CHF","fs"
"309","","2015","5436950.93","aufwand","gdn_so","CHF","fs"
"310","","2015","24074688.03","aufwand","gdn_so","CHF","fs"
"311","","2015","9810004.31999999","aufwand","gdn_so","CHF","fs"
"312","","2015","21766223.26","aufwand","gdn_so","CHF","fs"
"313","","2015","104351516.21","aufwand","gdn_so","CHF","fs"
"314","","2015","41004300.36","aufwand","gdn_so","CHF","fs"
"315","","2015","9730103.96","aufwand","gdn_so","CHF","fs"
"316","","2015","16797226.67","aufwand","gdn_so","CHF","fs"
"317","","2015","7124767.01","aufwand","gdn_so","CHF","fs"
"318","","2015","15915440","aufwand","gdn_so","CHF","fs"
"319","","2015","5981178.4","aufwand","gdn_so","CHF","fs"
"320","","2015","","aufwand","gdn_so","CHF","fs"
"331","","2015","","aufwand","gdn_so","CHF","fs"
"337","","2015","76473452.29","aufwand","gdn_so","CHF","fs"
"338","","2015","59844949.7","aufwand","gdn_so","CHF","fs"
"340","","2015","20442478.39","aufwand","gdn_so","CHF","fs"
"341","","2015","","aufwand","gdn_so","CHF","fs"
"342","","2015","","aufwand","gdn_so","CHF","fs"
"343","","2015","1290361.9","aufwand","gdn_so","CHF","fs"
"344","","2015","1301789.69","aufwand","gdn_so","CHF","fs"
"349","","2015","154857.78","aufwand","gdn_so","CHF","fs"
"350","","2015","","aufwand","gdn_so","CHF","fs"
"351","","2015","387933.24","aufwand","gdn_so","CHF","fs"
"352","","2015","24507536.6","aufwand","gdn_so","CHF","fs"
"3600","","2015","","aufwand","gdn_so","CHF","fs"
"36010","","2015","","aufwand","gdn_so","CHF","fs"
"36011","","2015","","aufwand","gdn_so","CHF","fs"
"36012","","2015","","aufwand","gdn_so","CHF","fs"
"36013","","2015","","aufwand","gdn_so","CHF","fs"
"36014","","2015","","aufwand","gdn_so","CHF","fs"
