"arten","funk","jahr","value","dim","unit"
"100","","2017","265040474.6","bilanz","CHF"
"101","","2017","192648000.35","bilanz","CHF"
"102","","2017","","bilanz","CHF"
"104","","2017","20497807.2","bilanz","CHF"
"106","","2017","227179.57","bilanz","CHF"
"107","","2017","27798186.09","bilanz","CHF"
"108","","2017","82074292.69","bilanz","CHF"
"109","","2017","14545221.81","bilanz","CHF"
"140","","2017","492965591.77","bilanz","CHF"
"141","","2017","348688.48","bilanz","CHF"
"142","","2017","","bilanz","CHF"
"143","","2017","35654698.78","bilanz","CHF"
"144","","2017","","bilanz","CHF"
"145","","2017","","bilanz","CHF"
"146","","2017","65627890.9","bilanz","CHF"
"147","","2017","","bilanz","CHF"
"148","","2017","","bilanz","CHF"
"200","","2017","199378168.46","bilanz","CHF"
"201","","2017","32836844.54","bilanz","CHF"
"204","","2017","31640636.88","bilanz","CHF"
"205","","2017","","bilanz","CHF"
"206","","2017","411287182","bilanz","CHF"
"207","","2017","","bilanz","CHF"
"208","","2017","","bilanz","CHF"
"209","","2017","108633846.9","bilanz","CHF"
"290","","2017","","bilanz","CHF"
"292","","2017","","bilanz","CHF"
"293","","2017","","bilanz","CHF"
"294","","2017","","bilanz","CHF"
"295","","2017","","bilanz","CHF"
"296","","2017","","bilanz","CHF"
"298","","2017","","bilanz","CHF"
"299","","2017","413651353.46","bilanz","CHF"
"300","","2017","7191191.08","aufwand","CHF"
"301","","2017","97465054.05","aufwand","CHF"
"302","","2017","159602098.83","aufwand","CHF"
"303","","2017","372458","aufwand","CHF"
"304","","2017","415304.34","aufwand","CHF"
"305","","2017","49651052.16","aufwand","CHF"
"306","","2017","1348156.75","aufwand","CHF"
"309","","2017","3718714.36","aufwand","CHF"
"310","","2017","11973359.78","aufwand","CHF"
"311","","2017","9191572.18","aufwand","CHF"
"312","","2017","8909235.41","aufwand","CHF"
"313","","2017","57972486.42","aufwand","CHF"
"314","","2017","36409658.21","aufwand","CHF"
"315","","2017","12375106.78","aufwand","CHF"
"316","","2017","8714430.56","aufwand","CHF"
"317","","2017","3560163.93","aufwand","CHF"
"318","","2017","4127072.56","aufwand","CHF"
"319","","2017","3890057.13","aufwand","CHF"
"320","","2017","","aufwand","CHF"
"331","","2017","","aufwand","CHF"
"337","","2017","60311993.51","aufwand","CHF"
"338","","2017","6824466.35","aufwand","CHF"
"340","","2017","6446525.29","aufwand","CHF"
"341","","2017","1440.3","aufwand","CHF"
"342","","2017","","aufwand","CHF"
"343","","2017","614431.17","aufwand","CHF"
"344","","2017","486710","aufwand","CHF"
"349","","2017","1304836.34","aufwand","CHF"
"350","","2017","","aufwand","CHF"
"351","","2017","","aufwand","CHF"
"352","","2017","7294504.95","aufwand","CHF"
"3600","","2017","","aufwand","CHF"
"36010","","2017","","aufwand","CHF"
"36011","","2017","","aufwand","CHF"
"36012","","2017","","aufwand","CHF"
"36013","","2017","","aufwand","CHF"
"36014","","2017","","aufwand","CHF"
"36015","","2017","","aufwand","CHF"
"36016","","2017","","aufwand","CHF"
"36017","","2017","","aufwand","CHF"
"36018","","2017","","aufwand","CHF"
"36019","","2017","","aufwand","CHF"
"36021","","2017","","aufwand","CHF"
"36022","","2017","","aufwand","CHF"
"36023","","2017","","aufwand","CHF"
"36029","","2017","","aufwand","CHF"
"3603","","2017","","aufwand","CHF"
"3604","","2017","","aufwand","CHF"
"3610","","2017","","aufwand","CHF"
"3611","","2017","36521248.9","aufwand","CHF"
"3612","","2017","","aufwand","CHF"
"3613","","2017","","aufwand","CHF"
"3614","","2017","","aufwand","CHF"
"3620","","2017","","aufwand","CHF"
"36211","","2017","","aufwand","CHF"
"36212","","2017","","aufwand","CHF"
"36213","","2017","","aufwand","CHF"
"36214","","2017","","aufwand","CHF"
"36215","","2017","","aufwand","CHF"
"36216","","2017","","aufwand","CHF"
"36217","","2017","","aufwand","CHF"
"36219","","2017","","aufwand","CHF"
"36221","","2017","","aufwand","CHF"
"36222","","2017","","aufwand","CHF"
"36223","","2017","","aufwand","CHF"
"36224","","2017","","aufwand","CHF"
"36225","","2017","","aufwand","CHF"
"36226","","2017","","aufwand","CHF"
"36227","","2017","","aufwand","CHF"
"36228","","2017","","aufwand","CHF"
"3624","","2017","","aufwand","CHF"
"3629","","2017","","aufwand","CHF"
"3630","","2017","","aufwand","CHF"
"3631","","2017","48898968.75","aufwand","CHF"
"3632","","2017","","aufwand","CHF"
"3633","","2017","","aufwand","CHF"
"3634","","2017","3213892.15","aufwand","CHF"
"3635","","2017","3981246.89","aufwand","CHF"
"3636","","2017","23249266.04","aufwand","CHF"
"3637","","2017","54564522.27","aufwand","CHF"
"3638","","2017","","aufwand","CHF"
"3639","","2017","95443.8","aufwand","CHF"
"364","","2017","","aufwand","CHF"
"365","","2017","","aufwand","CHF"
"366","","2017","","aufwand","CHF"
"369","","2017","","aufwand","CHF"
"380","","2017","","aufwand","CHF"
"381","","2017","","aufwand","CHF"
"383","","2017","","aufwand","CHF"
"384","","2017","","aufwand","CHF"
"3860","","2017","","aufwand","CHF"
"3861","","2017","","aufwand","CHF"
"3862","","2017","","aufwand","CHF"
"3863","","2017","","aufwand","CHF"
"3864","","2017","","aufwand","CHF"
"3865","","2017","","aufwand","CHF"
"3866","","2017","","aufwand","CHF"
"3867","","2017","","aufwand","CHF"
"3868","","2017","","aufwand","CHF"
"387","","2017","","aufwand","CHF"
"389","","2017","","aufwand","CHF"
"4000","","2017","367423639.85","ertrag","CHF"
"4001","","2017","51215812.15","ertrag","CHF"
"4002","","2017","16540402","ertrag","CHF"
"4008","","2017","","ertrag","CHF"
"4009","","2017","","ertrag","CHF"
"4010","","2017","33915516.18","ertrag","CHF"
"4011","","2017","15777547.82","ertrag","CHF"
"4012","","2017","","ertrag","CHF"
"4019","","2017","","ertrag","CHF"
"4020","","2017","","ertrag","CHF"
"4021","","2017","","ertrag","CHF"
"4022","","2017","","ertrag","CHF"
"4023","","2017","","ertrag","CHF"
"4024","","2017","","ertrag","CHF"
"4025","","2017","","ertrag","CHF"
"4030","","2017","","ertrag","CHF"
"4031","","2017","","ertrag","CHF"
"4032","","2017","","ertrag","CHF"
"4033","","2017","686252","ertrag","CHF"
"4039","","2017","","ertrag","CHF"
"4040","","2017","","ertrag","CHF"
"4041","","2017","","ertrag","CHF"
"4042","","2017","","ertrag","CHF"
"4043","","2017","","ertrag","CHF"
"4044","","2017","","ertrag","CHF"
"4045","","2017","","ertrag","CHF"
"4046","","2017","","ertrag","CHF"
"4047","","2017","","ertrag","CHF"
"4049","","2017","","ertrag","CHF"
"4050","","2017","","ertrag","CHF"
"4051","","2017","","ertrag","CHF"
"4052","","2017","","ertrag","CHF"
"4053","","2017","","ertrag","CHF"
"4059","","2017","","ertrag","CHF"
"4060","","2017","","ertrag","CHF"
"4070","","2017","","ertrag","CHF"
"4071","","2017","","ertrag","CHF"
"4072","","2017","","ertrag","CHF"
"4079","","2017","","ertrag","CHF"
"410","","2017","","ertrag","CHF"
"411","","2017","","ertrag","CHF"
"412","","2017","8405391.11","ertrag","CHF"
"413","","2017","","ertrag","CHF"
"420","","2017","9337002.98","ertrag","CHF"
"421","","2017","29322555.89","ertrag","CHF"
"422","","2017","","ertrag","CHF"
"423","","2017","3792481.49","ertrag","CHF"
"424","","2017","40959206.05","ertrag","CHF"
"425","","2017","1229433.85","ertrag","CHF"
"426","","2017","30251584.22","ertrag","CHF"
"427","","2017","3833858","ertrag","CHF"
"429","","2017","","ertrag","CHF"
"430","","2017","","ertrag","CHF"
"431","","2017","23905.6","ertrag","CHF"
"432","","2017","","ertrag","CHF"
"439","","2017","659394.8","ertrag","CHF"
"440","","2017","2246033.32","ertrag","CHF"
"441","","2017","11744005.56","ertrag","CHF"
"442","","2017","12","ertrag","CHF"
"443","","2017","2850805.14","ertrag","CHF"
"444","","2017","","ertrag","CHF"
"445","","2017","8237.5","ertrag","CHF"
"446","","2017","4653276.02","ertrag","CHF"
"447","","2017","10398544.95","ertrag","CHF"
"448","","2017","","ertrag","CHF"
"449","","2017","","ertrag","CHF"
"450","","2017","","ertrag","CHF"
"451","","2017","","ertrag","CHF"
"452","","2017","6647066.79","ertrag","CHF"
"46000","","2017","","ertrag","CHF"
"46001","","2017","","ertrag","CHF"
"46002","","2017","","ertrag","CHF"
"46003","","2017","","ertrag","CHF"
"46004","","2017","","ertrag","CHF"
"46005","","2017","","ertrag","CHF"
"46006","","2017","","ertrag","CHF"
"46007","","2017","","ertrag","CHF"
"46008","","2017","","ertrag","CHF"
"46009","","2017","","ertrag","CHF"
"46010","","2017","244194","ertrag","CHF"
"46011","","2017","","ertrag","CHF"
"46012","","2017","1379417.4","ertrag","CHF"
"46019","","2017","","ertrag","CHF"
"4603","","2017","","ertrag","CHF"
