"arten","funk","jahr","value","dim","unit"
"100","","2017","439654070.23","bilanz","CHF"
"101","","2017","904046476.2","bilanz","CHF"
"102","","2017","10433491.28","bilanz","CHF"
"104","","2017","48681470.58","bilanz","CHF"
"106","","2017","770341.6","bilanz","CHF"
"107","","2017","67155073.45","bilanz","CHF"
"108","","2017","290441794.04","bilanz","CHF"
"109","","2017","","bilanz","CHF"
"140","","2017","1489585452.01","bilanz","CHF"
"141","","2017","1","bilanz","CHF"
"142","","2017","4131713.5","bilanz","CHF"
"143","","2017","481654023.58","bilanz","CHF"
"144","","2017","","bilanz","CHF"
"145","","2017","","bilanz","CHF"
"146","","2017","240924565.17","bilanz","CHF"
"147","","2017","","bilanz","CHF"
"148","","2017","","bilanz","CHF"
"200","","2017","286388387.55","bilanz","CHF"
"201","","2017","126943674.95","bilanz","CHF"
"204","","2017","66284297.47","bilanz","CHF"
"205","","2017","","bilanz","CHF"
"206","","2017","2586385282.13","bilanz","CHF"
"207","","2017","","bilanz","CHF"
"208","","2017","82960525.62","bilanz","CHF"
"209","","2017","105867151.53","bilanz","CHF"
"290","","2017","17257.08","bilanz","CHF"
"292","","2017","","bilanz","CHF"
"293","","2017","56097207.24","bilanz","CHF"
"294","","2017","","bilanz","CHF"
"295","","2017","","bilanz","CHF"
"296","","2017","","bilanz","CHF"
"298","","2017","","bilanz","CHF"
"299","","2017","666534689.11","bilanz","CHF"
"300","","2017","11629966.39","aufwand","CHF"
"301","","2017","361679561.58","aufwand","CHF"
"302","","2017","123958542.12","aufwand","CHF"
"303","","2017","1381334.26","aufwand","CHF"
"304","","2017","1429868.91","aufwand","CHF"
"305","","2017","99417198.99","aufwand","CHF"
"306","","2017","2273571.4","aufwand","CHF"
"309","","2017","1706529.48","aufwand","CHF"
"310","","2017","28114116.45","aufwand","CHF"
"311","","2017","8171385.75","aufwand","CHF"
"312","","2017","36509540.59","aufwand","CHF"
"313","","2017","171514959.62","aufwand","CHF"
"314","","2017","64211161.37","aufwand","CHF"
"315","","2017","16503258.49","aufwand","CHF"
"316","","2017","14390834.4","aufwand","CHF"
"317","","2017","3854506.22","aufwand","CHF"
"318","","2017","21588888.75","aufwand","CHF"
"319","","2017","10453739.27","aufwand","CHF"
"320","","2017","","aufwand","CHF"
"331","","2017","","aufwand","CHF"
"337","","2017","175144885.96","aufwand","CHF"
"338","","2017","25214384.92","aufwand","CHF"
"340","","2017","36146805.71","aufwand","CHF"
"341","","2017","2106646.14","aufwand","CHF"
"342","","2017","","aufwand","CHF"
"343","","2017","942766.33","aufwand","CHF"
"344","","2017","3552481.33","aufwand","CHF"
"349","","2017","527937.01","aufwand","CHF"
"350","","2017","","aufwand","CHF"
"351","","2017","","aufwand","CHF"
"352","","2017","3573811.36","aufwand","CHF"
