"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","403811780.66","bilanz","gdn_ti","CHF","fs"
"101","","2021","828398061.95","bilanz","gdn_ti","CHF","fs"
"102","","2021","5856035.9","bilanz","gdn_ti","CHF","fs"
"104","","2021","97575500.23","bilanz","gdn_ti","CHF","fs"
"106","","2021","1245200.09","bilanz","gdn_ti","CHF","fs"
"107","","2021","74372628.44","bilanz","gdn_ti","CHF","fs"
"108","","2021","345031463.64","bilanz","gdn_ti","CHF","fs"
"109","","2021","36225218.9","bilanz","gdn_ti","CHF","fs"
"140","","2021","1874391613.82","bilanz","gdn_ti","CHF","fs"
"141","","2021","215875.17","bilanz","gdn_ti","CHF","fs"
"142","","2021","33514894.25","bilanz","gdn_ti","CHF","fs"
"143","","2021","410477171.36","bilanz","gdn_ti","CHF","fs"
"144","","2021","8517187.45","bilanz","gdn_ti","CHF","fs"
"145","","2021","124636901.42","bilanz","gdn_ti","CHF","fs"
"146","","2021","244361976.33","bilanz","gdn_ti","CHF","fs"
"147","","2021","","bilanz","gdn_ti","CHF","fs"
"148","","2021","","bilanz","gdn_ti","CHF","fs"
"200","","2021","289167670.43","bilanz","gdn_ti","CHF","fs"
"201","","2021","217160065.19","bilanz","gdn_ti","CHF","fs"
"204","","2021","80248907.58","bilanz","gdn_ti","CHF","fs"
"205","","2021","4000715.87","bilanz","gdn_ti","CHF","fs"
"206","","2021","2786165434.56","bilanz","gdn_ti","CHF","fs"
"207","","2021","","bilanz","gdn_ti","CHF","fs"
"208","","2021","146215302.35","bilanz","gdn_ti","CHF","fs"
"209","","2021","113973593.41","bilanz","gdn_ti","CHF","fs"
"290","","2021","12205669.56","bilanz","gdn_ti","CHF","fs"
"292","","2021","-2906828.05","bilanz","gdn_ti","CHF","fs"
"293","","2021","40061172.37","bilanz","gdn_ti","CHF","fs"
"294","","2021","","bilanz","gdn_ti","CHF","fs"
"295","","2021","","bilanz","gdn_ti","CHF","fs"
"296","","2021","","bilanz","gdn_ti","CHF","fs"
"298","","2021","","bilanz","gdn_ti","CHF","fs"
"299","","2021","802339806.34","bilanz","gdn_ti","CHF","fs"
"empty","","2021","","er","gdn_ti","CHF","fs"
"empty","","2021","","er","gdn_ti","CHF","fs"
"empty","","2021","","er","gdn_ti","CHF","fs"
"empty","","2021","","er","gdn_ti","CHF","fs"
