"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2015","32121792.05","bilanz","gdn_ur","CHF","fs"
"101","","2015","25742441.51","bilanz","gdn_ur","CHF","fs"
"102","","2015","826131.9","bilanz","gdn_ur","CHF","fs"
"104","","2015","2402941.6","bilanz","gdn_ur","CHF","fs"
"106","","2015","156707.15","bilanz","gdn_ur","CHF","fs"
"107","","2015","5951299.11","bilanz","gdn_ur","CHF","fs"
"108","","2015","31491240.35","bilanz","gdn_ur","CHF","fs"
"109","","2015","","bilanz","gdn_ur","CHF","fs"
"140","","2015","42841831.38","bilanz","gdn_ur","CHF","fs"
"141","","2015","","bilanz","gdn_ur","CHF","fs"
"142","","2015","54465.7","bilanz","gdn_ur","CHF","fs"
"143","","2015","","bilanz","gdn_ur","CHF","fs"
"144","","2015","271001","bilanz","gdn_ur","CHF","fs"
"145","","2015","13474966.5","bilanz","gdn_ur","CHF","fs"
"146","","2015","186926.55","bilanz","gdn_ur","CHF","fs"
"147","","2015","","bilanz","gdn_ur","CHF","fs"
"148","","2015","","bilanz","gdn_ur","CHF","fs"
"200","","2015","26483236.95","bilanz","gdn_ur","CHF","fs"
"201","","2015","2122886.44","bilanz","gdn_ur","CHF","fs"
"204","","2015","2700091.65","bilanz","gdn_ur","CHF","fs"
"205","","2015","88500","bilanz","gdn_ur","CHF","fs"
"206","","2015","50956403.35","bilanz","gdn_ur","CHF","fs"
"207","","2015","","bilanz","gdn_ur","CHF","fs"
"208","","2015","1226136.05","bilanz","gdn_ur","CHF","fs"
"209","","2015","3534686.26","bilanz","gdn_ur","CHF","fs"
"290","","2015","8565929.17","bilanz","gdn_ur","CHF","fs"
"292","","2015","","bilanz","gdn_ur","CHF","fs"
"293","","2015","14085100.76","bilanz","gdn_ur","CHF","fs"
"294","","2015","9e+05","bilanz","gdn_ur","CHF","fs"
"295","","2015","","bilanz","gdn_ur","CHF","fs"
"296","","2015","","bilanz","gdn_ur","CHF","fs"
"298","","2015","","bilanz","gdn_ur","CHF","fs"
"299","","2015","44858774.17","bilanz","gdn_ur","CHF","fs"
"empty","","2015","","er","gdn_ur","CHF","fs"
"empty","","2015","","er","gdn_ur","CHF","fs"
"empty","","2015","","er","gdn_ur","CHF","fs"
"empty","","2015","","er","gdn_ur","CHF","fs"
"300","","2015","1852949.05","aufwand","gdn_ur","CHF","fs"
"301","","2015","16552242.87","aufwand","gdn_ur","CHF","fs"
"302","","2015","36446579.6","aufwand","gdn_ur","CHF","fs"
"303","","2015","","aufwand","gdn_ur","CHF","fs"
"304","","2015","44085","aufwand","gdn_ur","CHF","fs"
"305","","2015","10293882.5","aufwand","gdn_ur","CHF","fs"
"306","","2015","530210.9","aufwand","gdn_ur","CHF","fs"
"309","","2015","327553.82","aufwand","gdn_ur","CHF","fs"
"310","","2015","2566469.68","aufwand","gdn_ur","CHF","fs"
"311","","2015","1886011.72","aufwand","gdn_ur","CHF","fs"
"312","","2015","2134456.77","aufwand","gdn_ur","CHF","fs"
"313","","2015","7766276.73","aufwand","gdn_ur","CHF","fs"
"314","","2015","4378835.96","aufwand","gdn_ur","CHF","fs"
"315","","2015","1332743.88","aufwand","gdn_ur","CHF","fs"
"316","","2015","381355.1","aufwand","gdn_ur","CHF","fs"
"317","","2015","322554.01","aufwand","gdn_ur","CHF","fs"
"318","","2015","293564.08","aufwand","gdn_ur","CHF","fs"
"319","","2015","892243.13","aufwand","gdn_ur","CHF","fs"
"320","","2015","","aufwand","gdn_ur","CHF","fs"
"331","","2015","","aufwand","gdn_ur","CHF","fs"
"337","","2015","4251751.51","aufwand","gdn_ur","CHF","fs"
"338","","2015","","aufwand","gdn_ur","CHF","fs"
"340","","2015","566383.1","aufwand","gdn_ur","CHF","fs"
"341","","2015","","aufwand","gdn_ur","CHF","fs"
"342","","2015","108","aufwand","gdn_ur","CHF","fs"
"343","","2015","250007.19","aufwand","gdn_ur","CHF","fs"
"344","","2015","17942.2","aufwand","gdn_ur","CHF","fs"
"349","","2015","187571.33","aufwand","gdn_ur","CHF","fs"
"350","","2015","66584.3","aufwand","gdn_ur","CHF","fs"
"351","","2015","242663.3","aufwand","gdn_ur","CHF","fs"
"352","","2015","","aufwand","gdn_ur","CHF","fs"
"3600","","2015","","aufwand","gdn_ur","CHF","fs"
"36010","","2015","","aufwand","gdn_ur","CHF","fs"
"36011","","2015","","aufwand","gdn_ur","CHF","fs"
"36012","","2015","","aufwand","gdn_ur","CHF","fs"
"36013","","2015","","aufwand","gdn_ur","CHF","fs"
"36014","","2015","","aufwand","gdn_ur","CHF","fs"
"36015","","2015","","aufwand","gdn_ur","CHF","fs"
"36016","","2015","","aufwand","gdn_ur","CHF","fs"
"36017","","2015","","aufwand","gdn_ur","CHF","fs"
"36018","","2015","","aufwand","gdn_ur","CHF","fs"
"36019","","2015","","aufwand","gdn_ur","CHF","fs"
"36021","","2015","","aufwand","gdn_ur","CHF","fs"
"36022","","2015","","aufwand","gdn_ur","CHF","fs"
"36023","","2015","","aufwand","gdn_ur","CHF","fs"
"36029","","2015","","aufwand","gdn_ur","CHF","fs"
"3603","","2015","","aufwand","gdn_ur","CHF","fs"
"3604","","2015","","aufwand","gdn_ur","CHF","fs"
"3610","","2015","","aufwand","gdn_ur","CHF","fs"
"3611","","2015","1156568","aufwand","gdn_ur","CHF","fs"
"3612","","2015","","aufwand","gdn_ur","CHF","fs"
"3613","","2015","","aufwand","gdn_ur","CHF","fs"
"3614","","2015","","aufwand","gdn_ur","CHF","fs"
"3620","","2015","","aufwand","gdn_ur","CHF","fs"
"36211","","2015","","aufwand","gdn_ur","CHF","fs"
"36212","","2015","","aufwand","gdn_ur","CHF","fs"
"36213","","2015","","aufwand","gdn_ur","CHF","fs"
"36214","","2015","","aufwand","gdn_ur","CHF","fs"
"36215","","2015","","aufwand","gdn_ur","CHF","fs"
"36216","","2015","","aufwand","gdn_ur","CHF","fs"
"36217","","2015","","aufwand","gdn_ur","CHF","fs"
"36219","","2015","","aufwand","gdn_ur","CHF","fs"
