"arten","funk","jahr","value","dim","unit"
"100","","2015","781279065.53","bilanz","CHF"
"101","","2015","1185582406.5","bilanz","CHF"
"102","","2015","","bilanz","CHF"
"104","","2015","265261611.41","bilanz","CHF"
"106","","2015","4.52","bilanz","CHF"
"107","","2015","205501141.93","bilanz","CHF"
"108","","2015","1483521627.48","bilanz","CHF"
"109","","2015","4919647.51","bilanz","CHF"
"140","","2015","3855996596.95","bilanz","CHF"
"141","","2015","11898019.64","bilanz","CHF"
"142","","2015","1557717.36","bilanz","CHF"
"143","","2015","208243128.13","bilanz","CHF"
"144","","2015","689924.55","bilanz","CHF"
"145","","2015","","bilanz","CHF"
"146","","2015","43834357.23","bilanz","CHF"
"147","","2015","","bilanz","CHF"
"148","","2015","","bilanz","CHF"
"200","","2015","471302127.4","bilanz","CHF"
"201","","2015","602151138.15","bilanz","CHF"
"204","","2015","300509241.8","bilanz","CHF"
"205","","2015","","bilanz","CHF"
"206","","2015","4963808208.75","bilanz","CHF"
"207","","2015","","bilanz","CHF"
"208","","2015","141418566.65","bilanz","CHF"
"209","","2015","1001508269.27","bilanz","CHF"
"290","","2015","","bilanz","CHF"
"292","","2015","","bilanz","CHF"
"293","","2015","1214515040.06","bilanz","CHF"
"294","","2015","","bilanz","CHF"
"295","","2015","","bilanz","CHF"
"296","","2015","","bilanz","CHF"
"298","","2015","","bilanz","CHF"
"299","","2015","-646927343.33","bilanz","CHF"
"300","","2015","39055556.03","aufwand","CHF"
"301","","2015","979796598.53","aufwand","CHF"
"302","","2015","2004359.24","aufwand","CHF"
"303","","2015","4601162.13","aufwand","CHF"
"304","","2015","13157713.37","aufwand","CHF"
"305","","2015","227573158.27","aufwand","CHF"
"306","","2015","4133114.68","aufwand","CHF"
"309","","2015","13902827.63","aufwand","CHF"
"310","","2015","65517434.65","aufwand","CHF"
"311","","2015","44861956.84","aufwand","CHF"
"312","","2015","97287599.22","aufwand","CHF"
"313","","2015","385934374.06","aufwand","CHF"
"314","","2015","190597761.08","aufwand","CHF"
"315","","2015","34075691.49","aufwand","CHF"
"316","","2015","120663732.35","aufwand","CHF"
"317","","2015","17420286.09","aufwand","CHF"
"318","","2015","49173577.11","aufwand","CHF"
"319","","2015","37989235.49","aufwand","CHF"
"320","","2015","","aufwand","CHF"
"331","","2015","","aufwand","CHF"
"337","","2015","284404040.31","aufwand","CHF"
"338","","2015","55611558.74","aufwand","CHF"
"340","","2015","94987273.66","aufwand","CHF"
"341","","2015","507301.89","aufwand","CHF"
"342","","2015","","aufwand","CHF"
"343","","2015","16742623.24","aufwand","CHF"
"344","","2015","23608270.54","aufwand","CHF"
"349","","2015","984845.54","aufwand","CHF"
"350","","2015","","aufwand","CHF"
"351","","2015","","aufwand","CHF"
"352","","2015","219144202.35","aufwand","CHF"
"3600","","2015","","aufwand","CHF"
"36010","","2015","","aufwand","CHF"
"36011","","2015","","aufwand","CHF"
