"arten","funk","jahr","value","dim","unit"
"100","","2015","168765231.43","bilanz","CHF"
"101","","2015","76621232.97","bilanz","CHF"
"102","","2015","30107920.05","bilanz","CHF"
"104","","2015","24722012.57","bilanz","CHF"
"106","","2015","84480.62","bilanz","CHF"
"107","","2015","161962351","bilanz","CHF"
"108","","2015","308401192.4","bilanz","CHF"
"109","","2015","52797.2","bilanz","CHF"
"140","","2015","506893272.98","bilanz","CHF"
"141","","2015","","bilanz","CHF"
"142","","2015","654586.96","bilanz","CHF"
"143","","2015","","bilanz","CHF"
"144","","2015","6997600.9","bilanz","CHF"
"145","","2015","15615460","bilanz","CHF"
"146","","2015","10057287.98","bilanz","CHF"
"147","","2015","","bilanz","CHF"
"148","","2015","","bilanz","CHF"
"200","","2015","89679946.96","bilanz","CHF"
"201","","2015","74653124.5","bilanz","CHF"
"204","","2015","39417968.81","bilanz","CHF"
"205","","2015","11690548.74","bilanz","CHF"
"206","","2015","150478540","bilanz","CHF"
"207","","2015","","bilanz","CHF"
"208","","2015","52858766.06","bilanz","CHF"
"209","","2015","3589664.64","bilanz","CHF"
"290","","2015","39225155.98","bilanz","CHF"
"292","","2015","","bilanz","CHF"
"293","","2015","25681420.7","bilanz","CHF"
"294","","2015","185205168.77","bilanz","CHF"
"295","","2015","","bilanz","CHF"
"296","","2015","179267252.38","bilanz","CHF"
"298","","2015","","bilanz","CHF"
"299","","2015","459187869.52","bilanz","CHF"
"300","","2015","6681748.5","aufwand","CHF"
"301","","2015","111706188.21","aufwand","CHF"
"302","","2015","151081111.5","aufwand","CHF"
"303","","2015","576859","aufwand","CHF"
"304","","2015","145476.5","aufwand","CHF"
"305","","2015","54501506.51","aufwand","CHF"
"306","","2015","2822017.9","aufwand","CHF"
"309","","2015","4901363.43","aufwand","CHF"
"310","","2015","14916129.77","aufwand","CHF"
"311","","2015","8121909.05","aufwand","CHF"
"312","","2015","9492664.43","aufwand","CHF"
"313","","2015","53509335.38","aufwand","CHF"
"314","","2015","28174878.53","aufwand","CHF"
"315","","2015","6282863.06","aufwand","CHF"
"316","","2015","4447717.06","aufwand","CHF"
"317","","2015","4180588.33","aufwand","CHF"
"318","","2015","862851.75","aufwand","CHF"
"319","","2015","5905806.34","aufwand","CHF"
"320","","2015","","aufwand","CHF"
"331","","2015","","aufwand","CHF"
"337","","2015","44450069","aufwand","CHF"
"338","","2015","","aufwand","CHF"
"340","","2015","2589942.21","aufwand","CHF"
"341","","2015","666.51","aufwand","CHF"
"342","","2015","10000","aufwand","CHF"
"343","","2015","1415838.15","aufwand","CHF"
"344","","2015","","aufwand","CHF"
"349","","2015","2845047.43","aufwand","CHF"
"350","","2015","1223.5","aufwand","CHF"
"351","","2015","1998290.17","aufwand","CHF"
"352","","2015","","aufwand","CHF"
"3600","","2015","","aufwand","CHF"
"36010","","2015","","aufwand","CHF"
"36011","","2015","","aufwand","CHF"
"36012","","2015","","aufwand","CHF"
"36013","","2015","","aufwand","CHF"
"36014","","2015","","aufwand","CHF"
"36015","","2015","","aufwand","CHF"
"36016","","2015","","aufwand","CHF"
