"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2022","147672513.68","bilanz","gdn_zg","CHF","fs"
"101","","2022","129091540.97","bilanz","gdn_zg","CHF","fs"
"102","","2022","98824146.7","bilanz","gdn_zg","CHF","fs"
"104","","2022","100329700.14","bilanz","gdn_zg","CHF","fs"
"106","","2022","53515.6","bilanz","gdn_zg","CHF","fs"
"107","","2022","467979003.32","bilanz","gdn_zg","CHF","fs"
"108","","2022","486337352.2","bilanz","gdn_zg","CHF","fs"
"109","","2022","55322.65","bilanz","gdn_zg","CHF","fs"
"140","","2022","878667502.78","bilanz","gdn_zg","CHF","fs"
"141","","2022","","bilanz","gdn_zg","CHF","fs"
"142","","2022","4130740.5","bilanz","gdn_zg","CHF","fs"
"143","","2022","","bilanz","gdn_zg","CHF","fs"
"144","","2022","6737302","bilanz","gdn_zg","CHF","fs"
"145","","2022","41044762.15","bilanz","gdn_zg","CHF","fs"
"146","","2022","5138440.51","bilanz","gdn_zg","CHF","fs"
"147","","2022","","bilanz","gdn_zg","CHF","fs"
"148","","2022","-40454205.21","bilanz","gdn_zg","CHF","fs"
"200","","2022","127488342.26","bilanz","gdn_zg","CHF","fs"
"201","","2022","69604214.32","bilanz","gdn_zg","CHF","fs"
"204","","2022","179220933.32","bilanz","gdn_zg","CHF","fs"
"205","","2022","10996147.51","bilanz","gdn_zg","CHF","fs"
"206","","2022","96749353.01","bilanz","gdn_zg","CHF","fs"
"207","","2022","","bilanz","gdn_zg","CHF","fs"
"208","","2022","21022946.41","bilanz","gdn_zg","CHF","fs"
"209","","2022","6067442.65","bilanz","gdn_zg","CHF","fs"
"290","","2022","33122774.86","bilanz","gdn_zg","CHF","fs"
"292","","2022","","bilanz","gdn_zg","CHF","fs"
"293","","2022","251303953.45","bilanz","gdn_zg","CHF","fs"
"294","","2022","275319101.48","bilanz","gdn_zg","CHF","fs"
"295","","2022","141566744.02","bilanz","gdn_zg","CHF","fs"
"296","","2022","25416072.45","bilanz","gdn_zg","CHF","fs"
"298","","2022","135961977.45","bilanz","gdn_zg","CHF","fs"
"299","","2022","951767634.8","bilanz","gdn_zg","CHF","fs"
"empty","","2022","","er","gdn_zg","CHF","fs"
"empty","","2022","","er","gdn_zg","CHF","fs"
"empty","","2022","","er","gdn_zg","CHF","fs"
"empty","","2022","","er","gdn_zg","CHF","fs"
"300","","2022","7178187.5","aufwand","gdn_zg","CHF","fs"
"301","","2022","127806406.82","aufwand","gdn_zg","CHF","fs"
"302","","2022","165055601.7","aufwand","gdn_zg","CHF","fs"
"303","","2022","649924.4","aufwand","gdn_zg","CHF","fs"
"304","","2022","134128.5","aufwand","gdn_zg","CHF","fs"
