"arten","funk","jahr","value","dim","unit"
"100","","2019","2533984281","bilanz","CHF"
"101","","2019","2582385470.84","bilanz","CHF"
"102","","2019","243681313.86","bilanz","CHF"
"104","","2019","1246849328.74","bilanz","CHF"
"106","","2019","134098613.83","bilanz","CHF"
"107","","2019","492368276.59","bilanz","CHF"
"108","","2019","5441773697.94","bilanz","CHF"
"109","","2019","2904341.43","bilanz","CHF"
"140","","2019","16637065870.07","bilanz","CHF"
"141","","2019","","bilanz","CHF"
"142","","2019","98857982.33","bilanz","CHF"
"143","","2019","","bilanz","CHF"
"144","","2019","384189698.5","bilanz","CHF"
"145","","2019","1116908978.22","bilanz","CHF"
"146","","2019","528247513.95","bilanz","CHF"
"147","","2019","","bilanz","CHF"
"148","","2019","","bilanz","CHF"
"200","","2019","4289075911.11","bilanz","CHF"
"201","","2019","1469296153.38","bilanz","CHF"
"204","","2019","315798297.82","bilanz","CHF"
"205","","2019","691842895.3","bilanz","CHF"
"206","","2019","7755359334.71","bilanz","CHF"
"207","","2019","","bilanz","CHF"
"208","","2019","1106687625.86","bilanz","CHF"
"209","","2019","313329925.29","bilanz","CHF"
"290","","2019","6170388521.43","bilanz","CHF"
"292","","2019","11638760.88","bilanz","CHF"
"293","","2019","30953967.06","bilanz","CHF"
"294","","2019","66105221","bilanz","CHF"
"295","","2019","23928965.34","bilanz","CHF"
"296","","2019","-18265949.2","bilanz","CHF"
"298","","2019","","bilanz","CHF"
"299","","2019","9217175737.32","bilanz","CHF"
"300","","2019","85662609.05","aufwand","CHF"
"301","","2019","2174558832.37","aufwand","CHF"
"302","","2019","398050310.94","aufwand","CHF"
"303","","2019","7058780.1","aufwand","CHF"
"304","","2019","41174058.41","aufwand","CHF"
"305","","2019","507498878.8","aufwand","CHF"
"306","","2019","5848483.29","aufwand","CHF"
"309","","2019","57318648.77","aufwand","CHF"
"310","","2019","299162901.4","aufwand","CHF"
"311","","2019","102650866.06","aufwand","CHF"
"312","","2019","153375065.1","aufwand","CHF"
"313","","2019","770780495.54","aufwand","CHF"
"314","","2019","357517350.8","aufwand","CHF"
"315","","2019","105022806.72","aufwand","CHF"
"316","","2019","132757547.66","aufwand","CHF"
"317","","2019","58298279.15","aufwand","CHF"
"318","","2019","48653125.48","aufwand","CHF"
"319","","2019","18787971.15","aufwand","CHF"
"320","","2019","","aufwand","CHF"
"331","","2019","","aufwand","CHF"
"337","","2019","1277453536.17","aufwand","CHF"
"338","","2019","11690076.39","aufwand","CHF"
"340","","2019","143179041.96","aufwand","CHF"
"341","","2019","6392601.99","aufwand","CHF"
"342","","2019","-717476.96","aufwand","CHF"
"343","","2019","63185806.25","aufwand","CHF"
"344","","2019","12383476.73","aufwand","CHF"
"349","","2019","21296083.5","aufwand","CHF"
"350","","2019","26592140.52","aufwand","CHF"
"351","","2019","163661325.24","aufwand","CHF"
"352","","2019","","aufwand","CHF"
"3600","","2019","","aufwand","CHF"
"36010","","2019","","aufwand","CHF"
"36011","","2019","","aufwand","CHF"
"36012","","2019","","aufwand","CHF"
"36013","","2019","","aufwand","CHF"
"36014","","2019","","aufwand","CHF"
"36015","","2019","","aufwand","CHF"
"36016","","2019","","aufwand","CHF"
"36017","","2019","","aufwand","CHF"
"36018","","2019","","aufwand","CHF"
"36019","","2019","","aufwand","CHF"
"36021","","2019","","aufwand","CHF"
"36022","","2019","","aufwand","CHF"
"36023","","2019","","aufwand","CHF"
"36029","","2019","","aufwand","CHF"
"3603","","2019","","aufwand","CHF"
"3604","","2019","","aufwand","CHF"
"3610","","2019","","aufwand","CHF"
"3611","","2019","1377678029.76","aufwand","CHF"
"3612","","2019","","aufwand","CHF"
"3613","","2019","","aufwand","CHF"
"3614","","2019","","aufwand","CHF"
