"arten","funk","jahr","value","dim","unit"
"100","","2017","7937759692.4","bilanz","CHF"
"101","","2017","22295965237.24","bilanz","CHF"
"102","","2017","1255891271.98","bilanz","CHF"
"104","","2017","8173245040.24","bilanz","CHF"
"106","","2017","198747696.97","bilanz","CHF"
"107","","2017","7757619196.5","bilanz","CHF"
"108","","2017","5680710205.61","bilanz","CHF"
"109","","2017","465594268.17","bilanz","CHF"
"140","","2017","42346052872.17","bilanz","CHF"
"141","","2017","1032231.45","bilanz","CHF"
"142","","2017","361075048.27","bilanz","CHF"
"143","","2017","1061699173.7","bilanz","CHF"
"144","","2017","5061208609.72","bilanz","CHF"
"145","","2017","10501700830.98","bilanz","CHF"
"146","","2017","7719357857.77","bilanz","CHF"
"147","","2017","","bilanz","CHF"
"148","","2017","-55437633.69","bilanz","CHF"
"200","","2017","15934682010.11","bilanz","CHF"
"201","","2017","8078312351.29","bilanz","CHF"
"204","","2017","10260060359.59","bilanz","CHF"
"205","","2017","1213811085.16","bilanz","CHF"
"206","","2017","42666922974.98","bilanz","CHF"
"207","","2017","","bilanz","CHF"
"208","","2017","4831025179.3","bilanz","CHF"
"209","","2017","4129375891.79","bilanz","CHF"
"290","","2017","4932787672.16","bilanz","CHF"
"292","","2017","222599948.37","bilanz","CHF"
"293","","2017","1885617031.99","bilanz","CHF"
"294","","2017","2340173213.74","bilanz","CHF"
"295","","2017","3779653319.56","bilanz","CHF"
"296","","2017","1652025558.62","bilanz","CHF"
"298","","2017","1277963076.02","bilanz","CHF"
"299","","2017","17557211926.8","bilanz","CHF"
"300","","2017","388120522.59","aufwand","CHF"
"301","","2017","11004756928.24","aufwand","CHF"
"302","","2017","11694852733.26","aufwand","CHF"
"303","","2017","111751760.52","aufwand","CHF"
"304","","2017","198674157.64","aufwand","CHF"
"305","","2017","4638375264.67","aufwand","CHF"
"306","","2017","85928299.13","aufwand","CHF"
"309","","2017","225413705.86","aufwand","CHF"
"310","","2017","945873721.06","aufwand","CHF"
"311","","2017","438854044.2","aufwand","CHF"
"312","","2017","339156744.67","aufwand","CHF"
"313","","2017","3300956113.66","aufwand","CHF"
"314","","2017","1150591588.73","aufwand","CHF"
"315","","2017","492936026.4","aufwand","CHF"
"316","","2017","1058727633.52","aufwand","CHF"
"317","","2017","248759609.7","aufwand","CHF"
"318","","2017","815839471.61","aufwand","CHF"
"319","","2017","582668856.04","aufwand","CHF"
"320","","2017","","aufwand","CHF"
"331","","2017","","aufwand","CHF"
"337","","2017","2906158665.43","aufwand","CHF"
"338","","2017","566928511.18","aufwand","CHF"
"340","","2017","689891887.62","aufwand","CHF"
"341","","2017","27603600.11","aufwand","CHF"
"342","","2017","16350445.7","aufwand","CHF"
"343","","2017","72876991.7","aufwand","CHF"
"344","","2017","103986629.28","aufwand","CHF"
"349","","2017","76002587.7","aufwand","CHF"
"350","","2017","270202769.09","aufwand","CHF"
"351","","2017","267534223.24","aufwand","CHF"
"352","","2017","283910854.11","aufwand","CHF"
"3600","","2017","","aufwand","CHF"
"36010","","2017","","aufwand","CHF"
"36011","","2017","","aufwand","CHF"
"36012","","2017","","aufwand","CHF"
"36013","","2017","","aufwand","CHF"
"36014","","2017","","aufwand","CHF"
"36015","","2017","","aufwand","CHF"
"36016","","2017","","aufwand","CHF"
"36017","","2017","","aufwand","CHF"
"36018","","2017","","aufwand","CHF"
"36019","","2017","","aufwand","CHF"
"36021","","2017","731510113.07","aufwand","CHF"
"36022","","2017","1122583.9","aufwand","CHF"
"36023","","2017","6940291.32","aufwand","CHF"
"36029","","2017","14588664.22","aufwand","CHF"
"3603","","2017","","aufwand","CHF"
"3604","","2017","170450","aufwand","CHF"
"3610","","2017","","aufwand","CHF"
"3611","","2017","","aufwand","CHF"
"3612","","2017","800669334.95","aufwand","CHF"
"3613","","2017","47873.9","aufwand","CHF"
"3614","","2017","638606249.76","aufwand","CHF"
"3620","","2017","","aufwand","CHF"
"36211","","2017","","aufwand","CHF"
"36212","","2017","","aufwand","CHF"
"36213","","2017","","aufwand","CHF"
"36214","","2017","","aufwand","CHF"
"36215","","2017","","aufwand","CHF"
"36216","","2017","","aufwand","CHF"
"36217","","2017","","aufwand","CHF"
"36219","","2017","","aufwand","CHF"
"36221","","2017","","aufwand","CHF"
"36222","","2017","12019801","aufwand","CHF"
"36223","","2017","17872000","aufwand","CHF"
"36224","","2017","","aufwand","CHF"
"36225","","2017","390148113.7","aufwand","CHF"
"36226","","2017","1065792910.72","aufwand","CHF"
"36227","","2017","","aufwand","CHF"
"36228","","2017","","aufwand","CHF"
"3624","","2017","","aufwand","CHF"
"3629","","2017","82891433.5","aufwand","CHF"
"3630","","2017","9896800","aufwand","CHF"
"3631","","2017","","aufwand","CHF"
"3632","","2017","2287238010.92","aufwand","CHF"
"3633","","2017","207932897.88","aufwand","CHF"
"3634","","2017","11052403976.51","aufwand","CHF"
"3635","","2017","5450426955.84","aufwand","CHF"
"3636","","2017","7511391658.16","aufwand","CHF"
"3637","","2017","11342373208.69","aufwand","CHF"
"3638","","2017","333612443.83","aufwand","CHF"
"3639","","2017","346657922.66","aufwand","CHF"
"364","","2017","3434912.38","aufwand","CHF"
"365","","2017","9541160","aufwand","CHF"
"366","","2017","824565882.2","aufwand","CHF"
"369","","2017","3395265.12","aufwand","CHF"
"380","","2017","14580144.09","aufwand","CHF"
"381","","2017","17500","aufwand","CHF"
"383","","2017","31774327.05","aufwand","CHF"
"384","","2017","276810852.01","aufwand","CHF"
"3860","","2017","","aufwand","CHF"
"3861","","2017","","aufwand","CHF"
"3862","","2017","","aufwand","CHF"
"3863","","2017","","aufwand","CHF"
"3864","","2017","","aufwand","CHF"
"3865","","2017","","aufwand","CHF"
"3866","","2017","","aufwand","CHF"
"3867","","2017","","aufwand","CHF"
"3868","","2017","","aufwand","CHF"
"387","","2017","14032099.1","aufwand","CHF"
"389","","2017","763822320","aufwand","CHF"
"4000","","2017","25535378832.2","ertrag","CHF"
"4001","","2017","4505594182.06","ertrag","CHF"
"4002","","2017","2509779001.96","ertrag","CHF"
"4008","","2017","13015342.18","ertrag","CHF"
"4009","","2017","212098194.54","ertrag","CHF"
"4010","","2017","6436652830.9","ertrag","CHF"
"4011","","2017","1093076092.36","ertrag","CHF"
"4012","","2017","","ertrag","CHF"
"4019","","2017","50319104.08","ertrag","CHF"
"4020","","2017","","ertrag","CHF"
"4021","","2017","342219617.68","ertrag","CHF"
"4022","","2017","1266503308.61","ertrag","CHF"
"4023","","2017","955692776.21","ertrag","CHF"
"4024","","2017","1042306438.07","ertrag","CHF"
"4025","","2017","45918939.62","ertrag","CHF"
"4030","","2017","2240244501","ertrag","CHF"
"4031","","2017","33433187.1","ertrag","CHF"
"4032","","2017","20571439.89","ertrag","CHF"
"4033","","2017","10175813.7","ertrag","CHF"
"4039","","2017","21982306.41","ertrag","CHF"
"4040","","2017","","ertrag","CHF"
"4041","","2017","","ertrag","CHF"
"4042","","2017","","ertrag","CHF"
"4043","","2017","","ertrag","CHF"
"4044","","2017","","ertrag","CHF"
"4045","","2017","","ertrag","CHF"
"4046","","2017","","ertrag","CHF"
"4047","","2017","","ertrag","CHF"
"4049","","2017","","ertrag","CHF"
"4050","","2017","","ertrag","CHF"
"4051","","2017","","ertrag","CHF"
"4052","","2017","","ertrag","CHF"
"4053","","2017","","ertrag","CHF"
"4059","","2017","","ertrag","CHF"
"4060","","2017","","ertrag","CHF"
"4070","","2017","","ertrag","CHF"
"4071","","2017","","ertrag","CHF"
"4072","","2017","","ertrag","CHF"
"4079","","2017","","ertrag","CHF"
"410","","2017","36198106.04","ertrag","CHF"
"411","","2017","1153160757","ertrag","CHF"
"412","","2017","511037164.52","ertrag","CHF"
"413","","2017","546205942.1","ertrag","CHF"
"420","","2017","46911064.27","ertrag","CHF"
"421","","2017","1953804431.87","ertrag","CHF"
"422","","2017","274539607.31","ertrag","CHF"
"423","","2017","709720618","ertrag","CHF"
"424","","2017","1637119721.59","ertrag","CHF"
"425","","2017","370116947.23","ertrag","CHF"
"426","","2017","1381592114.05","ertrag","CHF"
"427","","2017","660661133.110001","ertrag","CHF"
"429","","2017","101685294.61","ertrag","CHF"
"430","","2017","163336591.02","ertrag","CHF"
"431","","2017","70451096.39","ertrag","CHF"
"432","","2017","3633216.64","ertrag","CHF"
"439","","2017","198884696.86","ertrag","CHF"
"440","","2017","363255690.39","ertrag","CHF"
"441","","2017","139334436.02","ertrag","CHF"
"442","","2017","25078202.23","ertrag","CHF"
"443","","2017","167993400.03","ertrag","CHF"
"444","","2017","211959928.11","ertrag","CHF"
"445","","2017","154757330.71","ertrag","CHF"
"446","","2017","1491000999.57","ertrag","CHF"
"447","","2017","436130505.23","ertrag","CHF"
"448","","2017","7929115.56","ertrag","CHF"
"449","","2017","21213648.82","ertrag","CHF"
"450","","2017","226825396.34","ertrag","CHF"
"451","","2017","335913578.47","ertrag","CHF"
"452","","2017","120646090.28","ertrag","CHF"
"46000","","2017","3582544399.66","ertrag","CHF"
"46001","","2017","955289686.25","ertrag","CHF"
"46002","","2017","34942049.36","ertrag","CHF"
"46003","","2017","24927802.01","ertrag","CHF"
"46004","","2017","","ertrag","CHF"
"46005","","2017","350245092.55","ertrag","CHF"
"46006","","2017","","ertrag","CHF"
"46007","","2017","1870985.65","ertrag","CHF"
"46008","","2017","529385457","ertrag","CHF"
"46009","","2017","659250","ertrag","CHF"
"46010","","2017","","ertrag","CHF"
"46011","","2017","","ertrag","CHF"
"46012","","2017","","ertrag","CHF"
"46019","","2017","","ertrag","CHF"
"4603","","2017","","ertrag","CHF"
"4604","","2017","","ertrag","CHF"
"4610","","2017","1789456550.48","ertrag","CHF"
"4611","","2017","","ertrag","CHF"
"4612","","2017","3344021548.1","ertrag","CHF"
"4613","","2017","483704824.17","ertrag","CHF"
"4614","","2017","3232521.63","ertrag","CHF"
"46201","","2017","2350132760","ertrag","CHF"
"46202","","2017","357504984","ertrag","CHF"
"46203","","2017","357504984","ertrag","CHF"
"46204","","2017","215362417","ertrag","CHF"
"46209","","2017","","ertrag","CHF"
"46211","","2017","","ertrag","CHF"
"46212","","2017","","ertrag","CHF"
"46213","","2017","","ertrag","CHF"
"46214","","2017","","ertrag","CHF"
"46215","","2017","","ertrag","CHF"
"46216","","2017","","ertrag","CHF"
"46217","","2017","","ertrag","CHF"
"46225","","2017","105731310.92","ertrag","CHF"
"46226","","2017","247019601.22","ertrag","CHF"
"46227","","2017","","ertrag","CHF"
"46228","","2017","","ertrag","CHF"
"4624","","2017","","ertrag","CHF"
"4629","","2017","38351502","ertrag","CHF"
"4630","","2017","10164617595.38","ertrag","CHF"
"4631","","2017","","ertrag","CHF"
"4632","","2017","2715319446.31","ertrag","CHF"
"4633","","2017","","ertrag","CHF"
"4634","","2017","43366242.79","ertrag","CHF"
"4635","","2017","48360727.72","ertrag","CHF"
"4636","","2017","20610430.6","ertrag","CHF"
"4637","","2017","","ertrag","CHF"
"4638","","2017","102957272.15","ertrag","CHF"
"466","","2017","235077223.71","ertrag","CHF"
"469","","2017","40664472.65","ertrag","CHF"
"481","","2017","","ertrag","CHF"
"482","","2017","56500","ertrag","CHF"
"483","","2017","19838140.43","ertrag","CHF"
"484","","2017","350002135.91","ertrag","CHF"
"485","","2017","","ertrag","CHF"
"4860","","2017","","ertrag","CHF"
"4861","","2017","","ertrag","CHF"
"4862","","2017","","ertrag","CHF"
"4863","","2017","","ertrag","CHF"
"4864","","2017","13480233.27","ertrag","CHF"
"4865","","2017","196533","ertrag","CHF"
"4866","","2017","644032.35","ertrag","CHF"
"4867","","2017","","ertrag","CHF"
"4868","","2017","","ertrag","CHF"
"4870","","2017","","ertrag","CHF"
"489","","2017","269455973.52","ertrag","CHF"
