"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","9873040760.17","bilanz","ktn","CHF","fs"
"101","","2020","25915729509.29","bilanz","ktn","CHF","fs"
"102","","2020","2334386736.5","bilanz","ktn","CHF","fs"
"104","","2020","8780668451.39","bilanz","ktn","CHF","fs"
"106","","2020","198259025.19","bilanz","ktn","CHF","fs"
"107","","2020","8166302723.87","bilanz","ktn","CHF","fs"
"108","","2020","7292239766.37","bilanz","ktn","CHF","fs"
"109","","2020","412857945","bilanz","ktn","CHF","fs"
"140","","2020","42524997571.42","bilanz","ktn","CHF","fs"
"141","","2020","909428.15","bilanz","ktn","CHF","fs"
"142","","2020","529725583.22","bilanz","ktn","CHF","fs"
"143","","2020","299258122.6","bilanz","ktn","CHF","fs"
"144","","2020","5468922376.29","bilanz","ktn","CHF","fs"
"145","","2020","14159802562.71","bilanz","ktn","CHF","fs"
"146","","2020","7767377732.57","bilanz","ktn","CHF","fs"
"147","","2020","","bilanz","ktn","CHF","fs"
"148","","2020","-124353247.78","bilanz","ktn","CHF","fs"
"200","","2020","18238841066.38","bilanz","ktn","CHF","fs"
"201","","2020","8178266460.71","bilanz","ktn","CHF","fs"
"204","","2020","13645912554.9","bilanz","ktn","CHF","fs"
"205","","2020","2281870177.99","bilanz","ktn","CHF","fs"
"206","","2020","46420053402.09","bilanz","ktn","CHF","fs"
"207","","2020","","bilanz","ktn","CHF","fs"
"208","","2020","4227495556.89","bilanz","ktn","CHF","fs"
"209","","2020","3469895646.02","bilanz","ktn","CHF","fs"
"290","","2020","6073197971.97","bilanz","ktn","CHF","fs"
"292","","2020","288602051.41","bilanz","ktn","CHF","fs"
"293","","2020","2665161204.29","bilanz","ktn","CHF","fs"
"294","","2020","-801793660.11","bilanz","ktn","CHF","fs"
"295","","2020","2977080898.65","bilanz","ktn","CHF","fs"
"296","","2020","1359247387.4","bilanz","ktn","CHF","fs"
"298","","2020","1350538909.66","bilanz","ktn","CHF","fs"
"299","","2020","23225755418.71","bilanz","ktn","CHF","fs"
"empty","","2020","","er","ktn","CHF","fs"
"empty","","2020","","er","ktn","CHF","fs"
"empty","","2020","","er","ktn","CHF","fs"
"empty","","2020","","er","ktn","CHF","fs"
"300","","2020","389818990.04","aufwand","ktn","CHF","fs"
"301","","2020","11764839118.53","aufwand","ktn","CHF","fs"
"302","","2020","12370758958.99","aufwand","ktn","CHF","fs"
"303","","2020","130709483.16","aufwand","ktn","CHF","fs"
"304","","2020","224164823.24","aufwand","ktn","CHF","fs"
"305","","2020","5031387059.89","aufwand","ktn","CHF","fs"
"306","","2020","88405580.91","aufwand","ktn","CHF","fs"
"309","","2020","179453538.34","aufwand","ktn","CHF","fs"
"310","","2020","931423767.78","aufwand","ktn","CHF","fs"
"311","","2020","536166243.69","aufwand","ktn","CHF","fs"
"312","","2020","317347395.48","aufwand","ktn","CHF","fs"
"313","","2020","3407404793.66","aufwand","ktn","CHF","fs"
"314","","2020","1202396041.42","aufwand","ktn","CHF","fs"
"315","","2020","555075009.69","aufwand","ktn","CHF","fs"
"316","","2020","1173278152.23","aufwand","ktn","CHF","fs"
"317","","2020","147250328.61","aufwand","ktn","CHF","fs"
"318","","2020","704664072.06","aufwand","ktn","CHF","fs"
"319","","2020","589364721.99","aufwand","ktn","CHF","fs"
"320","","2020","","aufwand","ktn","CHF","fs"
"331","","2020","","aufwand","ktn","CHF","fs"
"337","","2020","2879400775.18","aufwand","ktn","CHF","fs"
"338","","2020","212067424.13","aufwand","ktn","CHF","fs"
"340","","2020","574401400.07","aufwand","ktn","CHF","fs"
"341","","2020","44748443.08","aufwand","ktn","CHF","fs"
"342","","2020","13441395.73","aufwand","ktn","CHF","fs"
"343","","2020","74371426.04","aufwand","ktn","CHF","fs"
"344","","2020","374453849.83","aufwand","ktn","CHF","fs"
"349","","2020","72592130.93","aufwand","ktn","CHF","fs"
"350","","2020","329810805.03","aufwand","ktn","CHF","fs"
"351","","2020","887577981.65","aufwand","ktn","CHF","fs"
"352","","2020","496167.5","aufwand","ktn","CHF","fs"
"3600","","2020","","aufwand","ktn","CHF","fs"
"36010","","2020","","aufwand","ktn","CHF","fs"
"36011","","2020","","aufwand","ktn","CHF","fs"
"36012","","2020","","aufwand","ktn","CHF","fs"
"36013","","2020","","aufwand","ktn","CHF","fs"
"36014","","2020","","aufwand","ktn","CHF","fs"
"36015","","2020","","aufwand","ktn","CHF","fs"
"36016","","2020","","aufwand","ktn","CHF","fs"
"36017","","2020","","aufwand","ktn","CHF","fs"
"36018","","2020","","aufwand","ktn","CHF","fs"
"36019","","2020","","aufwand","ktn","CHF","fs"
"36021","","2020","833158548.6","aufwand","ktn","CHF","fs"
"36022","","2020","549712.59","aufwand","ktn","CHF","fs"
"36023","","2020","6039904.54","aufwand","ktn","CHF","fs"
"36029","","2020","160525214.36","aufwand","ktn","CHF","fs"
"3603","","2020","","aufwand","ktn","CHF","fs"
"3604","","2020","883402.5","aufwand","ktn","CHF","fs"
"3610","","2020","","aufwand","ktn","CHF","fs"
"3611","","2020","","aufwand","ktn","CHF","fs"
"3612","","2020","854768940.85","aufwand","ktn","CHF","fs"
"3613","","2020","7466292.77","aufwand","ktn","CHF","fs"
"3614","","2020","668219919.75","aufwand","ktn","CHF","fs"
"3620","","2020","","aufwand","ktn","CHF","fs"
"36211","","2020","","aufwand","ktn","CHF","fs"
"36212","","2020","","aufwand","ktn","CHF","fs"
"36213","","2020","","aufwand","ktn","CHF","fs"
"36214","","2020","","aufwand","ktn","CHF","fs"
"36215","","2020","","aufwand","ktn","CHF","fs"
"36216","","2020","","aufwand","ktn","CHF","fs"
"36217","","2020","","aufwand","ktn","CHF","fs"
"36219","","2020","","aufwand","ktn","CHF","fs"
"36221","","2020","","aufwand","ktn","CHF","fs"
"36222","","2020","1421384","aufwand","ktn","CHF","fs"
"36223","","2020","17816092","aufwand","ktn","CHF","fs"
"36224","","2020","","aufwand","ktn","CHF","fs"
"36225","","2020","564815588.22","aufwand","ktn","CHF","fs"
"36226","","2020","1039674481.5","aufwand","ktn","CHF","fs"
"36227","","2020","","aufwand","ktn","CHF","fs"
"36228","","2020","","aufwand","ktn","CHF","fs"
"3624","","2020","","aufwand","ktn","CHF","fs"
"3629","","2020","2254995","aufwand","ktn","CHF","fs"
"3630","","2020","2683800","aufwand","ktn","CHF","fs"
"3631","","2020","","aufwand","ktn","CHF","fs"
"3632","","2020","2358760418.29","aufwand","ktn","CHF","fs"
"3633","","2020","206101747.01","aufwand","ktn","CHF","fs"
