"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","267206087.93","bilanz","ktn_ag","CHF","fs"
"101","","2017","873399100.54","bilanz","ktn_ag","CHF","fs"
"102","","2017","","bilanz","ktn_ag","CHF","fs"
"104","","2017","423912038.06","bilanz","ktn_ag","CHF","fs"
"106","","2017","4292485.98","bilanz","ktn_ag","CHF","fs"
"107","","2017","13104300.5","bilanz","ktn_ag","CHF","fs"
"108","","2017","15774485","bilanz","ktn_ag","CHF","fs"
"109","","2017","","bilanz","ktn_ag","CHF","fs"
"140","","2017","866780756.18","bilanz","ktn_ag","CHF","fs"
"141","","2017","","bilanz","ktn_ag","CHF","fs"
"142","","2017","","bilanz","ktn_ag","CHF","fs"
"143","","2017","","bilanz","ktn_ag","CHF","fs"
"144","","2017","216905722.05","bilanz","ktn_ag","CHF","fs"
"145","","2017","776823781","bilanz","ktn_ag","CHF","fs"
"146","","2017","","bilanz","ktn_ag","CHF","fs"
"147","","2017","","bilanz","ktn_ag","CHF","fs"
"148","","2017","","bilanz","ktn_ag","CHF","fs"
"200","","2017","666864781.09","bilanz","ktn_ag","CHF","fs"
"201","","2017","3.9e+08","bilanz","ktn_ag","CHF","fs"
"204","","2017","668632918.45","bilanz","ktn_ag","CHF","fs"
"205","","2017","7711768.7","bilanz","ktn_ag","CHF","fs"
"206","","2017","1.235e+09","bilanz","ktn_ag","CHF","fs"
"207","","2017","","bilanz","ktn_ag","CHF","fs"
"208","","2017","84592954.1","bilanz","ktn_ag","CHF","fs"
"209","","2017","83886153.95","bilanz","ktn_ag","CHF","fs"
"290","","2017","-419647672","bilanz","ktn_ag","CHF","fs"
"292","","2017","27287681.9","bilanz","ktn_ag","CHF","fs"
"293","","2017","","bilanz","ktn_ag","CHF","fs"
"294","","2017","410859750.25","bilanz","ktn_ag","CHF","fs"
"295","","2017","","bilanz","ktn_ag","CHF","fs"
"296","","2017","","bilanz","ktn_ag","CHF","fs"
