"arten","funk","jahr","value","dim","unit"
"100","","2019","394560754.86","bilanz","CHF"
"101","","2019","1024259051.84","bilanz","CHF"
"102","","2019","2e+07","bilanz","CHF"
"104","","2019","404063160.84","bilanz","CHF"
"106","","2019","4586319.04","bilanz","CHF"
"107","","2019","22784864.1","bilanz","CHF"
"108","","2019","14493105","bilanz","CHF"
"109","","2019","","bilanz","CHF"
"140","","2019","825570176.44","bilanz","CHF"
"141","","2019","","bilanz","CHF"
"142","","2019","","bilanz","CHF"
"143","","2019","","bilanz","CHF"
"144","","2019","181916010.76","bilanz","CHF"
"145","","2019","775627596","bilanz","CHF"
"146","","2019","","bilanz","CHF"
"147","","2019","","bilanz","CHF"
"148","","2019","","bilanz","CHF"
"200","","2019","650952347.27","bilanz","CHF"
"201","","2019","1.5e+08","bilanz","CHF"
"204","","2019","770350119.72","bilanz","CHF"
"205","","2019","15384968.1","bilanz","CHF"
"206","","2019","1e+09","bilanz","CHF"
"207","","2019","","bilanz","CHF"
"208","","2019","68966211.21","bilanz","CHF"
"209","","2019","60041823.02","bilanz","CHF"
"290","","2019","-208298337.1","bilanz","CHF"
"292","","2019","33434308.74","bilanz","CHF"
"293","","2019","","bilanz","CHF"
"294","","2019","477758966.25","bilanz","CHF"
"295","","2019","","bilanz","CHF"
"296","","2019","","bilanz","CHF"
"298","","2019","810920805.29","bilanz","CHF"
"299","","2019","-161650173.62","bilanz","CHF"
"300","","2019","6734918.6","aufwand","CHF"
"301","","2019","480701229.89","aufwand","CHF"
"302","","2019","872787372.91","aufwand","CHF"
"303","","2019","2484948.13","aufwand","CHF"
"304","","2019","5813052.13","aufwand","CHF"
"305","","2019","239324362.18","aufwand","CHF"
"306","","2019","2070168.4","aufwand","CHF"
"309","","2019","21031343.67","aufwand","CHF"
"310","","2019","33266338.41","aufwand","CHF"
"311","","2019","28472537.55","aufwand","CHF"
"312","","2019","13872468.99","aufwand","CHF"
"313","","2019","187626153.39","aufwand","CHF"
"314","","2019","35320323.8","aufwand","CHF"
"315","","2019","20890153.45","aufwand","CHF"
"316","","2019","30285203.92","aufwand","CHF"
"317","","2019","7533228.01","aufwand","CHF"
"318","","2019","39820607.93","aufwand","CHF"
"319","","2019","929729.49","aufwand","CHF"
"320","","2019","","aufwand","CHF"
"331","","2019","","aufwand","CHF"
"337","","2019","190662171.33","aufwand","CHF"
"338","","2019","621253.53","aufwand","CHF"
"340","","2019","13772028.78","aufwand","CHF"
"341","","2019","535717.54","aufwand","CHF"
"342","","2019","471780.26","aufwand","CHF"
"343","","2019","","aufwand","CHF"
"344","","2019","120495.22","aufwand","CHF"
"349","","2019","1946738.7","aufwand","CHF"
"350","","2019","","aufwand","CHF"
"351","","2019","35788168.52","aufwand","CHF"
"352","","2019","","aufwand","CHF"
"3600","","2019","","aufwand","CHF"
"36010","","2019","","aufwand","CHF"
"36011","","2019","","aufwand","CHF"
"36012","","2019","","aufwand","CHF"
"36013","","2019","","aufwand","CHF"
"36014","","2019","","aufwand","CHF"
"36015","","2019","","aufwand","CHF"
"36016","","2019","","aufwand","CHF"
"36017","","2019","","aufwand","CHF"
"36018","","2019","","aufwand","CHF"
"36019","","2019","","aufwand","CHF"
"36021","","2019","50754976","aufwand","CHF"
"36022","","2019","","aufwand","CHF"
"36023","","2019","","aufwand","CHF"
"36029","","2019","5456197.5","aufwand","CHF"
"3603","","2019","","aufwand","CHF"
"3604","","2019","","aufwand","CHF"
"3610","","2019","","aufwand","CHF"
"3611","","2019","27395169.47","aufwand","CHF"
"3612","","2019","1476730.79","aufwand","CHF"
"3613","","2019","","aufwand","CHF"
"3614","","2019","","aufwand","CHF"
"3620","","2019","","aufwand","CHF"
"36211","","2019","","aufwand","CHF"
"36212","","2019","","aufwand","CHF"
"36213","","2019","","aufwand","CHF"
"36214","","2019","6984858","aufwand","CHF"
"36215","","2019","","aufwand","CHF"
"36216","","2019","","aufwand","CHF"
"36217","","2019","","aufwand","CHF"
"36219","","2019","","aufwand","CHF"
"36221","","2019","","aufwand","CHF"
"36222","","2019","","aufwand","CHF"
"36223","","2019","","aufwand","CHF"
"36224","","2019","","aufwand","CHF"
"36225","","2019","111702350","aufwand","CHF"
"36226","","2019","","aufwand","CHF"
"36227","","2019","","aufwand","CHF"
"36228","","2019","","aufwand","CHF"
"3624","","2019","","aufwand","CHF"
"3629","","2019","","aufwand","CHF"
"3630","","2019","2e+06","aufwand","CHF"
"3631","","2019","230911732.77","aufwand","CHF"
"3632","","2019","114842932.13","aufwand","CHF"
"3633","","2019","15581646.6","aufwand","CHF"
"3634","","2019","896480403.78","aufwand","CHF"
"3635","","2019","152117902.86","aufwand","CHF"
"3636","","2019","511856497.99","aufwand","CHF"
"3637","","2019","628349538.91","aufwand","CHF"
"3638","","2019","1861213.3","aufwand","CHF"
"3639","","2019","15859990.15","aufwand","CHF"
"364","","2019","197236.75","aufwand","CHF"
"365","","2019","","aufwand","CHF"
"366","","2019","24240609.99","aufwand","CHF"
"369","","2019","","aufwand","CHF"
"380","","2019","","aufwand","CHF"
"381","","2019","","aufwand","CHF"
"383","","2019","","aufwand","CHF"
"384","","2019","","aufwand","CHF"
"3860","","2019","","aufwand","CHF"
"3861","","2019","","aufwand","CHF"
"3862","","2019","","aufwand","CHF"
"3863","","2019","","aufwand","CHF"
"3864","","2019","","aufwand","CHF"
"3865","","2019","","aufwand","CHF"
"3866","","2019","","aufwand","CHF"
"3867","","2019","","aufwand","CHF"
"3868","","2019","","aufwand","CHF"
"387","","2019","","aufwand","CHF"
"389","","2019","275542103.14","aufwand","CHF"
"4000","","2019","1646806883.8","ertrag","CHF"
"4001","","2019","174791888.83","ertrag","CHF"
"4002","","2019","95837817.08","ertrag","CHF"
"4008","","2019","","ertrag","CHF"
"4009","","2019","","ertrag","CHF"
"4010","","2019","347298930.32","ertrag","CHF"
"4011","","2019","28208533.63","ertrag","CHF"
"4012","","2019","","ertrag","CHF"
"4019","","2019","16250206.7","ertrag","CHF"
"4020","","2019","","ertrag","CHF"
"4021","","2019","","ertrag","CHF"
"4022","","2019","80105159.2","ertrag","CHF"
"4023","","2019","48466216","ertrag","CHF"
"4024","","2019","34533338.85","ertrag","CHF"
"4025","","2019","","ertrag","CHF"
"4030","","2019","140564656.56","ertrag","CHF"
"4031","","2019","264293.05","ertrag","CHF"
"4032","","2019","","ertrag","CHF"
"4033","","2019","821810","ertrag","CHF"
"4039","","2019","","ertrag","CHF"
"4040","","2019","","ertrag","CHF"
"4041","","2019","","ertrag","CHF"
"4042","","2019","","ertrag","CHF"
"4043","","2019","","ertrag","CHF"
"4044","","2019","","ertrag","CHF"
"4045","","2019","","ertrag","CHF"
"4046","","2019","","ertrag","CHF"
"4047","","2019","","ertrag","CHF"
"4049","","2019","","ertrag","CHF"
"4050","","2019","","ertrag","CHF"
"4051","","2019","","ertrag","CHF"
"4052","","2019","","ertrag","CHF"
"4053","","2019","","ertrag","CHF"
"4059","","2019","","ertrag","CHF"
"4060","","2019","","ertrag","CHF"
"4070","","2019","","ertrag","CHF"
"4071","","2019","","ertrag","CHF"
"4072","","2019","","ertrag","CHF"
"4079","","2019","","ertrag","CHF"
"410","","2019","1988471.2","ertrag","CHF"
"411","","2019","105259131","ertrag","CHF"
"412","","2019","70172636.15","ertrag","CHF"
"413","","2019","36645823.12","ertrag","CHF"
"420","","2019","3006075.69","ertrag","CHF"
"421","","2019","107532185.71","ertrag","CHF"
"422","","2019","23445611.3","ertrag","CHF"
"423","","2019","3664676.25","ertrag","CHF"
"424","","2019","24957013.33","ertrag","CHF"
"425","","2019","30795177.16","ertrag","CHF"
"426","","2019","108058357.07","ertrag","CHF"
"427","","2019","37452665.78","ertrag","CHF"
"429","","2019","5591886.73","ertrag","CHF"
"430","","2019","1267349.21","ertrag","CHF"
"431","","2019","","ertrag","CHF"
"432","","2019","","ertrag","CHF"
"439","","2019","1288015.65","ertrag","CHF"
"440","","2019","4945360.25","ertrag","CHF"
"441","","2019","6901198.6","ertrag","CHF"
"442","","2019","","ertrag","CHF"
"443","","2019","278912.7","ertrag","CHF"
"444","","2019","652223","ertrag","CHF"
"445","","2019","1800302.41","ertrag","CHF"
"446","","2019","93966662.5","ertrag","CHF"
"447","","2019","22278902.32","ertrag","CHF"
"448","","2019","","ertrag","CHF"
"449","","2019","2243555.55","ertrag","CHF"
"450","","2019","10276870.31","ertrag","CHF"
"451","","2019","42153045.69","ertrag","CHF"
"452","","2019","","ertrag","CHF"
"46000","","2019","176889938.63","ertrag","CHF"
"46001","","2019","77005490","ertrag","CHF"
"46002","","2019","2415636.06","ertrag","CHF"
"46003","","2019","1996364","ertrag","CHF"
"46004","","2019","","ertrag","CHF"
"46005","","2019","21018467","ertrag","CHF"
"46006","","2019","","ertrag","CHF"
"46007","","2019","","ertrag","CHF"
"46008","","2019","29128531","ertrag","CHF"
"46009","","2019","287690","ertrag","CHF"
"46010","","2019","","ertrag","CHF"
"46011","","2019","","ertrag","CHF"
"46012","","2019","","ertrag","CHF"
"46019","","2019","","ertrag","CHF"
"4603","","2019","","ertrag","CHF"
"4604","","2019","","ertrag","CHF"
"4610","","2019","73890238.35","ertrag","CHF"
"4611","","2019","1745201.72","ertrag","CHF"
"4612","","2019","4672554.13","ertrag","CHF"
"4613","","2019","40596570.56","ertrag","CHF"
"4614","","2019","","ertrag","CHF"
"46201","","2019","242137099","ertrag","CHF"
"46202","","2019","","ertrag","CHF"
"46203","","2019","","ertrag","CHF"
"46204","","2019","","ertrag","CHF"
"46209","","2019","","ertrag","CHF"
"46211","","2019","165576987","ertrag","CHF"
"46212","","2019","","ertrag","CHF"
"46213","","2019","","ertrag","CHF"
"46214","","2019","","ertrag","CHF"
"46215","","2019","","ertrag","CHF"
"46216","","2019","","ertrag","CHF"
"46217","","2019","","ertrag","CHF"
"46225","","2019","54693500","ertrag","CHF"
"46226","","2019","","ertrag","CHF"
"46227","","2019","","ertrag","CHF"
"46228","","2019","","ertrag","CHF"
"4624","","2019","","ertrag","CHF"
"4629","","2019","","ertrag","CHF"
"4630","","2019","531068628.5","ertrag","CHF"
"4631","","2019","8904407.56","ertrag","CHF"
"4632","","2019","578038612.33","ertrag","CHF"
"4633","","2019","","ertrag","CHF"
"4634","","2019","455192.7","ertrag","CHF"
"4635","","2019","271019.5","ertrag","CHF"
"4636","","2019","","ertrag","CHF"
"4637","","2019","","ertrag","CHF"
"4638","","2019","","ertrag","CHF"
"466","","2019","","ertrag","CHF"
"469","","2019","2213517.91","ertrag","CHF"
"481","","2019","","ertrag","CHF"
"482","","2019","","ertrag","CHF"
"483","","2019","","ertrag","CHF"
"484","","2019","","ertrag","CHF"
"485","","2019","","ertrag","CHF"
"4860","","2019","","ertrag","CHF"
"4861","","2019","","ertrag","CHF"
"4862","","2019","","ertrag","CHF"
"4863","","2019","","ertrag","CHF"
"4864","","2019","","ertrag","CHF"
"4865","","2019","","ertrag","CHF"
"4866","","2019","","ertrag","CHF"
"4867","","2019","","ertrag","CHF"
"4868","","2019","","ertrag","CHF"
"4870","","2019","","ertrag","CHF"
"489","","2019","38370220.66","ertrag","CHF"
