"arten","funk","jahr","value","dim","unit"
"100","","2018","24296707","bilanz","CHF"
"101","","2018","64798239","bilanz","CHF"
"102","","2018","1.3e+07","bilanz","CHF"
"104","","2018","3019224","bilanz","CHF"
"106","","2018","159268","bilanz","CHF"
"107","","2018","28765243","bilanz","CHF"
"108","","2018","14533700","bilanz","CHF"
"109","","2018","","bilanz","CHF"
"140","","2018","18516101","bilanz","CHF"
"141","","2018","","bilanz","CHF"
"142","","2018","","bilanz","CHF"
"143","","2018","","bilanz","CHF"
"144","","2018","30503597","bilanz","CHF"
"145","","2018","1748256","bilanz","CHF"
"146","","2018","4664823","bilanz","CHF"
"147","","2018","","bilanz","CHF"
"148","","2018","-4183754","bilanz","CHF"
"200","","2018","23715711","bilanz","CHF"
"201","","2018","1500000","bilanz","CHF"
"204","","2018","8124435","bilanz","CHF"
"205","","2018","","bilanz","CHF"
"206","","2018","27748591","bilanz","CHF"
"207","","2018","","bilanz","CHF"
"208","","2018","320000","bilanz","CHF"
"209","","2018","2436048","bilanz","CHF"
"290","","2018","33651625","bilanz","CHF"
"292","","2018","","bilanz","CHF"
"293","","2018","15657480","bilanz","CHF"
"294","","2018","","bilanz","CHF"
"295","","2018","","bilanz","CHF"
"296","","2018","11649693","bilanz","CHF"
"298","","2018","","bilanz","CHF"
"299","","2018","75017821","bilanz","CHF"
"300","","2018","968274","aufwand","CHF"
"301","","2018","19678560.95","aufwand","CHF"
"302","","2018","4467040","aufwand","CHF"
"303","","2018","","aufwand","CHF"
"304","","2018","140275","aufwand","CHF"
"305","","2018","4619616.06","aufwand","CHF"
"306","","2018","28244","aufwand","CHF"
"309","","2018","932243","aufwand","CHF"
"310","","2018","2545683.99","aufwand","CHF"
"311","","2018","1437447","aufwand","CHF"
"312","","2018","474950","aufwand","CHF"
"313","","2018","5781983","aufwand","CHF"
"314","","2018","2783789","aufwand","CHF"
"315","","2018","891655.99","aufwand","CHF"
"316","","2018","1045521","aufwand","CHF"
"317","","2018","274561","aufwand","CHF"
"318","","2018","362730","aufwand","CHF"
"319","","2018","632863","aufwand","CHF"
"320","","2018","","aufwand","CHF"
"331","","2018","","aufwand","CHF"
"337","","2018","2594919","aufwand","CHF"
"338","","2018","","aufwand","CHF"
"340","","2018","","aufwand","CHF"
"341","","2018","","aufwand","CHF"
"342","","2018","","aufwand","CHF"
"343","","2018","59617","aufwand","CHF"
"344","","2018","","aufwand","CHF"
"349","","2018","","aufwand","CHF"
"350","","2018","171410","aufwand","CHF"
"351","","2018","2399067","aufwand","CHF"
"352","","2018","","aufwand","CHF"
"3600","","2018","","aufwand","CHF"
"36010","","2018","","aufwand","CHF"
"36011","","2018","","aufwand","CHF"
"36012","","2018","","aufwand","CHF"
"36013","","2018","","aufwand","CHF"
"36014","","2018","","aufwand","CHF"
"36015","","2018","","aufwand","CHF"
"36016","","2018","","aufwand","CHF"
"36017","","2018","","aufwand","CHF"
"36018","","2018","","aufwand","CHF"
"36019","","2018","","aufwand","CHF"
"36021","","2018","329181","aufwand","CHF"
"36022","","2018","","aufwand","CHF"
"36023","","2018","","aufwand","CHF"
"36029","","2018","","aufwand","CHF"
"3603","","2018","","aufwand","CHF"
"3604","","2018","","aufwand","CHF"
"3610","","2018","","aufwand","CHF"
"3611","","2018","4889675","aufwand","CHF"
"3612","","2018","130830","aufwand","CHF"
"3613","","2018","","aufwand","CHF"
"3614","","2018","","aufwand","CHF"
"3620","","2018","","aufwand","CHF"
"36211","","2018","","aufwand","CHF"
"36212","","2018","","aufwand","CHF"
"36213","","2018","","aufwand","CHF"
"36214","","2018","200891","aufwand","CHF"
"36215","","2018","","aufwand","CHF"
"36216","","2018","","aufwand","CHF"
"36217","","2018","","aufwand","CHF"
"36219","","2018","","aufwand","CHF"
"36221","","2018","","aufwand","CHF"
"36222","","2018","","aufwand","CHF"
"36223","","2018","","aufwand","CHF"
"36224","","2018","","aufwand","CHF"
"36225","","2018","3994162","aufwand","CHF"
"36226","","2018","","aufwand","CHF"
"36227","","2018","","aufwand","CHF"
"36228","","2018","","aufwand","CHF"
"3624","","2018","","aufwand","CHF"
"3629","","2018","","aufwand","CHF"
"3630","","2018","","aufwand","CHF"
"3631","","2018","6567073","aufwand","CHF"
"3632","","2018","3854818","aufwand","CHF"
"3633","","2018","447827.8","aufwand","CHF"
"3634","","2018","22279857","aufwand","CHF"
"3635","","2018","26085439","aufwand","CHF"
"3636","","2018","11617513","aufwand","CHF"
"3637","","2018","14433794","aufwand","CHF"
"3638","","2018","","aufwand","CHF"
"3639","","2018","376135","aufwand","CHF"
"364","","2018","","aufwand","CHF"
"365","","2018","","aufwand","CHF"
"366","","2018","823204","aufwand","CHF"
"369","","2018","","aufwand","CHF"
"380","","2018","","aufwand","CHF"
"381","","2018","","aufwand","CHF"
"383","","2018","-465000","aufwand","CHF"
"384","","2018","","aufwand","CHF"
"3860","","2018","","aufwand","CHF"
"3861","","2018","","aufwand","CHF"
"3862","","2018","","aufwand","CHF"
"3863","","2018","","aufwand","CHF"
"3864","","2018","","aufwand","CHF"
"3865","","2018","","aufwand","CHF"
"3866","","2018","","aufwand","CHF"
"3867","","2018","","aufwand","CHF"
"3868","","2018","","aufwand","CHF"
"387","","2018","","aufwand","CHF"
"389","","2018","","aufwand","CHF"
"4000","","2018","33471212","ertrag","CHF"
"4001","","2018","7667506","ertrag","CHF"
"4002","","2018","1276590","ertrag","CHF"
"4008","","2018","","ertrag","CHF"
"4009","","2018","","ertrag","CHF"
"4010","","2018","3223869","ertrag","CHF"
"4011","","2018","304888","ertrag","CHF"
"4012","","2018","","ertrag","CHF"
"4019","","2018","","ertrag","CHF"
"4020","","2018","","ertrag","CHF"
"4021","","2018","","ertrag","CHF"
"4022","","2018","4872147","ertrag","CHF"
"4023","","2018","1645904","ertrag","CHF"
