"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","25933514.01","bilanz","ktn_ar","CHF","fs"
"101","","2017","71952248.46","bilanz","ktn_ar","CHF","fs"
"102","","2017","","bilanz","ktn_ar","CHF","fs"
"104","","2017","24583631.29","bilanz","ktn_ar","CHF","fs"
"106","","2017","","bilanz","ktn_ar","CHF","fs"
"107","","2017","872960","bilanz","ktn_ar","CHF","fs"
"108","","2017","35119635","bilanz","ktn_ar","CHF","fs"
"109","","2017","","bilanz","ktn_ar","CHF","fs"
"140","","2017","132727956.55","bilanz","ktn_ar","CHF","fs"
"141","","2017","","bilanz","ktn_ar","CHF","fs"
"142","","2017","8737053.24","bilanz","ktn_ar","CHF","fs"
"143","","2017","","bilanz","ktn_ar","CHF","fs"
"144","","2017","46528782.22","bilanz","ktn_ar","CHF","fs"
"145","","2017","42701225","bilanz","ktn_ar","CHF","fs"
"146","","2017","32222868.08","bilanz","ktn_ar","CHF","fs"
"147","","2017","","bilanz","ktn_ar","CHF","fs"
"148","","2017","","bilanz","ktn_ar","CHF","fs"
"200","","2017","75576318.51","bilanz","ktn_ar","CHF","fs"
"201","","2017","41900000","bilanz","ktn_ar","CHF","fs"
"204","","2017","20534626.82","bilanz","ktn_ar","CHF","fs"
"205","","2017","2471206.76","bilanz","ktn_ar","CHF","fs"
"206","","2017","120775000","bilanz","ktn_ar","CHF","fs"
"207","","2017","","bilanz","ktn_ar","CHF","fs"
"208","","2017","2133414.2","bilanz","ktn_ar","CHF","fs"
"209","","2017","6751882.81","bilanz","ktn_ar","CHF","fs"
"290","","2017","11813409.26","bilanz","ktn_ar","CHF","fs"
"292","","2017","314243.46","bilanz","ktn_ar","CHF","fs"
"293","","2017","43776352.41","bilanz","ktn_ar","CHF","fs"
"294","","2017","","bilanz","ktn_ar","CHF","fs"
"295","","2017","64517596.76","bilanz","ktn_ar","CHF","fs"
"296","","2017","5283477.2","bilanz","ktn_ar","CHF","fs"
"298","","2017","","bilanz","ktn_ar","CHF","fs"
"299","","2017","25532345.66","bilanz","ktn_ar","CHF","fs"
"empty","","2017","","er","ktn_ar","CHF","fs"
"empty","","2017","","er","ktn_ar","CHF","fs"
"empty","","2017","","er","ktn_ar","CHF","fs"
"empty","","2017","","er","ktn_ar","CHF","fs"
"300","","2017","2778683.85","aufwand","ktn_ar","CHF","fs"
"301","","2017","60781443.29","aufwand","ktn_ar","CHF","fs"
"302","","2017","14689727.95","aufwand","ktn_ar","CHF","fs"
"303","","2017","142621.5","aufwand","ktn_ar","CHF","fs"
"304","","2017","870191.4","aufwand","ktn_ar","CHF","fs"
"305","","2017","13746347.05","aufwand","ktn_ar","CHF","fs"
"306","","2017","134166.55","aufwand","ktn_ar","CHF","fs"
"309","","2017","1385071.43","aufwand","ktn_ar","CHF","fs"
"310","","2017","4071260.49","aufwand","ktn_ar","CHF","fs"
"311","","2017","1314805.97","aufwand","ktn_ar","CHF","fs"
"312","","2017","1235238.64","aufwand","ktn_ar","CHF","fs"
"313","","2017","19114580.96","aufwand","ktn_ar","CHF","fs"
"314","","2017","14680089.98","aufwand","ktn_ar","CHF","fs"
"315","","2017","1008085.17","aufwand","ktn_ar","CHF","fs"
"316","","2017","5128689.6","aufwand","ktn_ar","CHF","fs"
"317","","2017","1181262.49","aufwand","ktn_ar","CHF","fs"
"318","","2017","-377269.22","aufwand","ktn_ar","CHF","fs"
"319","","2017","1056714.83","aufwand","ktn_ar","CHF","fs"
"320","","2017","","aufwand","ktn_ar","CHF","fs"
"331","","2017","","aufwand","ktn_ar","CHF","fs"
"337","","2017","16950954.69","aufwand","ktn_ar","CHF","fs"
"338","","2017","","aufwand","ktn_ar","CHF","fs"
"340","","2017","1040497.55","aufwand","ktn_ar","CHF","fs"
