"arten","funk","jahr","value","dim","unit"
"100","","2020","62007789.11","bilanz","CHF"
"101","","2020","60802488.63","bilanz","CHF"
"102","","2020","","bilanz","CHF"
"104","","2020","20767952.33","bilanz","CHF"
"106","","2020","53428.25","bilanz","CHF"
"107","","2020","1069228.75","bilanz","CHF"
"108","","2020","35408815","bilanz","CHF"
"109","","2020","","bilanz","CHF"
"140","","2020","104701970.31","bilanz","CHF"
"141","","2020","","bilanz","CHF"
"142","","2020","4237325.83","bilanz","CHF"
"143","","2020","","bilanz","CHF"
"144","","2020","8202558.28","bilanz","CHF"
"145","","2020","37508370.23","bilanz","CHF"
"146","","2020","37290145.9","bilanz","CHF"
"147","","2020","","bilanz","CHF"
"148","","2020","","bilanz","CHF"
"200","","2020","53938672.65","bilanz","CHF"
"201","","2020","1700000","bilanz","CHF"
"204","","2020","31332983.18","bilanz","CHF"
"205","","2020","4373566.65","bilanz","CHF"
"206","","2020","111104460.4","bilanz","CHF"
"207","","2020","","bilanz","CHF"
"208","","2020","1453886.09","bilanz","CHF"
"209","","2020","5019138.86","bilanz","CHF"
"290","","2020","12133169.6","bilanz","CHF"
"292","","2020","1330433.33","bilanz","CHF"
"293","","2020","43025882.48","bilanz","CHF"
"294","","2020","","bilanz","CHF"
"295","","2020","30911167.63","bilanz","CHF"
"296","","2020","3946548.2","bilanz","CHF"
"298","","2020","","bilanz","CHF"
"299","","2020","71780163.55","bilanz","CHF"
"300","","2020","2716285.95","aufwand","CHF"
"301","","2020","64067637.21","aufwand","CHF"
"302","","2020","14368333.85","aufwand","CHF"
"303","","2020","232814.15","aufwand","CHF"
"304","","2020","877390.05","aufwand","CHF"
"305","","2020","15169888.91","aufwand","CHF"
"306","","2020","328772.3","aufwand","CHF"
"309","","2020","960729.77","aufwand","CHF"
"310","","2020","3618512.04","aufwand","CHF"
"311","","2020","1618480.06","aufwand","CHF"
"312","","2020","1143712.12","aufwand","CHF"
"313","","2020","20082611.06","aufwand","CHF"
"314","","2020","8629063.16","aufwand","CHF"
"315","","2020","794228.47","aufwand","CHF"
"316","","2020","5384269.15","aufwand","CHF"
"317","","2020","831311.05","aufwand","CHF"
"318","","2020","972078.17","aufwand","CHF"
"319","","2020","1317669.56","aufwand","CHF"
"320","","2020","","aufwand","CHF"
"331","","2020","","aufwand","CHF"
"337","","2020","16333065.05","aufwand","CHF"
"338","","2020","","aufwand","CHF"
"340","","2020","625289.6","aufwand","CHF"
"341","","2020","5469285.95","aufwand","CHF"
"342","","2020","26570","aufwand","CHF"
"343","","2020","1048383.09","aufwand","CHF"
"344","","2020","","aufwand","CHF"
"349","","2020","265783.85","aufwand","CHF"
"350","","2020","454848.74","aufwand","CHF"
"351","","2020","38998.35","aufwand","CHF"
"352","","2020","","aufwand","CHF"
"3600","","2020","","aufwand","CHF"
"36010","","2020","","aufwand","CHF"
"36011","","2020","","aufwand","CHF"
"36012","","2020","","aufwand","CHF"
"36013","","2020","","aufwand","CHF"
"36014","","2020","","aufwand","CHF"
"36015","","2020","","aufwand","CHF"
"36016","","2020","","aufwand","CHF"
"36017","","2020","","aufwand","CHF"
"36018","","2020","","aufwand","CHF"
"36019","","2020","","aufwand","CHF"
"36021","","2020","22592490.68","aufwand","CHF"
"36022","","2020","","aufwand","CHF"
"36023","","2020","139.1","aufwand","CHF"
"36029","","2020","","aufwand","CHF"
"3603","","2020","","aufwand","CHF"
"3604","","2020","","aufwand","CHF"
"3610","","2020","","aufwand","CHF"
"3611","","2020","8806344.35","aufwand","CHF"
"3612","","2020","261208.3","aufwand","CHF"
"3613","","2020","","aufwand","CHF"
"3614","","2020","5000","aufwand","CHF"
"3620","","2020","","aufwand","CHF"
"36211","","2020","","aufwand","CHF"
"36212","","2020","","aufwand","CHF"
"36213","","2020","","aufwand","CHF"
"36214","","2020","646741","aufwand","CHF"
"36215","","2020","","aufwand","CHF"
"36216","","2020","","aufwand","CHF"
"36217","","2020","","aufwand","CHF"
"36219","","2020","","aufwand","CHF"
"36221","","2020","","aufwand","CHF"
"36222","","2020","","aufwand","CHF"
"36223","","2020","","aufwand","CHF"
"36224","","2020","","aufwand","CHF"
"36225","","2020","10312600","aufwand","CHF"
"36226","","2020","","aufwand","CHF"
"36227","","2020","","aufwand","CHF"
"36228","","2020","","aufwand","CHF"
"3624","","2020","","aufwand","CHF"
"3629","","2020","","aufwand","CHF"
"3630","","2020","","aufwand","CHF"
"3631","","2020","21607415.33","aufwand","CHF"
"3632","","2020","22009356.76","aufwand","CHF"
"3633","","2020","1141319.4","aufwand","CHF"
"3634","","2020","12672620.64","aufwand","CHF"
"3635","","2020","97589586.67","aufwand","CHF"
"3636","","2020","38140483.43","aufwand","CHF"
"3637","","2020","63389487.26","aufwand","CHF"
"3638","","2020","166000","aufwand","CHF"
"3639","","2020","1914924.25","aufwand","CHF"
"364","","2020","","aufwand","CHF"
"365","","2020","7207890.96","aufwand","CHF"
"366","","2020","3529730.05","aufwand","CHF"
"369","","2020","","aufwand","CHF"
"380","","2020","114149.2","aufwand","CHF"
"381","","2020","473959.91","aufwand","CHF"
"383","","2020","","aufwand","CHF"
"384","","2020","","aufwand","CHF"
"3860","","2020","","aufwand","CHF"
"3861","","2020","","aufwand","CHF"
"3862","","2020","","aufwand","CHF"
"3863","","2020","","aufwand","CHF"
"3864","","2020","","aufwand","CHF"
"3865","","2020","6025000","aufwand","CHF"
"3866","","2020","2232882.45","aufwand","CHF"
"3867","","2020","","aufwand","CHF"
"3868","","2020","","aufwand","CHF"
"387","","2020","","aufwand","CHF"
"389","","2020","104473.13","aufwand","CHF"
"4000","","2020","122802759.73","ertrag","CHF"
"4001","","2020","26993010.25","ertrag","CHF"
"4002","","2020","3037425.75","ertrag","CHF"
"4008","","2020","","ertrag","CHF"
"4009","","2020","","ertrag","CHF"
"4010","","2020","8001339.63","ertrag","CHF"
"4011","","2020","1929880","ertrag","CHF"
"4012","","2020","","ertrag","CHF"
"4019","","2020","","ertrag","CHF"
"4020","","2020","","ertrag","CHF"
"4021","","2020","","ertrag","CHF"
"4022","","2020","18245379.42","ertrag","CHF"
"4023","","2020","","ertrag","CHF"
"4024","","2020","8122346.9","ertrag","CHF"
"4025","","2020","","ertrag","CHF"
"4030","","2020","22178214.9","ertrag","CHF"
"4031","","2020","","ertrag","CHF"
"4032","","2020","","ertrag","CHF"
"4033","","2020","468285.19","ertrag","CHF"
"4039","","2020","303149.98","ertrag","CHF"
"4040","","2020","","ertrag","CHF"
"4041","","2020","","ertrag","CHF"
"4042","","2020","","ertrag","CHF"
"4043","","2020","","ertrag","CHF"
"4044","","2020","","ertrag","CHF"
"4045","","2020","","ertrag","CHF"
"4046","","2020","","ertrag","CHF"
"4047","","2020","","ertrag","CHF"
"4049","","2020","","ertrag","CHF"
"4050","","2020","","ertrag","CHF"
"4051","","2020","","ertrag","CHF"
"4052","","2020","","ertrag","CHF"
"4053","","2020","","ertrag","CHF"
"4059","","2020","","ertrag","CHF"
"4060","","2020","","ertrag","CHF"
"4070","","2020","","ertrag","CHF"
"4071","","2020","","ertrag","CHF"
"4072","","2020","","ertrag","CHF"
"4079","","2020","","ertrag","CHF"
"410","","2020","147907.25","ertrag","CHF"
"411","","2020","17290383","ertrag","CHF"
"412","","2020","378752.6","ertrag","CHF"
"413","","2020","2842304","ertrag","CHF"
"420","","2020","","ertrag","CHF"
"421","","2020","5278064.92","ertrag","CHF"
"422","","2020","5662834","ertrag","CHF"
"423","","2020","473242","ertrag","CHF"
"424","","2020","2619292.38","ertrag","CHF"
"425","","2020","2311035.5","ertrag","CHF"
"426","","2020","958178.6","ertrag","CHF"
"427","","2020","6134090.22","ertrag","CHF"
"429","","2020","1749.85","ertrag","CHF"
"430","","2020","3400689.55","ertrag","CHF"
"431","","2020","1497267.76","ertrag","CHF"
"432","","2020","","ertrag","CHF"
"439","","2020","180690.71","ertrag","CHF"
"440","","2020","68457.35","ertrag","CHF"
"441","","2020","6104.19","ertrag","CHF"
"442","","2020","220303.46","ertrag","CHF"
"443","","2020","1315469.4","ertrag","CHF"
"444","","2020","","ertrag","CHF"
"445","","2020","28133.14","ertrag","CHF"
"446","","2020","1396205","ertrag","CHF"
"447","","2020","4826206.49","ertrag","CHF"
"448","","2020","164840","ertrag","CHF"
"449","","2020","11410","ertrag","CHF"
"450","","2020","1077043.6","ertrag","CHF"
"451","","2020","3929124.43","ertrag","CHF"
"452","","2020","","ertrag","CHF"
"46000","","2020","21148766.3","ertrag","CHF"
"46001","","2020","2090080","ertrag","CHF"
"46002","","2020","238521.66","ertrag","CHF"
"46003","","2020","173460","ertrag","CHF"
"46004","","2020","","ertrag","CHF"
"46005","","2020","7935241","ertrag","CHF"
"46006","","2020","","ertrag","CHF"
"46007","","2020","","ertrag","CHF"
"46008","","2020","5043819.5","ertrag","CHF"
"46009","","2020","-20630","ertrag","CHF"
"46010","","2020","","ertrag","CHF"
"46011","","2020","","ertrag","CHF"
"46012","","2020","","ertrag","CHF"
"46019","","2020","","ertrag","CHF"
"4603","","2020","","ertrag","CHF"
"4604","","2020","","ertrag","CHF"
"4610","","2020","13283352.7","ertrag","CHF"
"4611","","2020","1137786.75","ertrag","CHF"
"4612","","2020","8835741.46","ertrag","CHF"
"4613","","2020","2105539.4","ertrag","CHF"
"4614","","2020","","ertrag","CHF"
"46201","","2020","17944481","ertrag","CHF"
"46202","","2020","","ertrag","CHF"
"46203","","2020","19964084","ertrag","CHF"
"46204","","2020","","ertrag","CHF"
"46209","","2020","","ertrag","CHF"
"46211","","2020","11962987","ertrag","CHF"
"46212","","2020","","ertrag","CHF"
"46213","","2020","","ertrag","CHF"
"46214","","2020","","ertrag","CHF"
"46215","","2020","","ertrag","CHF"
"46216","","2020","","ertrag","CHF"
"46217","","2020","","ertrag","CHF"
"46225","","2020","","ertrag","CHF"
"46226","","2020","5457900","ertrag","CHF"
"46227","","2020","","ertrag","CHF"
"46228","","2020","","ertrag","CHF"
"4624","","2020","","ertrag","CHF"
"4629","","2020","","ertrag","CHF"
"4630","","2020","67497632.31","ertrag","CHF"
"4631","","2020","3638200.5","ertrag","CHF"
"4632","","2020","17573266.85","ertrag","CHF"
"4633","","2020","","ertrag","CHF"
"4634","","2020","22920.95","ertrag","CHF"
"4635","","2020","182429.45","ertrag","CHF"
"4636","","2020","12055.25","ertrag","CHF"
"4637","","2020","","ertrag","CHF"
"4638","","2020","","ertrag","CHF"
"466","","2020","","ertrag","CHF"
"469","","2020","","ertrag","CHF"
"481","","2020","","ertrag","CHF"
"482","","2020","170935.3","ertrag","CHF"
"483","","2020","184690.23","ertrag","CHF"
"484","","2020","","ertrag","CHF"
"485","","2020","","ertrag","CHF"
"4860","","2020","1051248.32","ertrag","CHF"
"4861","","2020","","ertrag","CHF"
"4862","","2020","","ertrag","CHF"
"4863","","2020","","ertrag","CHF"
"4864","","2020","","ertrag","CHF"
"4865","","2020","140947.5","ertrag","CHF"
"4866","","2020","","ertrag","CHF"
"4867","","2020","","ertrag","CHF"
"4868","","2020","","ertrag","CHF"
"4870","","2020","","ertrag","CHF"
"489","","2020","12139748.55","ertrag","CHF"
