"arten","funk","jahr","value","dim","unit"
"100","","2016","145714696.48","bilanz","CHF"
"101","","2016","3118879834.8","bilanz","CHF"
"102","","2016","296000","bilanz","CHF"
"104","","2016","653509876.49","bilanz","CHF"
"106","","2016","26272280.77","bilanz","CHF"
"107","","2016","247785748","bilanz","CHF"
"108","","2016","33406454","bilanz","CHF"
"109","","2016","","bilanz","CHF"
"140","","2016","1886374449.47","bilanz","CHF"
"141","","2016","","bilanz","CHF"
"142","","2016","3127209","bilanz","CHF"
"143","","2016","702323123","bilanz","CHF"
"144","","2016","","bilanz","CHF"
"145","","2016","1812125","bilanz","CHF"
"146","","2016","742802266","bilanz","CHF"
"147","","2016","","bilanz","CHF"
"148","","2016","","bilanz","CHF"
"200","","2016","935145108.08","bilanz","CHF"
"201","","2016","510072981","bilanz","CHF"
"204","","2016","789828823.93","bilanz","CHF"
"205","","2016","34405993","bilanz","CHF"
"206","","2016","5469267368","bilanz","CHF"
"207","","2016","","bilanz","CHF"
"208","","2016","2017487974","bilanz","CHF"
"209","","2016","697639146","bilanz","CHF"
"290","","2016","","bilanz","CHF"
"292","","2016","","bilanz","CHF"
"293","","2016","","bilanz","CHF"
"294","","2016","164322977","bilanz","CHF"
"295","","2016","","bilanz","CHF"
"296","","2016","","bilanz","CHF"
"298","","2016","","bilanz","CHF"
"299","","2016","-3055866308","bilanz","CHF"
"300","","2016","51327995.38","aufwand","CHF"
"301","","2016","1237883997.75","aufwand","CHF"
"302","","2016","1729294630.53","aufwand","CHF"
"303","","2016","13603105.95","aufwand","CHF"
"304","","2016","4192523.89","aufwand","CHF"
"305","","2016","555014494.35","aufwand","CHF"
"306","","2016","10741367.87","aufwand","CHF"
"309","","2016","26918321.8","aufwand","CHF"
"310","","2016","124086790.59","aufwand","CHF"
"311","","2016","35329014.01","aufwand","CHF"
"312","","2016","39469865.13","aufwand","CHF"
"313","","2016","399809679.96","aufwand","CHF"
"314","","2016","53090135.83","aufwand","CHF"
"315","","2016","39717564.53","aufwand","CHF"
"316","","2016","87799025.81","aufwand","CHF"
"317","","2016","33271848.85","aufwand","CHF"
"318","","2016","111832880.19","aufwand","CHF"
"319","","2016","177909948.01","aufwand","CHF"
"320","","2016","","aufwand","CHF"
"331","","2016","","aufwand","CHF"
"337","","2016","356383553.9","aufwand","CHF"
"338","","2016","24076371.98","aufwand","CHF"
"340","","2016","111185600.68","aufwand","CHF"
"341","","2016","1075207.38","aufwand","CHF"
"342","","2016","913243.52","aufwand","CHF"
"343","","2016","","aufwand","CHF"
"344","","2016","780886","aufwand","CHF"
"349","","2016","","aufwand","CHF"
"350","","2016","55000","aufwand","CHF"
"351","","2016","","aufwand","CHF"
"352","","2016","17127263.03","aufwand","CHF"
"3600","","2016","","aufwand","CHF"
"36010","","2016","","aufwand","CHF"
"36011","","2016","","aufwand","CHF"
"36012","","2016","","aufwand","CHF"
"36013","","2016","","aufwand","CHF"
"36014","","2016","","aufwand","CHF"
"36015","","2016","","aufwand","CHF"
"36016","","2016","","aufwand","CHF"
"36017","","2016","","aufwand","CHF"
"36018","","2016","","aufwand","CHF"
"36019","","2016","","aufwand","CHF"
"36021","","2016","12941880.85","aufwand","CHF"
"36022","","2016","","aufwand","CHF"
"36023","","2016","","aufwand","CHF"
"36029","","2016","189826.7","aufwand","CHF"
"3603","","2016","","aufwand","CHF"
"3604","","2016","","aufwand","CHF"
"3610","","2016","","aufwand","CHF"
"3611","","2016","41545535.27","aufwand","CHF"
"3612","","2016","379654584.4","aufwand","CHF"
"3613","","2016","","aufwand","CHF"
"3614","","2016","61489573.14","aufwand","CHF"
"3620","","2016","","aufwand","CHF"
"36211","","2016","","aufwand","CHF"
"36212","","2016","","aufwand","CHF"
"36213","","2016","","aufwand","CHF"
"36214","","2016","15010929","aufwand","CHF"
"36215","","2016","","aufwand","CHF"
"36216","","2016","","aufwand","CHF"
"36217","","2016","","aufwand","CHF"
"36219","","2016","","aufwand","CHF"
"36221","","2016","","aufwand","CHF"
"36222","","2016","","aufwand","CHF"
"36223","","2016","","aufwand","CHF"
"36224","","2016","","aufwand","CHF"
"36225","","2016","34554440","aufwand","CHF"
"36226","","2016","142539661","aufwand","CHF"
"36227","","2016","","aufwand","CHF"
"36228","","2016","","aufwand","CHF"
"3624","","2016","","aufwand","CHF"
"3629","","2016","1708834","aufwand","CHF"
"3630","","2016","","aufwand","CHF"
"3631","","2016","125241678.81","aufwand","CHF"
"3632","","2016","84568205.95","aufwand","CHF"
"3633","","2016","22564550.2","aufwand","CHF"
"3634","","2016","1260235235.62","aufwand","CHF"
"3635","","2016","1590467848.02","aufwand","CHF"
"3636","","2016","1170858106.4","aufwand","CHF"
"3637","","2016","844328664.75","aufwand","CHF"
"3638","","2016","9962018","aufwand","CHF"
"3639","","2016","33223601.84","aufwand","CHF"
"364","","2016","","aufwand","CHF"
"365","","2016","","aufwand","CHF"
"366","","2016","","aufwand","CHF"
"369","","2016","","aufwand","CHF"
"380","","2016","8423000","aufwand","CHF"
"381","","2016","","aufwand","CHF"
"383","","2016","","aufwand","CHF"
"384","","2016","","aufwand","CHF"
"3860","","2016","","aufwand","CHF"
"3861","","2016","","aufwand","CHF"
"3862","","2016","","aufwand","CHF"
"3863","","2016","","aufwand","CHF"
"3864","","2016","","aufwand","CHF"
"3865","","2016","","aufwand","CHF"
"3866","","2016","","aufwand","CHF"
"3867","","2016","","aufwand","CHF"
"3868","","2016","","aufwand","CHF"
"387","","2016","","aufwand","CHF"
"389","","2016","","aufwand","CHF"
"4000","","2016","3590542827.34","ertrag","CHF"
"4001","","2016","355621849.2","ertrag","CHF"
"4002","","2016","130164021","ertrag","CHF"
"4008","","2016","","ertrag","CHF"
"4009","","2016","","ertrag","CHF"
"4010","","2016","579589399.54","ertrag","CHF"
"4011","","2016","16360496.5","ertrag","CHF"
"4012","","2016","","ertrag","CHF"
"4019","","2016","","ertrag","CHF"
"4020","","2016","","ertrag","CHF"
"4021","","2016","","ertrag","CHF"
"4022","","2016","107023443.3","ertrag","CHF"
"4023","","2016","81032050.76","ertrag","CHF"
"4024","","2016","64709414.65","ertrag","CHF"
"4025","","2016","1837847","ertrag","CHF"
"4030","","2016","257034831.4","ertrag","CHF"
"4031","","2016","","ertrag","CHF"
"4032","","2016","","ertrag","CHF"
"4033","","2016","","ertrag","CHF"
"4039","","2016","6088079.12","ertrag","CHF"
"4040","","2016","","ertrag","CHF"
"4041","","2016","","ertrag","CHF"
"4042","","2016","","ertrag","CHF"
"4043","","2016","","ertrag","CHF"
"4044","","2016","","ertrag","CHF"
"4045","","2016","","ertrag","CHF"
"4046","","2016","","ertrag","CHF"
"4047","","2016","","ertrag","CHF"
"4049","","2016","","ertrag","CHF"
"4050","","2016","","ertrag","CHF"
"4051","","2016","","ertrag","CHF"
"4052","","2016","","ertrag","CHF"
"4053","","2016","","ertrag","CHF"
"4059","","2016","","ertrag","CHF"
"4060","","2016","","ertrag","CHF"
"4070","","2016","","ertrag","CHF"
"4071","","2016","","ertrag","CHF"
"4072","","2016","","ertrag","CHF"
"4079","","2016","","ertrag","CHF"
"410","","2016","4313275.74","ertrag","CHF"
"411","","2016","81849038","ertrag","CHF"
"412","","2016","47422649.45","ertrag","CHF"
"413","","2016","53272734","ertrag","CHF"
"420","","2016","4449100","ertrag","CHF"
"421","","2016","228765059.49","ertrag","CHF"
"422","","2016","59828193.56","ertrag","CHF"
"423","","2016","61018461.96","ertrag","CHF"
"424","","2016","167986313.01","ertrag","CHF"
"425","","2016","41536924.39","ertrag","CHF"
"426","","2016","229882943.5","ertrag","CHF"
"427","","2016","80022215.47","ertrag","CHF"
"429","","2016","","ertrag","CHF"
"430","","2016","","ertrag","CHF"
"431","","2016","3180497.44","ertrag","CHF"
"432","","2016","","ertrag","CHF"
"439","","2016","5684225.47","ertrag","CHF"
"440","","2016","28727187.4","ertrag","CHF"
"441","","2016","27413750.93","ertrag","CHF"
"442","","2016","","ertrag","CHF"
"443","","2016","340974.27","ertrag","CHF"
"444","","2016","768009","ertrag","CHF"
"445","","2016","643253.15","ertrag","CHF"
"446","","2016","81892475.26","ertrag","CHF"
"447","","2016","16418699.39","ertrag","CHF"
"448","","2016","","ertrag","CHF"
"449","","2016","","ertrag","CHF"
"450","","2016","","ertrag","CHF"
"451","","2016","","ertrag","CHF"
"452","","2016","54948046.63","ertrag","CHF"
"46000","","2016","249845998","ertrag","CHF"
"46001","","2016","67256742","ertrag","CHF"
"46002","","2016","3997869","ertrag","CHF"
"46003","","2016","3034374","ertrag","CHF"
"46004","","2016","","ertrag","CHF"
"46005","","2016","46013781.43","ertrag","CHF"
"46006","","2016","","ertrag","CHF"
"46007","","2016","518707","ertrag","CHF"
"46008","","2016","61289482","ertrag","CHF"
