"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","129893478.27","bilanz","ktn_be","CHF","fs"
"101","","2017","3006645407.61","bilanz","ktn_be","CHF","fs"
"102","","2017","338000","bilanz","ktn_be","CHF","fs"
"104","","2017","791433350.99","bilanz","ktn_be","CHF","fs"
"106","","2017","23231179.25","bilanz","ktn_be","CHF","fs"
"107","","2017","147692157.5","bilanz","ktn_be","CHF","fs"
"108","","2017","175866607.5","bilanz","ktn_be","CHF","fs"
"109","","2017","","bilanz","ktn_be","CHF","fs"
"140","","2017","5234700065.65","bilanz","ktn_be","CHF","fs"
"141","","2017","","bilanz","ktn_be","CHF","fs"
"142","","2017","39217473.23","bilanz","ktn_be","CHF","fs"
"143","","2017","","bilanz","ktn_be","CHF","fs"
"144","","2017","591362368.19","bilanz","ktn_be","CHF","fs"
"145","","2017","601461603.85","bilanz","ktn_be","CHF","fs"
"146","","2017","1839707725.47","bilanz","ktn_be","CHF","fs"
"147","","2017","","bilanz","ktn_be","CHF","fs"
"148","","2017","","bilanz","ktn_be","CHF","fs"
"200","","2017","1083764159.04","bilanz","ktn_be","CHF","fs"
"201","","2017","625609199.01","bilanz","ktn_be","CHF","fs"
"204","","2017","989363207.78","bilanz","ktn_be","CHF","fs"
"205","","2017","347620083.31","bilanz","ktn_be","CHF","fs"
"206","","2017","6431202386.46","bilanz","ktn_be","CHF","fs"
"207","","2017","","bilanz","ktn_be","CHF","fs"
"208","","2017","1729723422.05","bilanz","ktn_be","CHF","fs"
"209","","2017","201999932.51","bilanz","ktn_be","CHF","fs"
"290","","2017","68200418.95","bilanz","ktn_be","CHF","fs"
"292","","2017","","bilanz","ktn_be","CHF","fs"
"293","","2017","502476958.83","bilanz","ktn_be","CHF","fs"
"294","","2017","223849425","bilanz","ktn_be","CHF","fs"
"295","","2017","573384351.63","bilanz","ktn_be","CHF","fs"
"296","","2017","146622191.26","bilanz","ktn_be","CHF","fs"
"298","","2017","176542.97","bilanz","ktn_be","CHF","fs"
"299","","2017","-342442861.29","bilanz","ktn_be","CHF","fs"
"empty","","2017","","er","ktn_be","CHF","fs"
"empty","","2017","","er","ktn_be","CHF","fs"
"empty","","2017","","er","ktn_be","CHF","fs"
"empty","","2017","","er","ktn_be","CHF","fs"
"300","","2017","51869205.03","aufwand","ktn_be","CHF","fs"
"301","","2017","1262359590.91","aufwand","ktn_be","CHF","fs"
"302","","2017","1781088240.03","aufwand","ktn_be","CHF","fs"
"303","","2017","13429925.82","aufwand","ktn_be","CHF","fs"
"304","","2017","5270215.54","aufwand","ktn_be","CHF","fs"
"305","","2017","586627344.59","aufwand","ktn_be","CHF","fs"
"306","","2017","-1248205.43","aufwand","ktn_be","CHF","fs"
"309","","2017","24396060.62","aufwand","ktn_be","CHF","fs"
"310","","2017","125244131.11","aufwand","ktn_be","CHF","fs"
"311","","2017","38265029.27","aufwand","ktn_be","CHF","fs"
"312","","2017","36688150.29","aufwand","ktn_be","CHF","fs"
"313","","2017","398060947.8","aufwand","ktn_be","CHF","fs"
"314","","2017","70887657.47","aufwand","ktn_be","CHF","fs"
"315","","2017","33221256.31","aufwand","ktn_be","CHF","fs"
"316","","2017","92901775.29","aufwand","ktn_be","CHF","fs"
"317","","2017","33840049.06","aufwand","ktn_be","CHF","fs"
