"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","304828925.89","bilanz","ktn_bl","CHF","fs"
"101","","2016","936346030.46","bilanz","ktn_bl","CHF","fs"
"102","","2016","54831170.84","bilanz","ktn_bl","CHF","fs"
"104","","2016","451411734.99","bilanz","ktn_bl","CHF","fs"
"106","","2016","4854888.51","bilanz","ktn_bl","CHF","fs"
"107","","2016","97236327","bilanz","ktn_bl","CHF","fs"
"108","","2016","358879868.4","bilanz","ktn_bl","CHF","fs"
"109","","2016","","bilanz","ktn_bl","CHF","fs"
"140","","2016","1596759751.53","bilanz","ktn_bl","CHF","fs"
"141","","2016","","bilanz","ktn_bl","CHF","fs"
"142","","2016","","bilanz","ktn_bl","CHF","fs"
"143","","2016","","bilanz","ktn_bl","CHF","fs"
"144","","2016","312974689.92","bilanz","ktn_bl","CHF","fs"
"145","","2016","335972063.29","bilanz","ktn_bl","CHF","fs"
"146","","2016","150346475.85","bilanz","ktn_bl","CHF","fs"
"147","","2016","","bilanz","ktn_bl","CHF","fs"
"148","","2016","","bilanz","ktn_bl","CHF","fs"
"200","","2016","1260821526.63","bilanz","ktn_bl","CHF","fs"
"201","","2016","25353621.08","bilanz","ktn_bl","CHF","fs"
"204","","2016","206051945.22","bilanz","ktn_bl","CHF","fs"
"205","","2016","16775586.54","bilanz","ktn_bl","CHF","fs"
"206","","2016","3091274342.67","bilanz","ktn_bl","CHF","fs"
"207","","2016","","bilanz","ktn_bl","CHF","fs"
"208","","2016","480782714.29","bilanz","ktn_bl","CHF","fs"
"209","","2016","","bilanz","ktn_bl","CHF","fs"
"290","","2016","","bilanz","ktn_bl","CHF","fs"
"292","","2016","","bilanz","ktn_bl","CHF","fs"
"293","","2016","","bilanz","ktn_bl","CHF","fs"
"294","","2016","","bilanz","ktn_bl","CHF","fs"
"295","","2016","","bilanz","ktn_bl","CHF","fs"
"296","","2016","","bilanz","ktn_bl","CHF","fs"
"298","","2016","","bilanz","ktn_bl","CHF","fs"
"299","","2016","-476617809.75","bilanz","ktn_bl","CHF","fs"
"empty","","2016","","er","ktn_bl","CHF","fs"
"empty","","2016","","er","ktn_bl","CHF","fs"
"empty","","2016","","er","ktn_bl","CHF","fs"
"empty","","2016","","er","ktn_bl","CHF","fs"
"300","","2016","6237091.27","aufwand","ktn_bl","CHF","fs"
"301","","2016","305032620.9","aufwand","ktn_bl","CHF","fs"
"302","","2016","172133917.75","aufwand","ktn_bl","CHF","fs"
"303","","2016","282447.97","aufwand","ktn_bl","CHF","fs"
"304","","2016","7251355.79","aufwand","ktn_bl","CHF","fs"
"305","","2016","84664050.16","aufwand","ktn_bl","CHF","fs"
"306","","2016","1488.6","aufwand","ktn_bl","CHF","fs"
"309","","2016","4158171.64","aufwand","ktn_bl","CHF","fs"
"310","","2016","21755784.62","aufwand","ktn_bl","CHF","fs"
"311","","2016","14882807.11","aufwand","ktn_bl","CHF","fs"
"312","","2016","9852993.42","aufwand","ktn_bl","CHF","fs"
"313","","2016","81268036.29","aufwand","ktn_bl","CHF","fs"
"314","","2016","26269366.31","aufwand","ktn_bl","CHF","fs"
"315","","2016","10788294.83","aufwand","ktn_bl","CHF","fs"
"316","","2016","18133520.8","aufwand","ktn_bl","CHF","fs"
"317","","2016","6015659.03","aufwand","ktn_bl","CHF","fs"
"318","","2016","33579896.17","aufwand","ktn_bl","CHF","fs"
"319","","2016","15394332.81","aufwand","ktn_bl","CHF","fs"
"320","","2016","","aufwand","ktn_bl","CHF","fs"
"331","","2016","","aufwand","ktn_bl","CHF","fs"
"337","","2016","62678572.14","aufwand","ktn_bl","CHF","fs"
"338","","2016","","aufwand","ktn_bl","CHF","fs"
"340","","2016","46637047.07","aufwand","ktn_bl","CHF","fs"
"341","","2016","854550.75","aufwand","ktn_bl","CHF","fs"
"342","","2016","956754.75","aufwand","ktn_bl","CHF","fs"
"343","","2016","1979328.12","aufwand","ktn_bl","CHF","fs"
"344","","2016","604209.45","aufwand","ktn_bl","CHF","fs"
"349","","2016","990905.47","aufwand","ktn_bl","CHF","fs"
"350","","2016","","aufwand","ktn_bl","CHF","fs"
"351","","2016","","aufwand","ktn_bl","CHF","fs"
"352","","2016","","aufwand","ktn_bl","CHF","fs"
"3600","","2016","","aufwand","ktn_bl","CHF","fs"
"36010","","2016","","aufwand","ktn_bl","CHF","fs"
"36011","","2016","","aufwand","ktn_bl","CHF","fs"
"36012","","2016","","aufwand","ktn_bl","CHF","fs"
"36013","","2016","","aufwand","ktn_bl","CHF","fs"
"36014","","2016","","aufwand","ktn_bl","CHF","fs"
"36015","","2016","","aufwand","ktn_bl","CHF","fs"
"36016","","2016","","aufwand","ktn_bl","CHF","fs"
"36017","","2016","","aufwand","ktn_bl","CHF","fs"
"36018","","2016","","aufwand","ktn_bl","CHF","fs"
"36019","","2016","","aufwand","ktn_bl","CHF","fs"
"36021","","2016","","aufwand","ktn_bl","CHF","fs"
"36022","","2016","","aufwand","ktn_bl","CHF","fs"
"36023","","2016","1727779.8","aufwand","ktn_bl","CHF","fs"
"36029","","2016","","aufwand","ktn_bl","CHF","fs"
"3603","","2016","","aufwand","ktn_bl","CHF","fs"
"3604","","2016","","aufwand","ktn_bl","CHF","fs"
"3610","","2016","","aufwand","ktn_bl","CHF","fs"
"3611","","2016","3378110.6","aufwand","ktn_bl","CHF","fs"
"3612","","2016","57586611.81","aufwand","ktn_bl","CHF","fs"
"3613","","2016","","aufwand","ktn_bl","CHF","fs"
"3614","","2016","389008930.37","aufwand","ktn_bl","CHF","fs"
"3620","","2016","","aufwand","ktn_bl","CHF","fs"
"36211","","2016","","aufwand","ktn_bl","CHF","fs"
"36212","","2016","","aufwand","ktn_bl","CHF","fs"
"36213","","2016","","aufwand","ktn_bl","CHF","fs"
"36214","","2016","4051046","aufwand","ktn_bl","CHF","fs"
"36215","","2016","","aufwand","ktn_bl","CHF","fs"
"36216","","2016","","aufwand","ktn_bl","CHF","fs"
"36217","","2016","","aufwand","ktn_bl","CHF","fs"
"36219","","2016","","aufwand","ktn_bl","CHF","fs"
"36221","","2016","","aufwand","ktn_bl","CHF","fs"
"36222","","2016","","aufwand","ktn_bl","CHF","fs"
"36223","","2016","","aufwand","ktn_bl","CHF","fs"
"36224","","2016","","aufwand","ktn_bl","CHF","fs"
"36225","","2016","","aufwand","ktn_bl","CHF","fs"
"36226","","2016","80188954","aufwand","ktn_bl","CHF","fs"
"36227","","2016","","aufwand","ktn_bl","CHF","fs"
"36228","","2016","","aufwand","ktn_bl","CHF","fs"
"3624","","2016","","aufwand","ktn_bl","CHF","fs"
"3629","","2016","","aufwand","ktn_bl","CHF","fs"
"3630","","2016","","aufwand","ktn_bl","CHF","fs"
"3631","","2016","287289541.74","aufwand","ktn_bl","CHF","fs"
"3632","","2016","6072756.28","aufwand","ktn_bl","CHF","fs"
"3633","","2016","5211337.7","aufwand","ktn_bl","CHF","fs"
"3634","","2016","77046091.14","aufwand","ktn_bl","CHF","fs"
"3635","","2016","69681593.13","aufwand","ktn_bl","CHF","fs"
"3636","","2016","286566522.98","aufwand","ktn_bl","CHF","fs"
"3637","","2016","329934182.32","aufwand","ktn_bl","CHF","fs"
"3638","","2016","1082011.08","aufwand","ktn_bl","CHF","fs"
"3639","","2016","8539200.38","aufwand","ktn_bl","CHF","fs"
"364","","2016","","aufwand","ktn_bl","CHF","fs"
"365","","2016","2.3e+07","aufwand","ktn_bl","CHF","fs"
"366","","2016","2098893.41","aufwand","ktn_bl","CHF","fs"
"369","","2016","","aufwand","ktn_bl","CHF","fs"
"380","","2016","288385510.54","aufwand","ktn_bl","CHF","fs"
"381","","2016","","aufwand","ktn_bl","CHF","fs"
"383","","2016","","aufwand","ktn_bl","CHF","fs"
"384","","2016","","aufwand","ktn_bl","CHF","fs"
