"arten","funk","jahr","value","dim","unit"
"100","","2023","331572051.45","bilanz","CHF"
"101","","2023","1185728887.05","bilanz","CHF"
"102","","2023","","bilanz","CHF"
"104","","2023","471785477.97","bilanz","CHF"
"106","","2023","5416713.34","bilanz","CHF"
"107","","2023","83992848.7","bilanz","CHF"
"108","","2023","419676573.35","bilanz","CHF"
"109","","2023","","bilanz","CHF"
"140","","2023","1955039922.5","bilanz","CHF"
"141","","2023","","bilanz","CHF"
"142","","2023","","bilanz","CHF"
"143","","2023","","bilanz","CHF"
"144","","2023","182253451","bilanz","CHF"
"145","","2023","405246805.99","bilanz","CHF"
"146","","2023","166908638.23","bilanz","CHF"
"147","","2023","","bilanz","CHF"
"148","","2023","","bilanz","CHF"
"200","","2023","1721941816.21","bilanz","CHF"
"201","","2023","175004643.64","bilanz","CHF"
"204","","2023","331347034.36","bilanz","CHF"
"205","","2023","29506106.64","bilanz","CHF"
"206","","2023","2184534657.74","bilanz","CHF"
"207","","2023","","bilanz","CHF"
"208","","2023","443916613.64","bilanz","CHF"
"209","","2023","60072465.61","bilanz","CHF"
"290","","2023","97255574.43","bilanz","CHF"
"292","","2023","","bilanz","CHF"
"293","","2023","","bilanz","CHF"
"294","","2023","","bilanz","CHF"
"295","","2023","","bilanz","CHF"
"296","","2023","","bilanz","CHF"
"298","","2023","","bilanz","CHF"
"299","","2023","164042457.31","bilanz","CHF"
"300","","2023","6104800.14","aufwand","CHF"
"301","","2023","354277376.4","aufwand","CHF"
"302","","2023","206318169.67","aufwand","CHF"
"303","","2023","92165.3","aufwand","CHF"
"304","","2023","12813900.25","aufwand","CHF"
"305","","2023","103291818.31","aufwand","CHF"
"306","","2023","","aufwand","CHF"
"309","","2023","6305787.19","aufwand","CHF"
"310","","2023","23974993.26","aufwand","CHF"
"311","","2023","23692720.75","aufwand","CHF"
"312","","2023","19483415.17","aufwand","CHF"
"313","","2023","106641080.14","aufwand","CHF"
"314","","2023","41816849.03","aufwand","CHF"
"315","","2023","14528529.58","aufwand","CHF"
"316","","2023","20887671.88","aufwand","CHF"
"317","","2023","9636061.28","aufwand","CHF"
"318","","2023","15754661.82","aufwand","CHF"
"319","","2023","51774546.97","aufwand","CHF"
"320","","2023","","aufwand","CHF"
"331","","2023","","aufwand","CHF"
"337","","2023","105641167.08","aufwand","CHF"
"338","","2023","1495451.92","aufwand","CHF"
"340","","2023","27987640.86","aufwand","CHF"
"341","","2023","27190.13","aufwand","CHF"
"342","","2023","558172.9","aufwand","CHF"
"343","","2023","3347622.9","aufwand","CHF"
"344","","2023","2645139.53","aufwand","CHF"
"349","","2023","1520971.72","aufwand","CHF"
"350","","2023","11369189.95","aufwand","CHF"
"351","","2023","","aufwand","CHF"
"352","","2023","","aufwand","CHF"
"3600","","2023","","aufwand","CHF"
"36010","","2023","","aufwand","CHF"
"36011","","2023","","aufwand","CHF"
"36012","","2023","","aufwand","CHF"
"36013","","2023","","aufwand","CHF"
"36014","","2023","","aufwand","CHF"
"36015","","2023","","aufwand","CHF"
"36016","","2023","","aufwand","CHF"
"36017","","2023","","aufwand","CHF"
"36018","","2023","","aufwand","CHF"
"36019","","2023","","aufwand","CHF"
"36021","","2023","","aufwand","CHF"
"36022","","2023","","aufwand","CHF"
"36023","","2023","1770614.28","aufwand","CHF"
"36029","","2023","11141228.2","aufwand","CHF"
"3603","","2023","","aufwand","CHF"
"3604","","2023","","aufwand","CHF"
"3610","","2023","","aufwand","CHF"
"3611","","2023","2750362.65","aufwand","CHF"
"3612","","2023","53938574.19","aufwand","CHF"
"3613","","2023","","aufwand","CHF"
"3614","","2023","441628443.96","aufwand","CHF"
"3620","","2023","","aufwand","CHF"
"36211","","2023","","aufwand","CHF"
"36212","","2023","","aufwand","CHF"
"36213","","2023","","aufwand","CHF"
"36214","","2023","2491254","aufwand","CHF"
"36215","","2023","","aufwand","CHF"
"36216","","2023","","aufwand","CHF"
"36217","","2023","","aufwand","CHF"
"36219","","2023","","aufwand","CHF"
"36221","","2023","","aufwand","CHF"
"36222","","2023","","aufwand","CHF"
"36223","","2023","","aufwand","CHF"
"36224","","2023","","aufwand","CHF"
"36225","","2023","","aufwand","CHF"
"36226","","2023","79470000","aufwand","CHF"
"36227","","2023","","aufwand","CHF"
"36228","","2023","","aufwand","CHF"
"3624","","2023","","aufwand","CHF"
"3629","","2023","","aufwand","CHF"
"3630","","2023","","aufwand","CHF"
"3631","","2023","298422077.67","aufwand","CHF"
"3632","","2023","7442511.81","aufwand","CHF"
"3633","","2023","6072208.8","aufwand","CHF"
"3634","","2023","93526509.48","aufwand","CHF"
"3635","","2023","70438023.08","aufwand","CHF"
"3636","","2023","373525275.84","aufwand","CHF"
"3637","","2023","343405728.7","aufwand","CHF"
"3638","","2023","1136766.95","aufwand","CHF"
"3639","","2023","7103283.01","aufwand","CHF"
"364","","2023","","aufwand","CHF"
"365","","2023","24839927","aufwand","CHF"
"366","","2023","6683725.44","aufwand","CHF"
"369","","2023","","aufwand","CHF"
"380","","2023","","aufwand","CHF"
"381","","2023","","aufwand","CHF"
"383","","2023","","aufwand","CHF"
"384","","2023","","aufwand","CHF"
"3860","","2023","","aufwand","CHF"
"3861","","2023","","aufwand","CHF"
"3862","","2023","38976910","aufwand","CHF"
"3863","","2023","","aufwand","CHF"
"3864","","2023","","aufwand","CHF"
"3865","","2023","","aufwand","CHF"
"3866","","2023","","aufwand","CHF"
"3867","","2023","","aufwand","CHF"
"3868","","2023","","aufwand","CHF"
"387","","2023","","aufwand","CHF"
"389","","2023","","aufwand","CHF"
"4000","","2023","1284642880.86","ertrag","CHF"
"4001","","2023","132100000","ertrag","CHF"
"4002","","2023","52108387.05","ertrag","CHF"
"4008","","2023","","ertrag","CHF"
"4009","","2023","","ertrag","CHF"
"4010","","2023","178850000","ertrag","CHF"
"4011","","2023","33600000","ertrag","CHF"
"4012","","2023","","ertrag","CHF"
"4019","","2023","","ertrag","CHF"
"4020","","2023","","ertrag","CHF"
"4021","","2023","","ertrag","CHF"
"4022","","2023","81134571","ertrag","CHF"
"4023","","2023","54683911.25","ertrag","CHF"
"4024","","2023","32936476.7","ertrag","CHF"
"4025","","2023","","ertrag","CHF"
"4030","","2023","104615719.15","ertrag","CHF"
"4031","","2023","","ertrag","CHF"
"4032","","2023","","ertrag","CHF"
"4033","","2023","","ertrag","CHF"
"4039","","2023","1032821.5","ertrag","CHF"
"4040","","2023","","ertrag","CHF"
"4041","","2023","","ertrag","CHF"
"4042","","2023","","ertrag","CHF"
"4043","","2023","","ertrag","CHF"
"4044","","2023","","ertrag","CHF"
"4045","","2023","","ertrag","CHF"
"4046","","2023","","ertrag","CHF"
"4047","","2023","","ertrag","CHF"
"4049","","2023","","ertrag","CHF"
"4050","","2023","","ertrag","CHF"
"4051","","2023","","ertrag","CHF"
"4052","","2023","","ertrag","CHF"
"4053","","2023","","ertrag","CHF"
"4059","","2023","","ertrag","CHF"
"4060","","2023","","ertrag","CHF"
"4070","","2023","","ertrag","CHF"
"4071","","2023","","ertrag","CHF"
"4072","","2023","","ertrag","CHF"
"4079","","2023","","ertrag","CHF"
"410","","2023","24552.45","ertrag","CHF"
"411","","2023","","ertrag","CHF"
"412","","2023","7583271.3","ertrag","CHF"
"413","","2023","16416302","ertrag","CHF"
"420","","2023","1551500","ertrag","CHF"
"421","","2023","71078275.48","ertrag","CHF"
"422","","2023","117327.55","ertrag","CHF"
"423","","2023","1058503.37","ertrag","CHF"
"424","","2023","2327762.43","ertrag","CHF"
"425","","2023","12886535.66","ertrag","CHF"
"426","","2023","13185801.89","ertrag","CHF"
"427","","2023","19019736.27","ertrag","CHF"
"429","","2023","1414778.07","ertrag","CHF"
"430","","2023","3522759.24","ertrag","CHF"
"431","","2023","","ertrag","CHF"
"432","","2023","","ertrag","CHF"
"439","","2023","4769893.58","ertrag","CHF"
"440","","2023","21436481.49","ertrag","CHF"
"441","","2023","5588037","ertrag","CHF"
"442","","2023","","ertrag","CHF"
"443","","2023","13952172.03","ertrag","CHF"
"444","","2023","7376206.9","ertrag","CHF"
"445","","2023","1755165.2","ertrag","CHF"
"446","","2023","74506703.63","ertrag","CHF"
"447","","2023","15884636.62","ertrag","CHF"
"448","","2023","","ertrag","CHF"
"449","","2023","860520.61","ertrag","CHF"
"450","","2023","11352768.64","ertrag","CHF"
"451","","2023","10081193.7","ertrag","CHF"
"452","","2023","","ertrag","CHF"
"46000","","2023","164480446.46","ertrag","CHF"
"46001","","2023","14817846","ertrag","CHF"
"46002","","2023","805498.64","ertrag","CHF"
"46003","","2023","889114","ertrag","CHF"
"46004","","2023","","ertrag","CHF"
"46005","","2023","3778000","ertrag","CHF"
"46006","","2023","","ertrag","CHF"
"46007","","2023","","ertrag","CHF"
"46008","","2023","12395090","ertrag","CHF"
"46009","","2023","-876","ertrag","CHF"
"46010","","2023","","ertrag","CHF"
"46011","","2023","","ertrag","CHF"
"46012","","2023","","ertrag","CHF"
"46019","","2023","","ertrag","CHF"
"4603","","2023","","ertrag","CHF"
"4604","","2023","","ertrag","CHF"
"4610","","2023","52419592.53","ertrag","CHF"
"4611","","2023","32768177.57","ertrag","CHF"
"4612","","2023","4651534.44","ertrag","CHF"
"4613","","2023","16521228.77","ertrag","CHF"
"4614","","2023","2637090.75","ertrag","CHF"
"46201","","2023","4749993","ertrag","CHF"
"46202","","2023","","ertrag","CHF"
"46203","","2023","","ertrag","CHF"
"46204","","2023","","ertrag","CHF"
"46209","","2023","8934358","ertrag","CHF"
"46211","","2023","3166662","ertrag","CHF"
"46212","","2023","","ertrag","CHF"
"46213","","2023","","ertrag","CHF"
"46214","","2023","","ertrag","CHF"
"46215","","2023","","ertrag","CHF"
"46216","","2023","","ertrag","CHF"
"46217","","2023","","ertrag","CHF"
"46225","","2023","","ertrag","CHF"
"46226","","2023","6650000","ertrag","CHF"
"46227","","2023","","ertrag","CHF"
"46228","","2023","","ertrag","CHF"
"4624","","2023","","ertrag","CHF"
