"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","185220751.18","bilanz","ktn_fr","CHF","fs"
"101","","2016","900073005.64","bilanz","ktn_fr","CHF","fs"
"102","","2016","","bilanz","ktn_fr","CHF","fs"
"104","","2016","112194747.43","bilanz","ktn_fr","CHF","fs"
"106","","2016","5967751","bilanz","ktn_fr","CHF","fs"
"107","","2016","1076423457.8","bilanz","ktn_fr","CHF","fs"
"108","","2016","","bilanz","ktn_fr","CHF","fs"
"109","","2016","","bilanz","ktn_fr","CHF","fs"
"140","","2016","554790036.2","bilanz","ktn_fr","CHF","fs"
"141","","2016","","bilanz","ktn_fr","CHF","fs"
"142","","2016","476966.45","bilanz","ktn_fr","CHF","fs"
"143","","2016","","bilanz","ktn_fr","CHF","fs"
"144","","2016","169929081","bilanz","ktn_fr","CHF","fs"
"145","","2016","142505029","bilanz","ktn_fr","CHF","fs"
"146","","2016","","bilanz","ktn_fr","CHF","fs"
"147","","2016","","bilanz","ktn_fr","CHF","fs"
"148","","2016","","bilanz","ktn_fr","CHF","fs"
"200","","2016","634828918.29","bilanz","ktn_fr","CHF","fs"
"201","","2016","214841725","bilanz","ktn_fr","CHF","fs"
"204","","2016","331036833.53","bilanz","ktn_fr","CHF","fs"
"205","","2016","","bilanz","ktn_fr","CHF","fs"
"206","","2016","26964228","bilanz","ktn_fr","CHF","fs"
"207","","2016","","bilanz","ktn_fr","CHF","fs"
"208","","2016","160525168.85","bilanz","ktn_fr","CHF","fs"
"209","","2016","59733543","bilanz","ktn_fr","CHF","fs"
"290","","2016","115688255","bilanz","ktn_fr","CHF","fs"
"292","","2016","4e+07","bilanz","ktn_fr","CHF","fs"
"293","","2016","284225983","bilanz","ktn_fr","CHF","fs"
"294","","2016","103500000","bilanz","ktn_fr","CHF","fs"
"295","","2016","","bilanz","ktn_fr","CHF","fs"
"296","","2016","","bilanz","ktn_fr","CHF","fs"
"298","","2016","","bilanz","ktn_fr","CHF","fs"
"299","","2016","1176236171.03","bilanz","ktn_fr","CHF","fs"
"empty","","2016","","er","ktn_fr","CHF","fs"
"empty","","2016","","er","ktn_fr","CHF","fs"
"empty","","2016","","er","ktn_fr","CHF","fs"
"empty","","2016","","er","ktn_fr","CHF","fs"
"300","","2016","15426875.56","aufwand","ktn_fr","CHF","fs"
"301","","2016","473525989.33","aufwand","ktn_fr","CHF","fs"
"302","","2016","563382374","aufwand","ktn_fr","CHF","fs"
"303","","2016","112792.5","aufwand","ktn_fr","CHF","fs"
"304","","2016","14065143.95","aufwand","ktn_fr","CHF","fs"
"305","","2016","190300493.57","aufwand","ktn_fr","CHF","fs"
"306","","2016","15078982","aufwand","ktn_fr","CHF","fs"
"309","","2016","6619657.54","aufwand","ktn_fr","CHF","fs"
"310","","2016","38825598.68","aufwand","ktn_fr","CHF","fs"
