"arten","funk","jahr","value","dim","unit"
"100","","2017","202459214.44","bilanz","CHF"
"101","","2017","824836113.45","bilanz","CHF"
"102","","2017","","bilanz","CHF"
"104","","2017","133927250.69","bilanz","CHF"
"106","","2017","6013822","bilanz","CHF"
"107","","2017","1044941082.78","bilanz","CHF"
"108","","2017","2","bilanz","CHF"
"109","","2017","","bilanz","CHF"
"140","","2017","560464973.58","bilanz","CHF"
"141","","2017","","bilanz","CHF"
"142","","2017","400987.35","bilanz","CHF"
"143","","2017","","bilanz","CHF"
"144","","2017","170074353","bilanz","CHF"
"145","","2017","141755029","bilanz","CHF"
"146","","2017","9e+06","bilanz","CHF"
"147","","2017","","bilanz","CHF"
"148","","2017","","bilanz","CHF"
"200","","2017","559947285.66","bilanz","CHF"
"201","","2017","215283718","bilanz","CHF"
"204","","2017","340725928.61","bilanz","CHF"
"205","","2017","","bilanz","CHF"
"206","","2017","28946685","bilanz","CHF"
"207","","2017","","bilanz","CHF"
"208","","2017","183229050.85","bilanz","CHF"
"209","","2017","63793673","bilanz","CHF"
"290","","2017","125805289","bilanz","CHF"
"292","","2017","4e+07","bilanz","CHF"
"293","","2017","240155050","bilanz","CHF"
"294","","2017","103500000","bilanz","CHF"
"295","","2017","","bilanz","CHF"
"296","","2017","","bilanz","CHF"
"298","","2017","","bilanz","CHF"
"299","","2017","1192486148.17","bilanz","CHF"
"300","","2017","15400931.8","aufwand","CHF"
"301","","2017","497045339.96","aufwand","CHF"
"302","","2017","575557188","aufwand","CHF"
"303","","2017","110520","aufwand","CHF"
"304","","2017","13963209.05","aufwand","CHF"
"305","","2017","209695903.45","aufwand","CHF"
"306","","2017","15619795","aufwand","CHF"
"309","","2017","7180810.6","aufwand","CHF"
"310","","2017","38662208.33","aufwand","CHF"
"311","","2017","34627539.05","aufwand","CHF"
"312","","2017","14421302.14","aufwand","CHF"
"313","","2017","125221276.07","aufwand","CHF"
"314","","2017","46338500.67","aufwand","CHF"
"315","","2017","17703860.5","aufwand","CHF"
"316","","2017","20143323.15","aufwand","CHF"
"317","","2017","11115647.6","aufwand","CHF"
"318","","2017","18631559.95","aufwand","CHF"
"319","","2017","51302897.8","aufwand","CHF"
