"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2019","20562687923.79","bilanz","ktn_gdn","CHF","fs"
"101","","2019","36115991938.36","bilanz","ktn_gdn","CHF","fs"
"102","","2019","2077668997.1","bilanz","ktn_gdn","CHF","fs"
"104","","2019","12629917419.51","bilanz","ktn_gdn","CHF","fs"
"106","","2019","394030888.44","bilanz","ktn_gdn","CHF","fs"
"107","","2019","13858622171.54","bilanz","ktn_gdn","CHF","fs"
"108","","2019","31701485462.97","bilanz","ktn_gdn","CHF","fs"
"109","","2019","590690505.01","bilanz","ktn_gdn","CHF","fs"
"140","","2019","100424996167.22","bilanz","ktn_gdn","CHF","fs"
"141","","2019","13198631.22","bilanz","ktn_gdn","CHF","fs"
"142","","2019","939728374.85","bilanz","ktn_gdn","CHF","fs"
"143","","2019","1363215620.69","bilanz","ktn_gdn","CHF","fs"
"144","","2019","6412222640.74","bilanz","ktn_gdn","CHF","fs"
"145","","2019","17702875776.61","bilanz","ktn_gdn","CHF","fs"
"146","","2019","10329735807.76","bilanz","ktn_gdn","CHF","fs"
"147","","2019","","bilanz","ktn_gdn","CHF","fs"
"148","","2019","-310353899.55","bilanz","ktn_gdn","CHF","fs"
"200","","2019","28316476377.15","bilanz","ktn_gdn","CHF","fs"
"201","","2019","14893085291.92","bilanz","ktn_gdn","CHF","fs"
"204","","2019","14360609630.31","bilanz","ktn_gdn","CHF","fs"
"205","","2019","2717275965.48","bilanz","ktn_gdn","CHF","fs"
"206","","2019","78400382658.52","bilanz","ktn_gdn","CHF","fs"
"207","","2019","","bilanz","ktn_gdn","CHF","fs"
"208","","2019","13012146846.22","bilanz","ktn_gdn","CHF","fs"
"209","","2019","6387306252.78","bilanz","ktn_gdn","CHF","fs"
"290","","2019","19446125224.55","bilanz","ktn_gdn","CHF","fs"
"292","","2019","337472601.22","bilanz","ktn_gdn","CHF","fs"
"293","","2019","7537286565.74","bilanz","ktn_gdn","CHF","fs"
"294","","2019","-172779287.67","bilanz","ktn_gdn","CHF","fs"
"295","","2019","9687016176.59","bilanz","ktn_gdn","CHF","fs"
"296","","2019","3385930930.71","bilanz","ktn_gdn","CHF","fs"
"298","","2019","1379265291.16","bilanz","ktn_gdn","CHF","fs"
"299","","2019","55119113901.43","bilanz","ktn_gdn","CHF","fs"
"empty","","2019","","er","ktn_gdn","CHF","fs"
"empty","","2019","","er","ktn_gdn","CHF","fs"
"empty","","2019","","er","ktn_gdn","CHF","fs"
"empty","","2019","","er","ktn_gdn","CHF","fs"
"300","","2019","821182301.74","aufwand","ktn_gdn","CHF","fs"
"301","","2019","20063843461.85","aufwand","ktn_gdn","CHF","fs"
"302","","2019","15504695824.62","aufwand","ktn_gdn","CHF","fs"
"303","","2019","161645143.34","aufwand","ktn_gdn","CHF","fs"
"304","","2019","324886831.63","aufwand","ktn_gdn","CHF","fs"
"305","","2019","7267385712.86","aufwand","ktn_gdn","CHF","fs"
"306","","2019","131232188.68","aufwand","ktn_gdn","CHF","fs"
"309","","2019","418462414.73","aufwand","ktn_gdn","CHF","fs"
"310","","2019","2107302494.36","aufwand","ktn_gdn","CHF","fs"
"311","","2019","989933189.04","aufwand","ktn_gdn","CHF","fs"
"312","","2019","1239018412.93","aufwand","ktn_gdn","CHF","fs"
"313","","2019","7351873855.2","aufwand","ktn_gdn","CHF","fs"
"314","","2019","3054421343.81","aufwand","ktn_gdn","CHF","fs"
"315","","2019","982016067.64","aufwand","ktn_gdn","CHF","fs"
"316","","2019","1693603523.7","aufwand","ktn_gdn","CHF","fs"
"317","","2019","504969417.98","aufwand","ktn_gdn","CHF","fs"
"318","","2019","1198736153.42","aufwand","ktn_gdn","CHF","fs"
"319","","2019","792188332.61","aufwand","ktn_gdn","CHF","fs"
"320","","2019","","aufwand","ktn_gdn","CHF","fs"
"331","","2019","","aufwand","ktn_gdn","CHF","fs"
"337","","2019","6861571512.09","aufwand","ktn_gdn","CHF","fs"
"338","","2019","431034567.43","aufwand","ktn_gdn","CHF","fs"
"340","","2019","1056600460.72","aufwand","ktn_gdn","CHF","fs"
"341","","2019","54012483.78","aufwand","ktn_gdn","CHF","fs"
"342","","2019","16418255.64","aufwand","ktn_gdn","CHF","fs"
"343","","2019","342896215.89","aufwand","ktn_gdn","CHF","fs"
"344","","2019","208783037.28","aufwand","ktn_gdn","CHF","fs"
"349","","2019","115162503.31","aufwand","ktn_gdn","CHF","fs"
"350","","2019","372468907.14","aufwand","ktn_gdn","CHF","fs"
"351","","2019","1057721378.63","aufwand","ktn_gdn","CHF","fs"
"352","","2019","373771502.52","aufwand","ktn_gdn","CHF","fs"
"3600","","2019","","aufwand","ktn_gdn","CHF","fs"
"36010","","2019","","aufwand","ktn_gdn","CHF","fs"
"36011","","2019","","aufwand","ktn_gdn","CHF","fs"
"36012","","2019","","aufwand","ktn_gdn","CHF","fs"
"36013","","2019","","aufwand","ktn_gdn","CHF","fs"
"36014","","2019","","aufwand","ktn_gdn","CHF","fs"
"36015","","2019","","aufwand","ktn_gdn","CHF","fs"
"36016","","2019","","aufwand","ktn_gdn","CHF","fs"
"36017","","2019","","aufwand","ktn_gdn","CHF","fs"
"36018","","2019","","aufwand","ktn_gdn","CHF","fs"
"36019","","2019","","aufwand","ktn_gdn","CHF","fs"
"36021","","2019","","aufwand","ktn_gdn","CHF","fs"
"36022","","2019","","aufwand","ktn_gdn","CHF","fs"
"36023","","2019","","aufwand","ktn_gdn","CHF","fs"
"36029","","2019","","aufwand","ktn_gdn","CHF","fs"
"3603","","2019","","aufwand","ktn_gdn","CHF","fs"
"3604","","2019","964985.25","aufwand","ktn_gdn","CHF","fs"
"3610","","2019","","aufwand","ktn_gdn","CHF","fs"
"3611","","2019","","aufwand","ktn_gdn","CHF","fs"
"3612","","2019","","aufwand","ktn_gdn","CHF","fs"
"3613","","2019","136231.55","aufwand","ktn_gdn","CHF","fs"
"3614","","2019","753044215.87","aufwand","ktn_gdn","CHF","fs"
"3620","","2019","","aufwand","ktn_gdn","CHF","fs"
"36211","","2019","","aufwand","ktn_gdn","CHF","fs"
"36212","","2019","","aufwand","ktn_gdn","CHF","fs"
"36213","","2019","","aufwand","ktn_gdn","CHF","fs"
"36214","","2019","","aufwand","ktn_gdn","CHF","fs"
"36215","","2019","","aufwand","ktn_gdn","CHF","fs"
"36216","","2019","","aufwand","ktn_gdn","CHF","fs"
"36217","","2019","","aufwand","ktn_gdn","CHF","fs"
"36219","","2019","","aufwand","ktn_gdn","CHF","fs"
"36221","","2019","","aufwand","ktn_gdn","CHF","fs"
"36222","","2019","","aufwand","ktn_gdn","CHF","fs"
"36223","","2019","","aufwand","ktn_gdn","CHF","fs"
"36224","","2019","","aufwand","ktn_gdn","CHF","fs"
"36225","","2019","","aufwand","ktn_gdn","CHF","fs"
"36226","","2019","","aufwand","ktn_gdn","CHF","fs"
"36227","","2019","","aufwand","ktn_gdn","CHF","fs"
"36228","","2019","","aufwand","ktn_gdn","CHF","fs"
"3624","","2019","","aufwand","ktn_gdn","CHF","fs"
"3629","","2019","","aufwand","ktn_gdn","CHF","fs"
"3630","","2019","3219643","aufwand","ktn_gdn","CHF","fs"
"3631","","2019","","aufwand","ktn_gdn","CHF","fs"
"3632","","2019","","aufwand","ktn_gdn","CHF","fs"
"3633","","2019","209986279.1","aufwand","ktn_gdn","CHF","fs"
"3634","","2019","12812397784.58","aufwand","ktn_gdn","CHF","fs"
"3635","","2019","5780006328.86","aufwand","ktn_gdn","CHF","fs"
"3636","","2019","10504583207.69","aufwand","ktn_gdn","CHF","fs"
"3637","","2019","16447919785.93","aufwand","ktn_gdn","CHF","fs"
"3638","","2019","460216783.59","aufwand","ktn_gdn","CHF","fs"
"3639","","2019","379143201.91","aufwand","ktn_gdn","CHF","fs"
"364","","2019","76976090.73","aufwand","ktn_gdn","CHF","fs"
"365","","2019","90126639.86","aufwand","ktn_gdn","CHF","fs"
"366","","2019","1004394301.43","aufwand","ktn_gdn","CHF","fs"
"369","","2019","5675020.38","aufwand","ktn_gdn","CHF","fs"
"380","","2019","5143964224.91","aufwand","ktn_gdn","CHF","fs"
"381","","2019","9392325.4","aufwand","ktn_gdn","CHF","fs"
"383","","2019","167431036.87","aufwand","ktn_gdn","CHF","fs"
"384","","2019","203775735.12","aufwand","ktn_gdn","CHF","fs"
"3860","","2019","","aufwand","ktn_gdn","CHF","fs"
"3861","","2019","","aufwand","ktn_gdn","CHF","fs"
"3862","","2019","","aufwand","ktn_gdn","CHF","fs"
"3863","","2019","","aufwand","ktn_gdn","CHF","fs"
"3864","","2019","1602.35","aufwand","ktn_gdn","CHF","fs"
"3865","","2019","","aufwand","ktn_gdn","CHF","fs"
"3866","","2019","","aufwand","ktn_gdn","CHF","fs"
"3867","","2019","14900000","aufwand","ktn_gdn","CHF","fs"
"3868","","2019","","aufwand","ktn_gdn","CHF","fs"
"387","","2019","150050408.1","aufwand","ktn_gdn","CHF","fs"
"389","","2019","1907808252.1","aufwand","ktn_gdn","CHF","fs"
"4000","","2019","46133251264.6","ertrag","ktn_gdn","CHF","fs"
"4001","","2019","8019253659.18","ertrag","ktn_gdn","CHF","fs"
"4002","","2019","3483204669.36","ertrag","ktn_gdn","CHF","fs"
"4008","","2019","59543444.81","ertrag","ktn_gdn","CHF","fs"
"4009","","2019","334988008.7","ertrag","ktn_gdn","CHF","fs"
"4010","","2019","10536131745.47","ertrag","ktn_gdn","CHF","fs"
"4011","","2019","1985969996.9","ertrag","ktn_gdn","CHF","fs"
"4012","","2019","","ertrag","ktn_gdn","CHF","fs"
"4019","","2019","267544483.5","ertrag","ktn_gdn","CHF","fs"
"4020","","2019","","ertrag","ktn_gdn","CHF","fs"
"4021","","2019","1290040936.26","ertrag","ktn_gdn","CHF","fs"
"4022","","2019","2743006339.44","ertrag","ktn_gdn","CHF","fs"
"4023","","2019","1333675828.71","ertrag","ktn_gdn","CHF","fs"
"4024","","2019","1233691153.83","ertrag","ktn_gdn","CHF","fs"
"4025","","2019","52905076.22","ertrag","ktn_gdn","CHF","fs"
"4030","","2019","2293827600.03","ertrag","ktn_gdn","CHF","fs"
"4031","","2019","34739806.81","ertrag","ktn_gdn","CHF","fs"
"4032","","2019","34822826.76","ertrag","ktn_gdn","CHF","fs"
"4033","","2019","53362912.31","ertrag","ktn_gdn","CHF","fs"
"4039","","2019","102059020.61","ertrag","ktn_gdn","CHF","fs"
"4040","","2019","","ertrag","ktn_gdn","CHF","fs"
"4041","","2019","","ertrag","ktn_gdn","CHF","fs"
"4042","","2019","","ertrag","ktn_gdn","CHF","fs"
"4043","","2019","","ertrag","ktn_gdn","CHF","fs"
"4044","","2019","","ertrag","ktn_gdn","CHF","fs"
"4045","","2019","","ertrag","ktn_gdn","CHF","fs"
"4046","","2019","","ertrag","ktn_gdn","CHF","fs"
"4047","","2019","","ertrag","ktn_gdn","CHF","fs"
"4049","","2019","","ertrag","ktn_gdn","CHF","fs"
"4050","","2019","","ertrag","ktn_gdn","CHF","fs"
"4051","","2019","","ertrag","ktn_gdn","CHF","fs"
"4052","","2019","","ertrag","ktn_gdn","CHF","fs"
"4053","","2019","","ertrag","ktn_gdn","CHF","fs"
"4059","","2019","","ertrag","ktn_gdn","CHF","fs"
"4060","","2019","","ertrag","ktn_gdn","CHF","fs"
"4070","","2019","","ertrag","ktn_gdn","CHF","fs"
"4071","","2019","","ertrag","ktn_gdn","CHF","fs"
