"arten","funk","jahr","value","dim","unit"
"100","","2022","20729783714.79","bilanz","CHF"
"101","","2022","36186751548.03","bilanz","CHF"
"102","","2022","7109475288.69","bilanz","CHF"
"104","","2022","14606677659.88","bilanz","CHF"
"106","","2022","431198254.85","bilanz","CHF"
"107","","2022","15751738885.97","bilanz","CHF"
"108","","2022","36083280706.65","bilanz","CHF"
"109","","2022","475309299.16","bilanz","CHF"
"140","","2022","111799366135.74","bilanz","CHF"
"141","","2022","19268622.03","bilanz","CHF"
"142","","2022","1525167539.31","bilanz","CHF"
"143","","2022","940728682.15","bilanz","CHF"
"144","","2022","6823007262.2","bilanz","CHF"
"145","","2022","19183914298.38","bilanz","CHF"
"146","","2022","10811855127.1","bilanz","CHF"
"147","","2022","","bilanz","CHF"
"148","","2022","-805744669.98","bilanz","CHF"
"200","","2022","33070832692.44","bilanz","CHF"
"201","","2022","12625349288.14","bilanz","CHF"
"204","","2022","17368891675.35","bilanz","CHF"
"205","","2022","3638904371.09","bilanz","CHF"
"206","","2022","83224282310.57","bilanz","CHF"
"207","","2022","","bilanz","CHF"
"208","","2022","5989633343.84","bilanz","CHF"
"209","","2022","6103403173.03","bilanz","CHF"
"290","","2022","22410125919.28","bilanz","CHF"
"292","","2022","1040185811.16","bilanz","CHF"
"293","","2022","8521863104.07","bilanz","CHF"
"294","","2022","3074772396.28","bilanz","CHF"
"295","","2022","9302277390.6","bilanz","CHF"
"296","","2022","3528247104.84","bilanz","CHF"
"298","","2022","2594980830.35","bilanz","CHF"
"299","","2022","69178028947.05","bilanz","CHF"
"300","","2022","856821418.2","aufwand","CHF"
"301","","2022","21439557634.77","aufwand","CHF"
"302","","2022","16664122808.68","aufwand","CHF"
"303","","2022","205864905.84","aufwand","CHF"
"304","","2022","371428992.56","aufwand","CHF"
"305","","2022","7948870297.24","aufwand","CHF"
"306","","2022","105449216.27","aufwand","CHF"
"309","","2022","472366656.39","aufwand","CHF"
"310","","2022","2283672196.23","aufwand","CHF"
"311","","2022","1048442818.18","aufwand","CHF"
"312","","2022","1376178810.19","aufwand","CHF"
"313","","2022","8202110657.88","aufwand","CHF"
"314","","2022","3134147724.43","aufwand","CHF"
"315","","2022","1115089763.24","aufwand","CHF"
"316","","2022","1858679564.72","aufwand","CHF"
"317","","2022","485262063.16","aufwand","CHF"
"318","","2022","1131754190.08","aufwand","CHF"
"319","","2022","803050130.960001","aufwand","CHF"
"320","","2022","","aufwand","CHF"
"331","","2022","156323.97","aufwand","CHF"
"337","","2022","6520410384.71","aufwand","CHF"
"338","","2022","273278373.82","aufwand","CHF"
"340","","2022","940642434.14","aufwand","CHF"
"341","","2022","123455150.06","aufwand","CHF"
"342","","2022","18203258.07","aufwand","CHF"
"343","","2022","380797392.68","aufwand","CHF"
"344","","2022","816741939.28","aufwand","CHF"
"349","","2022","81560173.75","aufwand","CHF"
"350","","2022","417788694.93","aufwand","CHF"
"351","","2022","1491698015.81","aufwand","CHF"
"352","","2022","248621076.97","aufwand","CHF"
"3600","","2022","","aufwand","CHF"
"36010","","2022","","aufwand","CHF"
"36011","","2022","","aufwand","CHF"
"36012","","2022","","aufwand","CHF"
"36013","","2022","","aufwand","CHF"
"36014","","2022","","aufwand","CHF"
"36015","","2022","","aufwand","CHF"
"36016","","2022","","aufwand","CHF"
"36017","","2022","","aufwand","CHF"
"36018","","2022","","aufwand","CHF"
"36019","","2022","","aufwand","CHF"
"36021","","2022","","aufwand","CHF"
"36022","","2022","","aufwand","CHF"
"36023","","2022","","aufwand","CHF"
"36029","","2022","","aufwand","CHF"
"3603","","2022","","aufwand","CHF"
"3604","","2022","815262","aufwand","CHF"
"3610","","2022","","aufwand","CHF"
"3611","","2022","","aufwand","CHF"
"3612","","2022","","aufwand","CHF"
"3613","","2022","403262.1","aufwand","CHF"
"3614","","2022","809694914.42","aufwand","CHF"
"3620","","2022","","aufwand","CHF"
"36211","","2022","","aufwand","CHF"
"36212","","2022","","aufwand","CHF"
"36213","","2022","","aufwand","CHF"
"36214","","2022","","aufwand","CHF"
"36215","","2022","","aufwand","CHF"
"36216","","2022","","aufwand","CHF"
"36217","","2022","","aufwand","CHF"
"36219","","2022","","aufwand","CHF"
"36221","","2022","","aufwand","CHF"
"36222","","2022","","aufwand","CHF"
"36223","","2022","","aufwand","CHF"
"36224","","2022","","aufwand","CHF"
"36225","","2022","","aufwand","CHF"
"36226","","2022","","aufwand","CHF"
"36227","","2022","","aufwand","CHF"
"36228","","2022","","aufwand","CHF"
"3624","","2022","","aufwand","CHF"
"3629","","2022","","aufwand","CHF"
"3630","","2022","2972439","aufwand","CHF"
"3631","","2022","","aufwand","CHF"
"3632","","2022","","aufwand","CHF"
"3633","","2022","212274380.84","aufwand","CHF"
"3634","","2022","14335254828.1","aufwand","CHF"
"3635","","2022","5783595962.79","aufwand","CHF"
"3636","","2022","12218878294.43","aufwand","CHF"
"3637","","2022","17280396067.84","aufwand","CHF"
"3638","","2022","500927104.84","aufwand","CHF"
"3639","","2022","384686101.22","aufwand","CHF"
"364","","2022","278414188.73","aufwand","CHF"
"365","","2022","60539389.44","aufwand","CHF"
"366","","2022","1065805418.11","aufwand","CHF"
"369","","2022","16605931.37","aufwand","CHF"
"380","","2022","694638183.95","aufwand","CHF"
"381","","2022","395898579.15","aufwand","CHF"
"383","","2022","217285475.97","aufwand","CHF"
"384","","2022","26918347.15","aufwand","CHF"
"3860","","2022","","aufwand","CHF"
"3861","","2022","","aufwand","CHF"
"3862","","2022","","aufwand","CHF"
"3863","","2022","","aufwand","CHF"
"3864","","2022","217329829.26","aufwand","CHF"
"3865","","2022","1431726975.11","aufwand","CHF"
"3866","","2022","217368556.83","aufwand","CHF"
"3867","","2022","427724329.89","aufwand","CHF"
"3868","","2022","556435.78","aufwand","CHF"
"387","","2022","42014603.02","aufwand","CHF"
"389","","2022","2971875456.8","aufwand","CHF"
"4000","","2022","48204753287.45","ertrag","CHF"
"4001","","2022","9014242736.97","ertrag","CHF"
"4002","","2022","5269078600.75","ertrag","CHF"
"4008","","2022","60010746.67","ertrag","CHF"
"4009","","2022","315365881.37","ertrag","CHF"
"4010","","2022","11290054903.04","ertrag","CHF"
"4011","","2022","1549590181.52","ertrag","CHF"
"4012","","2022","972791.55","ertrag","CHF"
"4019","","2022","312477932.38","ertrag","CHF"
"4020","","2022","","ertrag","CHF"
"4021","","2022","1446869435.85","ertrag","CHF"
"4022","","2022","3758055192.76","ertrag","CHF"
"4023","","2022","1689398405.37","ertrag","CHF"
"4024","","2022","1398777146.15","ertrag","CHF"
"4025","","2022","45340547.51","ertrag","CHF"
"4030","","2022","2362657215.78","ertrag","CHF"
"4031","","2022","37236054.25","ertrag","CHF"
"4032","","2022","31810465.64","ertrag","CHF"
"4033","","2022","99136177.62","ertrag","CHF"
"4039","","2022","86182742.22","ertrag","CHF"
"4040","","2022","","ertrag","CHF"
"4041","","2022","","ertrag","CHF"
"4042","","2022","","ertrag","CHF"
"4043","","2022","","ertrag","CHF"
"4044","","2022","","ertrag","CHF"
"4045","","2022","","ertrag","CHF"
"4046","","2022","","ertrag","CHF"
"4047","","2022","","ertrag","CHF"
"4049","","2022","","ertrag","CHF"
"4050","","2022","","ertrag","CHF"
"4051","","2022","","ertrag","CHF"
"4052","","2022","","ertrag","CHF"
"4053","","2022","","ertrag","CHF"
"4059","","2022","","ertrag","CHF"
"4060","","2022","","ertrag","CHF"
"4070","","2022","","ertrag","CHF"
"4071","","2022","","ertrag","CHF"
"4072","","2022","","ertrag","CHF"
"4079","","2022","3714881.4","ertrag","CHF"
"410","","2022","42278246.26","ertrag","CHF"
"411","","2022","4e+09","ertrag","CHF"
"412","","2022","954479079.31","ertrag","CHF"
"413","","2022","588883311.89","ertrag","CHF"
"420","","2022","291291846.33","ertrag","CHF"
"421","","2022","2671332057.87","ertrag","CHF"
"422","","2022","321233813.64","ertrag","CHF"
"423","","2022","860775945.86","ertrag","CHF"
"424","","2022","5772491485.77","ertrag","CHF"
"425","","2022","1100754061.13","ertrag","CHF"
"426","","2022","4149710773.52","ertrag","CHF"
"427","","2022","923023208.65","ertrag","CHF"
"429","","2022","155019640.34","ertrag","CHF"
"430","","2022","230907098.76","ertrag","CHF"
"431","","2022","154781514.86","ertrag","CHF"
"432","","2022","4883141.54","ertrag","CHF"
"439","","2022","332006553.88","ertrag","CHF"
"440","","2022","587755037.81","ertrag","CHF"
"441","","2022","477486481.45","ertrag","CHF"
"442","","2022","76376543.24","ertrag","CHF"
"443","","2022","1158450498.49","ertrag","CHF"
"444","","2022","1004116184.32","ertrag","CHF"
"445","","2022","135654248.55","ertrag","CHF"
"446","","2022","2414725004.05","ertrag","CHF"
"447","","2022","1433205736.12","ertrag","CHF"
"448","","2022","45743679.49","ertrag","CHF"
"449","","2022","32332901.31","ertrag","CHF"
"450","","2022","301653930.8","ertrag","CHF"
"451","","2022","1137015008.61","ertrag","CHF"
"452","","2022","147388774.13","ertrag","CHF"
"46000","","2022","5627348082.35","ertrag","CHF"
"46001","","2022","376272062","ertrag","CHF"
"46002","","2022","33078471.29","ertrag","CHF"
"46003","","2022","27754756","ertrag","CHF"
"46004","","2022","","ertrag","CHF"
"46005","","2022","322742243","ertrag","CHF"
"46006","","2022","","ertrag","CHF"
