"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","1408125697.72","bilanz","ktn_gdn_ag","CHF","fs"
"101","","2020","2279892419.04","bilanz","ktn_gdn_ag","CHF","fs"
"102","","2020","128323267.81","bilanz","ktn_gdn_ag","CHF","fs"
"104","","2020","519268444.89","bilanz","ktn_gdn_ag","CHF","fs"
"106","","2020","8632421.16","bilanz","ktn_gdn_ag","CHF","fs"
"107","","2020","405828261.23","bilanz","ktn_gdn_ag","CHF","fs"
"108","","2020","1230559262.83","bilanz","ktn_gdn_ag","CHF","fs"
"109","","2020","","bilanz","ktn_gdn_ag","CHF","fs"
"140","","2020","9527711411.4","bilanz","ktn_gdn_ag","CHF","fs"
"141","","2020","","bilanz","ktn_gdn_ag","CHF","fs"
"142","","2020","88752399.34","bilanz","ktn_gdn_ag","CHF","fs"
"143","","2020","","bilanz","ktn_gdn_ag","CHF","fs"
"144","","2020","248615624.82","bilanz","ktn_gdn_ag","CHF","fs"
"145","","2020","1123633760.32","bilanz","ktn_gdn_ag","CHF","fs"
"146","","2020","900266011.98","bilanz","ktn_gdn_ag","CHF","fs"
"147","","2020","","bilanz","ktn_gdn_ag","CHF","fs"
"148","","2020","","bilanz","ktn_gdn_ag","CHF","fs"
"200","","2020","1769092235.76","bilanz","ktn_gdn_ag","CHF","fs"
"201","","2020","478859441.42","bilanz","ktn_gdn_ag","CHF","fs"
"204","","2020","884457847.33","bilanz","ktn_gdn_ag","CHF","fs"
"205","","2020","177653186.42","bilanz","ktn_gdn_ag","CHF","fs"
"206","","2020","2774174819.44","bilanz","ktn_gdn_ag","CHF","fs"
"207","","2020","","bilanz","ktn_gdn_ag","CHF","fs"
"208","","2020","110700064.08","bilanz","ktn_gdn_ag","CHF","fs"
"209","","2020","158140609.76","bilanz","ktn_gdn_ag","CHF","fs"
"290","","2020","2221698792.61","bilanz","ktn_gdn_ag","CHF","fs"
"292","","2020","67052607.83","bilanz","ktn_gdn_ag","CHF","fs"
"293","","2020","28969008.7","bilanz","ktn_gdn_ag","CHF","fs"
"294","","2020","960011000.25","bilanz","ktn_gdn_ag","CHF","fs"
"295","","2020","3749458426.13","bilanz","ktn_gdn_ag","CHF","fs"
"296","","2020","31770599.46","bilanz","ktn_gdn_ag","CHF","fs"
"298","","2020","815709503.07","bilanz","ktn_gdn_ag","CHF","fs"
"299","","2020","3641860840.28","bilanz","ktn_gdn_ag","CHF","fs"
"empty","","2020","","er","ktn_gdn_ag","CHF","fs"
"empty","","2020","","er","ktn_gdn_ag","CHF","fs"
"empty","","2020","","er","ktn_gdn_ag","CHF","fs"
"empty","","2020","","er","ktn_gdn_ag","CHF","fs"
"300","","2020","42534373.19","aufwand","ktn_gdn_ag","CHF","fs"
"301","","2020","993407087.12","aufwand","ktn_gdn_ag","CHF","fs"
"302","","2020","956648291.74","aufwand","ktn_gdn_ag","CHF","fs"
"303","","2020","2797919.81","aufwand","ktn_gdn_ag","CHF","fs"
"304","","2020","7433237","aufwand","ktn_gdn_ag","CHF","fs"
"305","","2020","353083599","aufwand","ktn_gdn_ag","CHF","fs"
"306","","2020","3622627.4","aufwand","ktn_gdn_ag","CHF","fs"
"309","","2020","31266170.99","aufwand","ktn_gdn_ag","CHF","fs"
"310","","2020","166033824.49","aufwand","ktn_gdn_ag","CHF","fs"
"311","","2020","73550274.81","aufwand","ktn_gdn_ag","CHF","fs"
"312","","2020","85116618.42","aufwand","ktn_gdn_ag","CHF","fs"
"313","","2020","482707007.94","aufwand","ktn_gdn_ag","CHF","fs"
"314","","2020","166502450.09","aufwand","ktn_gdn_ag","CHF","fs"
"315","","2020","54044998.2","aufwand","ktn_gdn_ag","CHF","fs"
"316","","2020","66679042.69","aufwand","ktn_gdn_ag","CHF","fs"
"317","","2020","26399155.14","aufwand","ktn_gdn_ag","CHF","fs"
"318","","2020","46704623.88","aufwand","ktn_gdn_ag","CHF","fs"
"319","","2020","30958656.16","aufwand","ktn_gdn_ag","CHF","fs"
"320","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"331","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"337","","2020","488086378.92","aufwand","ktn_gdn_ag","CHF","fs"
"338","","2020","12955978.03","aufwand","ktn_gdn_ag","CHF","fs"
"340","","2020","27421862.47","aufwand","ktn_gdn_ag","CHF","fs"
"341","","2020","1541346.41","aufwand","ktn_gdn_ag","CHF","fs"
"342","","2020","807862.74","aufwand","ktn_gdn_ag","CHF","fs"
"343","","2020","10606165.14","aufwand","ktn_gdn_ag","CHF","fs"
"344","","2020","1616686.56","aufwand","ktn_gdn_ag","CHF","fs"
"349","","2020","1376992.33","aufwand","ktn_gdn_ag","CHF","fs"
"350","","2020","2072164.26","aufwand","ktn_gdn_ag","CHF","fs"
"351","","2020","129297068.41","aufwand","ktn_gdn_ag","CHF","fs"
"352","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"3600","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36010","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36011","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36012","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36013","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36014","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36015","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36016","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36017","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36018","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36019","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36021","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36022","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36023","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36029","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"3603","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"3604","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"3610","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"3611","","2020","27711704.96","aufwand","ktn_gdn_ag","CHF","fs"
"3612","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"3613","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"3614","","2020","387944.55","aufwand","ktn_gdn_ag","CHF","fs"
"3620","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36211","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36212","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36213","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36214","","2020","6548305","aufwand","ktn_gdn_ag","CHF","fs"
"36215","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36216","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36217","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36219","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36221","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36222","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36223","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36224","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36225","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36226","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36227","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"36228","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"3624","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"3629","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"3630","","2020","1540000","aufwand","ktn_gdn_ag","CHF","fs"
"3631","","2020","228188550.85","aufwand","ktn_gdn_ag","CHF","fs"
"3632","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"3633","","2020","15478329.8","aufwand","ktn_gdn_ag","CHF","fs"
"3634","","2020","927699419.75","aufwand","ktn_gdn_ag","CHF","fs"
"3635","","2020","149033072.17","aufwand","ktn_gdn_ag","CHF","fs"
"3636","","2020","663707191.86","aufwand","ktn_gdn_ag","CHF","fs"
"3637","","2020","889130372.07","aufwand","ktn_gdn_ag","CHF","fs"
"3638","","2020","1902150","aufwand","ktn_gdn_ag","CHF","fs"
"3639","","2020","15502244","aufwand","ktn_gdn_ag","CHF","fs"
"364","","2020","611858.43","aufwand","ktn_gdn_ag","CHF","fs"
"365","","2020","109195","aufwand","ktn_gdn_ag","CHF","fs"
"366","","2020","87522271.98","aufwand","ktn_gdn_ag","CHF","fs"
"369","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"380","","2020","4797981.69","aufwand","ktn_gdn_ag","CHF","fs"
"381","","2020","8181139.04","aufwand","ktn_gdn_ag","CHF","fs"
"383","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"384","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"3860","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"3861","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"3862","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"3863","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"3864","","2020","1.35e+08","aufwand","ktn_gdn_ag","CHF","fs"
"3865","","2020","6765836.83","aufwand","ktn_gdn_ag","CHF","fs"
"3866","","2020","20519774.36","aufwand","ktn_gdn_ag","CHF","fs"
"3867","","2020","98927.61","aufwand","ktn_gdn_ag","CHF","fs"
"3868","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"387","","2020","","aufwand","ktn_gdn_ag","CHF","fs"
"389","","2020","375730409.21","aufwand","ktn_gdn_ag","CHF","fs"
"4000","","2020","3205551366.62","ertrag","ktn_gdn_ag","CHF","fs"
"4001","","2020","350867344.6","ertrag","ktn_gdn_ag","CHF","fs"
"4002","","2020","163806431.58","ertrag","ktn_gdn_ag","CHF","fs"
"4008","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4009","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4010","","2020","456099779.98","ertrag","ktn_gdn_ag","CHF","fs"
"4011","","2020","47652030.72","ertrag","ktn_gdn_ag","CHF","fs"
"4012","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4019","","2020","15758313.95","ertrag","ktn_gdn_ag","CHF","fs"
"4020","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4021","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4022","","2020","101727402.75","ertrag","ktn_gdn_ag","CHF","fs"
"4023","","2020","51672328.5","ertrag","ktn_gdn_ag","CHF","fs"
"4024","","2020","47951515.8","ertrag","ktn_gdn_ag","CHF","fs"
"4025","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4030","","2020","142442086.48","ertrag","ktn_gdn_ag","CHF","fs"
"4031","","2020","275215.55","ertrag","ktn_gdn_ag","CHF","fs"
"4032","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4033","","2020","5004420","ertrag","ktn_gdn_ag","CHF","fs"
"4039","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4040","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4041","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4042","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4043","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4044","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4045","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4046","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4047","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4049","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4050","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4051","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4052","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4053","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4059","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4060","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4070","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4071","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4072","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4079","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"410","","2020","1931196.89","ertrag","ktn_gdn_ag","CHF","fs"
"411","","2020","211282272","ertrag","ktn_gdn_ag","CHF","fs"
"412","","2020","95545744.96","ertrag","ktn_gdn_ag","CHF","fs"
"413","","2020","39463062.48","ertrag","ktn_gdn_ag","CHF","fs"
"420","","2020","24952318.37","ertrag","ktn_gdn_ag","CHF","fs"
"421","","2020","156640415.04","ertrag","ktn_gdn_ag","CHF","fs"
"422","","2020","23564834.9","ertrag","ktn_gdn_ag","CHF","fs"
"423","","2020","23705694.64","ertrag","ktn_gdn_ag","CHF","fs"
"424","","2020","393719791.65","ertrag","ktn_gdn_ag","CHF","fs"
"425","","2020","31368987.19","ertrag","ktn_gdn_ag","CHF","fs"
"426","","2020","290813194.75","ertrag","ktn_gdn_ag","CHF","fs"
"427","","2020","62515878.64","ertrag","ktn_gdn_ag","CHF","fs"
"429","","2020","10208412.22","ertrag","ktn_gdn_ag","CHF","fs"
"430","","2020","3210204.91","ertrag","ktn_gdn_ag","CHF","fs"
"431","","2020","2354140.75","ertrag","ktn_gdn_ag","CHF","fs"
"432","","2020","-15521.2","ertrag","ktn_gdn_ag","CHF","fs"
"439","","2020","29275030.87","ertrag","ktn_gdn_ag","CHF","fs"
"440","","2020","18640650.95","ertrag","ktn_gdn_ag","CHF","fs"
"441","","2020","17222758.79","ertrag","ktn_gdn_ag","CHF","fs"
"442","","2020","1445086.67","ertrag","ktn_gdn_ag","CHF","fs"
"443","","2020","25437354","ertrag","ktn_gdn_ag","CHF","fs"
"444","","2020","38057109.05","ertrag","ktn_gdn_ag","CHF","fs"
"445","","2020","14140144.38","ertrag","ktn_gdn_ag","CHF","fs"
"446","","2020","116346299.4","ertrag","ktn_gdn_ag","CHF","fs"
"447","","2020","70008429.92","ertrag","ktn_gdn_ag","CHF","fs"
"448","","2020","311815","ertrag","ktn_gdn_ag","CHF","fs"
"449","","2020","2913888.24","ertrag","ktn_gdn_ag","CHF","fs"
"450","","2020","25845419.99","ertrag","ktn_gdn_ag","CHF","fs"
"451","","2020","150003878.4","ertrag","ktn_gdn_ag","CHF","fs"
"452","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46000","","2020","228990437.22","ertrag","ktn_gdn_ag","CHF","fs"
"46001","","2020","25853980","ertrag","ktn_gdn_ag","CHF","fs"
"46002","","2020","2847776.28","ertrag","ktn_gdn_ag","CHF","fs"
"46003","","2020","2137785","ertrag","ktn_gdn_ag","CHF","fs"
"46004","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46005","","2020","19391330","ertrag","ktn_gdn_ag","CHF","fs"
"46006","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46007","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46008","","2020","28366075","ertrag","ktn_gdn_ag","CHF","fs"
"46009","","2020","-255190","ertrag","ktn_gdn_ag","CHF","fs"
"46010","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46011","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46012","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46019","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4603","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4604","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4610","","2020","68338968.55","ertrag","ktn_gdn_ag","CHF","fs"
"4611","","2020","1396452.25","ertrag","ktn_gdn_ag","CHF","fs"
"4612","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4613","","2020","42639301.2","ertrag","ktn_gdn_ag","CHF","fs"
"4614","","2020","162096.74","ertrag","ktn_gdn_ag","CHF","fs"
"46201","","2020","280265049","ertrag","ktn_gdn_ag","CHF","fs"
"46202","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46203","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46204","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46209","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46211","","2020","186843366","ertrag","ktn_gdn_ag","CHF","fs"
"46212","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46213","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46214","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46215","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46216","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46217","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46225","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46226","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46227","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"46228","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4624","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4629","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4630","","2020","524174500.19","ertrag","ktn_gdn_ag","CHF","fs"
"4631","","2020","7565108.33","ertrag","ktn_gdn_ag","CHF","fs"
"4632","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4633","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4634","","2020","6328996.24","ertrag","ktn_gdn_ag","CHF","fs"
"4635","","2020","1292813.7","ertrag","ktn_gdn_ag","CHF","fs"
"4636","","2020","286208.7","ertrag","ktn_gdn_ag","CHF","fs"
"4637","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4638","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"466","","2020","25043066.63","ertrag","ktn_gdn_ag","CHF","fs"
"469","","2020","1318818.76","ertrag","ktn_gdn_ag","CHF","fs"
"481","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"482","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"483","","2020","20551372.49","ertrag","ktn_gdn_ag","CHF","fs"
"484","","2020","17612.55","ertrag","ktn_gdn_ag","CHF","fs"
"485","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4860","","2020","9908265.5","ertrag","ktn_gdn_ag","CHF","fs"
"4861","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4862","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4863","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4864","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4865","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4866","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4867","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4868","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"4870","","2020","","ertrag","ktn_gdn_ag","CHF","fs"
"489","","2020","85687608.94","ertrag","ktn_gdn_ag","CHF","fs"
"empty","","2020","","fir","ktn_gdn_ag","CHF","fs"
"empty","","2020","","fir","ktn_gdn_ag","CHF","fs"
"empty","","2020","","fir","ktn_gdn_ag","CHF","fs"
"empty","","2020","","fir","ktn_gdn_ag","CHF","fs"
"empty","","2020","","fir","ktn_gdn_ag","CHF","fs"
"300","","2020","42534373.19","ausgaben","ktn_gdn_ag","CHF","fs"
"301","","2020","993407087.12","ausgaben","ktn_gdn_ag","CHF","fs"
"302","","2020","956648291.74","ausgaben","ktn_gdn_ag","CHF","fs"
"303","","2020","2797919.81","ausgaben","ktn_gdn_ag","CHF","fs"
"304","","2020","7433237","ausgaben","ktn_gdn_ag","CHF","fs"
"305","","2020","353083599","ausgaben","ktn_gdn_ag","CHF","fs"
"306","","2020","3622627.4","ausgaben","ktn_gdn_ag","CHF","fs"
"309","","2020","31266170.99","ausgaben","ktn_gdn_ag","CHF","fs"
"310","","2020","166033824.49","ausgaben","ktn_gdn_ag","CHF","fs"
"311","","2020","73550274.81","ausgaben","ktn_gdn_ag","CHF","fs"
"312","","2020","85116618.42","ausgaben","ktn_gdn_ag","CHF","fs"
"313","","2020","482707007.94","ausgaben","ktn_gdn_ag","CHF","fs"
"314","","2020","166502450.09","ausgaben","ktn_gdn_ag","CHF","fs"
"315","","2020","54044998.2","ausgaben","ktn_gdn_ag","CHF","fs"
"316","","2020","66679042.69","ausgaben","ktn_gdn_ag","CHF","fs"
"317","","2020","26399155.14","ausgaben","ktn_gdn_ag","CHF","fs"
"318","","2020","39939099.24","ausgaben","ktn_gdn_ag","CHF","fs"
"319","","2020","30958656.16","ausgaben","ktn_gdn_ag","CHF","fs"
"320","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"340","","2020","27421862.47","ausgaben","ktn_gdn_ag","CHF","fs"
"341","","2020","1541346.41","ausgaben","ktn_gdn_ag","CHF","fs"
"342","","2020","807862.74","ausgaben","ktn_gdn_ag","CHF","fs"
"343","","2020","10606165.14","ausgaben","ktn_gdn_ag","CHF","fs"
"349","","2020","1376992.33","ausgaben","ktn_gdn_ag","CHF","fs"
"3600","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36010","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36011","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36012","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36013","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36014","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36015","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36016","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36017","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36018","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36019","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36021","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36022","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36023","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36029","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"3603","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"3604","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"3610","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"3611","","2020","27711704.96","ausgaben","ktn_gdn_ag","CHF","fs"
"3612","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"3613","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"3614","","2020","387944.55","ausgaben","ktn_gdn_ag","CHF","fs"
"3620","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36211","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36212","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36213","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36214","","2020","6548305","ausgaben","ktn_gdn_ag","CHF","fs"
"36215","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36216","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36217","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36219","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36221","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36222","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36223","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36224","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36225","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36226","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36227","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"36228","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"3624","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"3629","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"3630","","2020","1540000","ausgaben","ktn_gdn_ag","CHF","fs"
"3631","","2020","228188550.85","ausgaben","ktn_gdn_ag","CHF","fs"
"3632","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"3633","","2020","15478329.8","ausgaben","ktn_gdn_ag","CHF","fs"
"3634","","2020","927699419.75","ausgaben","ktn_gdn_ag","CHF","fs"
"3635","","2020","149033072.17","ausgaben","ktn_gdn_ag","CHF","fs"
"3636","","2020","663707191.86","ausgaben","ktn_gdn_ag","CHF","fs"
"3637","","2020","889130372.07","ausgaben","ktn_gdn_ag","CHF","fs"
"3638","","2020","1902150","ausgaben","ktn_gdn_ag","CHF","fs"
"3639","","2020","15502244","ausgaben","ktn_gdn_ag","CHF","fs"
"369","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"380","","2020","4797981.69","ausgaben","ktn_gdn_ag","CHF","fs"
"381","","2020","8181139.04","ausgaben","ktn_gdn_ag","CHF","fs"
"384","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"3860","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"3861","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"3862","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"3863","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"3864","","2020","1.35e+08","ausgaben","ktn_gdn_ag","CHF","fs"
"3865","","2020","6765836.83","ausgaben","ktn_gdn_ag","CHF","fs"
"3866","","2020","20519774.36","ausgaben","ktn_gdn_ag","CHF","fs"
"3867","","2020","98927.61","ausgaben","ktn_gdn_ag","CHF","fs"
"3868","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"500","","2020","14937666.01","ausgaben","ktn_gdn_ag","CHF","fs"
"503","","2020","407515324.2","ausgaben","ktn_gdn_ag","CHF","fs"
"504","","2020","278851680.21","ausgaben","ktn_gdn_ag","CHF","fs"
"505","","2020","42891.6","ausgaben","ktn_gdn_ag","CHF","fs"
"506","","2020","34328195.51","ausgaben","ktn_gdn_ag","CHF","fs"
"509","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"510","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"513","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"514","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"515","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"516","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"519","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"520","","2020","3018127.19","ausgaben","ktn_gdn_ag","CHF","fs"
"521","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"529","","2020","27473740.46","ausgaben","ktn_gdn_ag","CHF","fs"
"530","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"531","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"532","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"533","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"534","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
"535","","2020","","ausgaben","ktn_gdn_ag","CHF","fs"
