"arten","funk","jahr","value","dim","unit"
"100","","2018","42789632.71","bilanz","CHF"
"101","","2018","76890306.36","bilanz","CHF"
"102","","2018","1.3e+07","bilanz","CHF"
"104","","2018","5968911.35","bilanz","CHF"
"106","","2018","274463","bilanz","CHF"
"107","","2018","33791579","bilanz","CHF"
"108","","2018","21315300","bilanz","CHF"
"109","","2018","","bilanz","CHF"
"140","","2018","40187660.63","bilanz","CHF"
"141","","2018","","bilanz","CHF"
"142","","2018","","bilanz","CHF"
"143","","2018","","bilanz","CHF"
"144","","2018","30503597","bilanz","CHF"
"145","","2018","1748456","bilanz","CHF"
"146","","2018","4664825","bilanz","CHF"
"147","","2018","","bilanz","CHF"
"148","","2018","-4183754","bilanz","CHF"
"200","","2018","29944083.23","bilanz","CHF"
"201","","2018","2124814.4","bilanz","CHF"
"204","","2018","9960812.08","bilanz","CHF"
"205","","2018","2630000","bilanz","CHF"
"206","","2018","32743361","bilanz","CHF"
"207","","2018","","bilanz","CHF"
"208","","2018","2457823","bilanz","CHF"
"209","","2018","7416110.21","bilanz","CHF"
"290","","2018","40809207.72","bilanz","CHF"
"292","","2018","","bilanz","CHF"
"293","","2018","23680006.35","bilanz","CHF"
"294","","2018","2500000","bilanz","CHF"
"295","","2018","","bilanz","CHF"
"296","","2018","14847305.64","bilanz","CHF"
"298","","2018","","bilanz","CHF"
"299","","2018","97837453.42","bilanz","CHF"
"300","","2018","1557798.95","aufwand","CHF"
"301","","2018","24386492.45","aufwand","CHF"
"302","","2018","19608248.1","aufwand","CHF"
"303","","2018","","aufwand","CHF"
"304","","2018","147803","aufwand","CHF"
"305","","2018","8482931.31","aufwand","CHF"
"306","","2018","28244","aufwand","CHF"
"309","","2018","1186422.52","aufwand","CHF"
"310","","2018","3961984.38","aufwand","CHF"
"311","","2018","2146670.95","aufwand","CHF"
"312","","2018","1056194.05","aufwand","CHF"
"313","","2018","9346751.83","aufwand","CHF"
"314","","2018","7098453.23","aufwand","CHF"
"315","","2018","1240158.26","aufwand","CHF"
"316","","2018","3165426","aufwand","CHF"
"317","","2018","584163.75","aufwand","CHF"
"318","","2018","361540.39","aufwand","CHF"
"319","","2018","882827.05","aufwand","CHF"
"320","","2018","","aufwand","CHF"
"331","","2018","","aufwand","CHF"
"337","","2018","6701100.57","aufwand","CHF"
"338","","2018","883068","aufwand","CHF"
"340","","2018","93996","aufwand","CHF"
"341","","2018","","aufwand","CHF"
"342","","2018","","aufwand","CHF"
"343","","2018","136059.07","aufwand","CHF"
"344","","2018","","aufwand","CHF"
"349","","2018","1525.53","aufwand","CHF"
"350","","2018","171410","aufwand","CHF"
"351","","2018","2460156","aufwand","CHF"
"352","","2018","1266784","aufwand","CHF"
"3600","","2018","","aufwand","CHF"
"36010","","2018","","aufwand","CHF"
"36011","","2018","","aufwand","CHF"
"36012","","2018","","aufwand","CHF"
